Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
192.168.1.101-67.212.184.66-2156-80-6,192.168.1.101,2156,67.212.184.66,80,6,13/06/2010 06:01:11,2328040,2,0,12,0,6,6,6,0,0,0,0,0,5.154550609,0.859091768,2328040,0,2328040,2328040,2328040,2328040,0,2328040,2328040,0,0,0,0,0,0,0,0,0,40,0,0.859091768,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,17520,-1,1,20,0,0,0,0,0,0,0,0
192.168.1.101-67.212.184.66-2159-80-6,192.168.1.101,2159,67.212.184.66,80,6,13/06/2010 06:01:11,2328006,2,0,12,0,6,6,6,0,0,0,0,0,5.15462589,0.859104315,2328006,0,2328006,2328006,2328006,2328006,0,2328006,2328006,0,0,0,0,0,0,0,0,0,40,0,0.859104315,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,17424,-1,1,20,0,0,0,0,0,0,0,0
192.168.2.106-192.168.2.113-3709-139-6,192.168.2.106,3709,192.168.2.113,139,6,13/06/2010 06:01:16,7917,10,9,987,713,264,0,98.7,87.51006291,287,0,79.22222222,86.65705075,214727.8009,2399.898952,439.8333333,196.2870797,836,229,7917,879.6666667,367.8940065,1474,529,7348,918.5,400.5403493,1619,517,0,0,0,0,208,188,1263.104711,1136.79424,0,287,85,85.34758653,7284.210526,0,0,0,1,0,0,0,0,0,89.47368421,98.7,79.22222222,208,0,0,0,0,0,0,10,987,9,713,16384,63259,9,20,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.98-59707-25-6,192.168.5.122,59707,64.12.90.98,25,6,13/06/2010 06:01:25,113992,6,3,6,106,6,0,1,2.449489743,69,0,35.33333333,34.53018004,982.5250895,78.95290898,14249,19369.17196,40166,34,113992,22798.4,20802.06654,40525,34,77418,38709,2544.170199,40508,36910,0,0,0,0,200,104,52.63527265,26.31763633,0,69,11.2,23.36093605,545.7333333,0,0,0,1,0,0,0,0,0,12.44444444,1,35.33333333,200,0,0,0,0,0,0,6,6,3,106,5840,46,1,32,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.98-59707-25-6,64.12.90.98,25,192.168.5.122,59707,6,13/06/2010 06:01:25,3120,2,0,0,0,0,0,0,0,0,0,0,0,0,641.025641,3120,0,3120,3120,3120,3120,0,3120,3120,0,0,0,0,0,0,0,0,0,64,0,641.025641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,46,-1,0,32,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.66-37678-25-6,192.168.5.122,37678,64.12.90.66,25,6,13/06/2010 06:01:25,121910,6,3,6,106,6,0,1,2.449489743,69,0,35.33333333,34.53018004,918.7105242,73.82495283,15238.75,20787.41471,43700,48,121910,24382,22356.47048,44035,48,80558,40279,5453.207497,44135,36423,0,0,0,0,200,104,49.21663522,24.60831761,0,69,11.2,23.36093605,545.7333333,0,0,0,1,0,0,0,0,0,12.44444444,1,35.33333333,200,0,0,0,0,0,0,6,6,3,106,5840,46,1,32,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.66-37678-25-6,64.12.90.66,25,192.168.5.122,37678,6,13/06/2010 06:01:25,4073,2,0,0,0,0,0,0,0,0,0,0,0,0,491.0385465,4073,0,4073,4073,4073,4073,0,4073,4073,0,0,0,0,0,0,0,0,0,64,0,491.0385465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,46,-1,0,32,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.97-56782-25-6,192.168.5.122,56782,64.12.90.97,25,6,13/06/2010 06:01:25,128308,6,3,6,106,6,0,1,2.449489743,69,0,35.33333333,34.53018004,872.8995854,70.14371668,16038.5,22201.40782,50972,47,128308,25661.6,23995.55654,51305,47,87509,43754.5,10726.10276,51339,36170,0,0,0,0,200,104,46.76247779,23.38123889,0,69,11.2,23.36093605,545.7333333,0,0,0,1,0,0,0,0,0,12.44444444,1,35.33333333,200,0,0,0,0,0,0,6,6,3,106,5840,12,1,32,0,0,0,0,0,0,0,0
192.168.5.122-64.12.90.97-56782-25-6,64.12.90.97,25,192.168.5.122,56782,6,13/06/2010 06:01:25,2449,2,0,0,0,0,0,0,0,0,0,0,0,0,816.6598612,2449,0,2449,2449,2449,2449,0,2449,2449,0,0,0,0,0,0,0,0,0,64,0,816.6598612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,12,-1,0,32,0,0,0,0,0,0,0,0
192.168.5.122-205.188.59.193-54493-25-6,192.168.5.122,54493,205.188.59.193,25,6,13/06/2010 06:01:25,110814,6,3,6,106,6,0,1,2.449489743,69,0,35.33333333,34.53018004,1010.702619,81.21717473,13851.75,18859.83417,38328,44,110814,22162.8,20275.39836,38672,44,72009,36004.5,3531.998372,38502,33507,0,0,0,0,200,104,54.14478315,27.07239158,0,69,11.2,23.36093605,545.7333333,0,0,0,1,0,0,0,0,0,12.44444444,1,35.33333333,200,0,0,0,0,0,0,6,6,3,106,5840,46,1,32,0,0,0,0,0,0,0,0
192.168.5.122-205.188.59.193-54493-25-6,205.188.59.193,25,192.168.5.122,54493,6,13/06/2010 06:01:25,2391,2,0,0,0,0,0,0,0,0,0,0,0,0,836.4700962,2391,0,2391,2391,2391,2391,0,2391,2391,0,0,0,0,0,0,0,0,0,64,0,836.4700962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,46,-1,0,32,0,0,0,0,0,0,0,0
192.168.5.122-205.188.155.110-59130-25-6,192.168.5.122,59130,205.188.155.110,25,6,13/06/2010 06:01:25,178255,6,3,6,106,6,0,1,2.449489743,69,0,35.33333333,34.53018004,628.3133713,50.48946734,22281.875,25899.54494,68849,35,178255,35651,24429.69731,68849,35,70913,35456.5,2829.134232,37457,33456,0,0,0,0,200,104,33.65964489,16.82982245,0,69,11.2,23.36093605,545.7333333,0,0,0,1,0,0,0,0,0,12.44444444,1,35.33333333,200,0,0,0,0,0,0,6,6,3,106,5840,46,1,32,0,0,0,0,0,0,0,0
192.168.5.122-205.188.155.110-59130-25-6,205.188.155.110,25,192.168.5.122,59130,6,13/06/2010 06:01:25,2955,2,0,0,0,0,0,0,0,0,0,0,0,0,676.8189509,2955,0,2955,2955,2955,2955,0,2955,2955,0,0,0,0,0,0,0,0,0,64,0,676.8189509,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,46,-1,0,32,0,0,0,0,0,0,0,0
192.168.1.101-67.212.184.66-2159-80-6,192.168.1.101,2159,67.212.184.66,80,6,13/06/2010 06:01:18,9624620,2,0,12,0,6,6,6,0,0,0,0,0,1.246802471,0.207800412,9624620,0,9624620,9624620,9624620,9624620,0,9624620,9624620,0,0,0,0,0,0,0,0,0,40,0,0.207800412,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,17424,-1,1,20,0,0,0,0,0,0,0,0
192.168.1.101-67.212.184.66-2156-80-6,192.168.1.101,2156,67.212.184.66,80,6,13/06/2010 06:01:18,9624649,2,0,12,0,6,6,6,0,0,0,0,0,1.246798714,0.207799786,9624649,0,9624649,9624649,9624649,9624649,0,9624649,9624649,0,0,0,0,0,0,0,0,0,40,0,0.207799786,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,17520,-1,1,20,0,0,0,0,0,0,0,0
192.168.2.110-192.168.2.113-1981-139-6,192.168.2.110,1981,192.168.2.113,139,6,13/06/2010 06:01:27,577371,11,9,993,713,264,0,90.27272727,87.59804896,287,0,79.22222222,86.65705075,2954.772581,34.63977235,30387.94737,39330.37556,139877,159,577371,57737.1,37512.60616,140620,404,499009,62376.125,38218.60861,140857,489,0,0,0,0,228,188,19.05187479,15.58789756,0,287,81.23809524,84.9540492,7217.190476,0,0,0,1,0,0,0,0,0,85.3,90.27272727,79.22222222,228,0,0,0,0,0,0,11,993,9,713,64240,63259,10,20,0,0,0,0,0,0,0,0
192.168.1.101-67.212.184.66-2159-80-6,192.168.1.101,2159,67.212.184.66,80,6,13/06/2010 06:01:46,38389135,2,0,12,0,6,6,6,0,0,0,0,0,0.312588445,0.052098074,3.84E+07,0,3.84E+07,3.84E+07,3.84E+07,3.84E+07,0,3.84E+07,3.84E+07,0,0,0,0,0,0,0,0,0,40,0,0.052098074,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,17424,-1,1,20,0,0,0,0,0,0,0,0
