dictionary size=  100000
list element size=  1000 

Start value = G  Goal value = Z 

Expand Node | Fringe
--------------------
-           | (65688, 'G')
G           | (938, 'W9'), (7483, 'R0'), (8602, 'J20'), (21325, 'I20'), (8588, 'W7'), (22154, 'Z15'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (8638, 'W12'), (22314, 'X19'), (35746, 'P1'), (35567, 'J2'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (13079, 'M22'), (59575, 'X15'), (29582, 'K11'), (49848, 'Y5'), (79790, 'Y24'), (45241, 'Z7'), (56197, 'P19'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (38003, 'N12'), (24417, 'X3'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (62474, 'G16'), (46022, 'P16')
W9          | (7483, 'R0'), (8588, 'W7'), (8602, 'J20'), (21325, 'I20'), (8638, 'W12'), (22154, 'Z15'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (13079, 'M22'), (22314, 'X19'), (35746, 'P1'), (35567, 'J2'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (24417, 'X3'), (59575, 'X15'), (29582, 'K11'), (49848, 'Y5'), (79790, 'Y24'), (45241, 'Z7'), (56197, 'P19'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (38003, 'N12'), (46022, 'P16'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (62474, 'G16')
R0          | (8588, 'W7'), (8638, 'W12'), (8602, 'J20'), (21325, 'I20'), (13079, 'M22'), (9700, 'F'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (24417, 'X3'), (22314, 'X19'), (35746, 'P1'), (22154, 'Z15'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (38003, 'N12'), (59575, 'X15'), (29582, 'K11'), (49848, 'Y5'), (79790, 'Y24'), (35567, 'J2'), (56197, 'P19'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (62474, 'G16'), (46022, 'P16'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (45241, 'Z7')
W7          | (8602, 'J20'), (8638, 'W12'), (9700, 'F'), (21325, 'I20'), (13079, 'M22'), (13883, 'V'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (24417, 'X3'), (22314, 'X19'), (35746, 'P1'), (22154, 'Z15'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (38003, 'N12'), (59575, 'X15'), (29582, 'K11'), (49848, 'Y5'), (79790, 'Y24'), (35567, 'J2'), (56197, 'P19'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (62474, 'G16'), (46022, 'P16'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (67749, 'C'), (45241, 'Z7')
J20         | (8638, 'W12'), (13079, 'M22'), (9700, 'F'), (21325, 'I20'), (22314, 'X19'), (13883, 'V'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (24417, 'X3'), (29582, 'K11'), (35746, 'P1'), (22154, 'Z15'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (38003, 'N12'), (59575, 'X15'), (45241, 'Z7'), (49848, 'Y5'), (79790, 'Y24'), (35567, 'J2'), (56197, 'P19'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (62474, 'G16'), (46022, 'P16'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (67749, 'C'), (50355, 'A')
W12         | (9700, 'F'), (13079, 'M22'), (13883, 'V'), (21325, 'I20'), (22314, 'X19'), (22154, 'Z15'), (20136, 'L6'), (49047, 'T3'), (41258, 'M17'), (24417, 'X3'), (29582, 'K11'), (35746, 'P1'), (35567, 'J2'), (31511, 'K23'), (67012, 'R25'), (70526, 'S0'), (61711, 'H6'), (56010, 'U18'), (48403, 'V13'), (28335, 'K21'), (38003, 'N12'), (59575, 'X15'), (45241, 'Z7'), (49848, 'Y5'), (79790, 'Y24'), (50355, 'A'), (38637, 'U'), (61579, 'I4'), (63781, 'R8'), (92624, 'L13'), (79078, 'R15'), (92691, 'G23'), (88762, 'S9'), (91612, 'M1'), (70868, 'T17'), (78474, 'K10'), (70175, 'T24'), (87811, 'V2'), (85651, 'N4'), (70204, 'H12'), (30341, 'O13'), (62474, 'G16'), (46022, 'P16'), (98164, 'O14'), (73676, 'X4'), (74270, 'X16'), (71325, 'O18'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (67749, 'C'), (78896, 'S'), (56197, 'P19')
F           | (2626, 'X9'), (12396, 'J9'), (13079, 'M22'), (21325, 'I20'), (13335, 'U6'), (18058, 'F20'), (13883, 'V'), (35610, 'K14'), (21783, 'K1'), (14989, 'W1'), (13585, 'Z10'), (35746, 'P1'), (22154, 'Z15'), (31511, 'K23'), (20136, 'L6'), (41258, 'M17'), (59342, 'P9'), (32520, 'Q20'), (28320, 'P24'), (22314, 'X19'), (16427, 'T0'), (29582, 'K11'), (14052, 'V9'), (49848, 'Y5'), (79790, 'Y24'), (50355, 'A'), (35567, 'J2'), (46728, 'G7'), (56471, 'G20'), (67012, 'R25'), (20821, 'J7'), (70526, 'S0'), (49047, 'T3'), (68342, 'O0'), (61711, 'H6'), (48403, 'V13'), (43225, 'Q5'), (85226, 'S20'), (38832, 'T21'), (28335, 'K21'), (24417, 'X3'), (56538, 'V18'), (38003, 'N12'), (59575, 'X15'), (73676, 'X4'), (19274, 'Y22'), (18283, 'Z19'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (67749, 'C'), (78896, 'S'), (38637, 'U'), (90694, 'F23'), (87961, 'G0'), (61579, 'I4'), (63781, 'R8'), (75839, 'I15'), (92624, 'L13'), (72644, 'I23'), (79078, 'R15'), (30968, 'I25'), (92691, 'G23'), (84702, 'J14'), (88762, 'S9'), (68897, 'N2'), (91612, 'M1'), (76753, 'N20'), (70868, 'T17'), (72532, 'P17'), (78474, 'K10'), (56010, 'U18'), (70175, 'T24'), (56806, 'Q11'), (97552, 'R4'), (87811, 'V2'), (85651, 'N4'), (56197, 'P19'), (70204, 'H12'), (74146, 'U14'), (30341, 'O13'), (97275, 'V11'), (63070, 'V15'), (62474, 'G16'), (48625, 'V22'), (46022, 'P16'), (98164, 'O14'), (91922, 'W23'), (76645, 'X12'), (93573, 'Y4'), (74270, 'X16'), (45241, 'Z7'), (89890, 'Z11'), (71325, 'O18')
X9          | (12396, 'J9'), (13335, 'U6'), (13079, 'M22'), (21325, 'I20'), (13585, 'Z10'), (18058, 'F20'), (13883, 'V'), (35610, 'K14'), (21783, 'K1'), (14989, 'W1'), (14052, 'V9'), (35746, 'P1'), (22154, 'Z15'), (31511, 'K23'), (20136, 'L6'), (41258, 'M17'), (59342, 'P9'), (32520, 'Q20'), (28320, 'P24'), (22314, 'X19'), (16427, 'T0'), (29582, 'K11'), (18283, 'Z19'), (49848, 'Y5'), (79790, 'Y24'), (50355, 'A'), (35567, 'J2'), (46728, 'G7'), (56471, 'G20'), (67012, 'R25'), (20821, 'J7'), (70526, 'S0'), (49047, 'T3'), (68342, 'O0'), (61711, 'H6'), (48403, 'V13'), (43225, 'Q5'), (85226, 'S20'), (38832, 'T21'), (28335, 'K21'), (24417, 'X3'), (56538, 'V18'), (38003, 'N12'), (59575, 'X15'), (73676, 'X4'), (19274, 'Y22'), (59058, 'L'), (90901, 'Y0'), (72043, 'K22'), (82761, 'Y8'), (82025, 'P3'), (67749, 'C'), (78896, 'S'), (38637, 'U'), (90694, 'F23'), (87961, 'G0'), (61579, 'I4'), (63781, 'R8'), (75839, 'I15'), (92624, 'L13'), (72644, 'I23'), (79078, 'R15'), (30968, 'I25'), (92691, 'G23'), (84702, 'J14'), (88762, 'S9'), (68897, 'N2'), (91612, 'M1'), (76753, 'N20'), (70868, 'T17'), (72532, 'P17'), (78474, 'K10'), (56010, 'U18'), (70175, 'T24'), (56806, 'Q11'), (97552, 'R4'), (87811, 'V2'), (85651, 'N4'), (56197, 'P19'), (70204, 'H12'), (74146, 'U14'), (30341, 'O13'), (97275, 'V11'), (63070, 'V15'), (62474, 'G16'), (48625, 'V22'), (46022, 'P16'), (98164, 'O14'), (91922, 'W23'), (76645, 'X12'), (93573, 'Y4'), (74270, 'X16'), (45241, 'Z7'), (89890, 'Z11'), (71325, 'O18')
