dictionary size=  100
list element size=  10000 

Start value = F  Goal value = U 

Expand Node | Fringe
--------------------
-           | (24, 'F')
F           | (215, 'R16'), (291, 'U25'), (700, 'K8'), (1222, 'N5'), (574, 'G2'), (747, 'X4'), (883, 'P22'), (1909, 'L7'), (2160, 'H11'), (2729, 'T7'), (630, 'T19'), (1133, 'P6'), (1484, 'Z23'), (1460, 'P24'), (4813, 'Q1'), (3451, 'G15'), (4219, 'R18'), (5612, 'S7'), (6233, 'N14'), (4255, 'J8'), (4017, 'N24'), (4407, 'H1'), (1678, 'T14'), (3007, 'G12'), (1933, 'X0'), (8190, 'Z19'), (3324, 'Z25'), (9727, 'K16'), (3905, 'H8'), (9069, 'L3'), (5606, 'P25'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (7762, 'S4'), (6494, 'I25'), (5779, 'S5'), (9973, 'S10'), (6798, 'S13'), (7260, 'J4'), (4401, 'S15'), (4660, 'N19'), (7611, 'T15'), (6493, 'O0'), (6323, 'T24'), (4719, 'O25'), (7651, 'V11'), (5431, 'H7'), (4868, 'V13'), (6403, 'P11'), (8119, 'X11'), (9535, 'K10'), (8369, 'Y0'), (6987, 'P13'), (3413, 'P19')
R16         | (291, 'U25'), (574, 'G2'), (700, 'K8'), (1222, 'N5'), (630, 'T19'), (747, 'X4'), (883, 'P22'), (1909, 'L7'), (2160, 'H11'), (2729, 'T7'), (1678, 'T14'), (1133, 'P6'), (1484, 'Z23'), (1460, 'P24'), (4813, 'Q1'), (3451, 'G15'), (4219, 'R18'), (5612, 'S7'), (6233, 'N14'), (4255, 'J8'), (4017, 'N24'), (4407, 'H1'), (3413, 'P19'), (3007, 'G12'), (1933, 'X0'), (8190, 'Z19'), (3324, 'Z25'), (9727, 'K16'), (3905, 'H8'), (9069, 'L3'), (5606, 'P25'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (7762, 'S4'), (6494, 'I25'), (5779, 'S5'), (9973, 'S10'), (6798, 'S13'), (7260, 'J4'), (4401, 'S15'), (4660, 'N19'), (7611, 'T15'), (6493, 'O0'), (6323, 'T24'), (4719, 'O25'), (7651, 'V11'), (5431, 'H7'), (4868, 'V13'), (6403, 'P11'), (8119, 'X11'), (9535, 'K10'), (8369, 'Y0'), (6987, 'P13')
U25         | (574, 'G2'), (630, 'T19'), (700, 'K8'), (1222, 'N5'), (1678, 'T14'), (747, 'X4'), (883, 'P22'), (1909, 'L7'), (2160, 'H11'), (2729, 'T7'), (3413, 'P19'), (1133, 'P6'), (968, 'O'), (1460, 'P24'), (4813, 'Q1'), (3451, 'G15'), (4219, 'R18'), (5612, 'S7'), (6233, 'N14'), (4255, 'J8'), (4017, 'N24'), (4407, 'H1'), (4719, 'O25'), (3007, 'G12'), (1933, 'X0'), (8190, 'Z19'), (1484, 'Z23'), (3284, 'U'), (3905, 'H8'), (9069, 'L3'), (5606, 'P25'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (7762, 'S4'), (6494, 'I25'), (5779, 'S5'), (9973, 'S10'), (6798, 'S13'), (7260, 'J4'), (4401, 'S15'), (4660, 'N19'), (7611, 'T15'), (6493, 'O0'), (6323, 'T24'), (6987, 'P13'), (7651, 'V11'), (5431, 'H7'), (4868, 'V13'), (6403, 'P11'), (8119, 'X11'), (9535, 'K10'), (8369, 'Y0'), (3324, 'Z25'), (6843, 'Q'), (9727, 'K16'), (8276, 'S')
G2          | (630, 'T19'), (1222, 'N5'), (700, 'K8'), (1909, 'L7'), (1678, 'T14'), (747, 'X4'), (883, 'P22'), (3451, 'G15'), (2160, 'H11'), (2729, 'T7'), (3413, 'P19'), (1133, 'P6'), (968, 'O'), (1460, 'P24'), (4813, 'Q1'), (4282, 'F17'), (4219, 'R18'), (5612, 'S7'), (6233, 'N14'), (4255, 'J8'), (4017, 'N24'), (4407, 'H1'), (4719, 'O25'), (3007, 'G12'), (1933, 'X0'), (8190, 'Z19'), (1484, 'Z23'), (3284, 'U'), (3905, 'H8'), (9069, 'L3'), (5606, 'P25'), (4432, 'R9'), (8276, 'S'), (7150, 'M5'), (7762, 'S4'), (6494, 'I25'), (5779, 'S5'), (9973, 'S10'), (6798, 'S13'), (7260, 'J4'), (4401, 'S15'), (4660, 'N19'), (7611, 'T15'), (6493, 'O0'), (6323, 'T24'), (6987, 'P13'), (7651, 'V11'), (5431, 'H7'), (4868, 'V13'), (6403, 'P11'), (8119, 'X11'), (9535, 'K10'), (8369, 'Y0'), (3324, 'Z25'), (6843, 'Q'), (9727, 'K16')
T19         | (591, 'B'), (1222, 'N5'), (700, 'K8'), (1909, 'L7'), (1678, 'T14'), (968, 'O'), (747, 'X4'), (3451, 'G15'), (2160, 'H11'), (2729, 'T7'), (3413, 'P19'), (1133, 'P6'), (1484, 'Z23'), (883, 'P22'), (4813, 'Q1'), (4282, 'F17'), (4219, 'R18'), (5612, 'S7'), (6233, 'N14'), (4255, 'J8'), (4017, 'N24'), (4407, 'H1'), (4719, 'O25'), (3007, 'G12'), (1933, 'X0'), (8190, 'Z19'), (3324, 'Z25'), (1460, 'P24'), (3905, 'H8'), (9069, 'L3'), (5606, 'P25'), (4432, 'R9'), (8276, 'S'), (7150, 'M5'), (7762, 'S4'), (6494, 'I25'), (5779, 'S5'), (9973, 'S10'), (6798, 'S13'), (7260, 'J4'), (4401, 'S15'), (4660, 'N19'), (7611, 'T15'), (6493, 'O0'), (6323, 'T24'), (6987, 'P13'), (7651, 'V11'), (5431, 'H7'), (4868, 'V13'), (6403, 'P11'), (8119, 'X11'), (9535, 'K10'), (8369, 'Y0'), (9727, 'K16'), (6843, 'Q'), (3284, 'U'), (9958, 'D'), (6509, 'P'), (4217, 'R')
B           | (700, 'K8'), (1222, 'N5'), (747, 'X4'), (1261, 'E24'), (1445, 'N11'), (968, 'O'), (883, 'P22'), (1909, 'L7'), (1424, 'D13'), (1860, 'J22'), (1678, 'T14'), (1129, 'R1'), (1484, 'Z23'), (1460, 'P24'), (1174, 'B19'), (3451, 'G15'), (4199, 'E8'), (1596, 'G16'), (1950, 'H10'), (2729, 'T7'), (2318, 'I24'), (2732, 'M10'), (2086, 'K14'), (3007, 'G12'), (1133, 'P6'), (4776, 'U22'), (2098, 'V3'), (3284, 'U'), (1930, 'Y24'), (4279, 'B3'), (2341, 'C11'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (4219, 'R18'), (3119, 'E11'), (2160, 'H11'), (6233, 'N14'), (6798, 'S13'), (3882, 'I18'), (4401, 'S15'), (4017, 'N24'), (7264, 'K9'), (3418, 'L18'), (3413, 'P19'), (4719, 'O25'), (3361, 'M15'), (5043, 'P0'), (4868, 'V13'), (1933, 'X0'), (6262, 'S4'), (8190, 'Z19'), (5716, 'T0'), (3324, 'Z25'), (2951, 'W3'), (4217, 'R'), (6847, 'X14'), (3055, 'Y15'), (2553, 'B0'), (7481, 'Z7'), (4813, 'Q1'), (5606, 'P25'), (6437, 'C22'), (9722, 'C23'), (6771, 'C24'), (8276, 'S'), (8079, 'D12'), (8145, 'D20'), (7828, 'D24'), (7762, 'S4'), (5319, 'E2'), (6494, 'I25'), (5612, 'S7'), (5779, 'S5'), (4507, 'F8'), (9973, 'S10'), (9968, 'G23'), (7952, 'I4'), (9973, 'I8'), (7260, 'J4'), (4255, 'J8'), (6804, 'J4'), (6724, 'J5'), (4660, 'N19'), (8131, 'J25'), (7611, 'T15'), (7709, 'K11'), (6493, 'O0'), (4407, 'H1'), (7530, 'M0'), (6323, 'T24'), (6987, 'P13'), (8973, 'M21'), (7651, 'V11'), (6314, 'N8'), (9720, 'O9'), (5431, 'H7'), (9997, 'P3'), (9675, 'P15'), (6403, 'P11'), (3903, 'Q0'), (8119, 'X11'), (8536, 'S24'), (9535, 'K10'), (9105, 'U4'), (8369, 'Y0'), (5862, 'U14'), (9727, 'K16'), (10462, 'V15'), (6843, 'Q'), (3099, 'V25'), (5984, 'X6'), (9487, 'X10'), (9958, 'D'), (9192, 'X13'), (10234, 'X18'), (6509, 'P'), (3905, 'H8'), (3795, 'Y19'), (9069, 'L3')
K8          | (747, 'X4'), (1222, 'N5'), (883, 'P22'), (1261, 'E24'), (1445, 'N11'), (968, 'O'), (1174, 'B19'), (1909, 'L7'), (1424, 'D13'), (1860, 'J22'), (1678, 'T14'), (1129, 'R1'), (1484, 'Z23'), (1460, 'P24'), (2341, 'C11'), (3451, 'G15'), (4199, 'E8'), (1596, 'G16'), (1950, 'H10'), (2729, 'T7'), (2318, 'I24'), (2732, 'M10'), (2086, 'K14'), (3007, 'G12'), (1133, 'P6'), (4776, 'U22'), (2098, 'V3'), (3284, 'U'), (1930, 'Y24'), (4279, 'B3'), (5606, 'P25'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (4219, 'R18'), (3119, 'E11'), (2160, 'H11'), (6233, 'N14'), (6798, 'S13'), (3882, 'I18'), (4401, 'S15'), (4017, 'N24'), (7264, 'K9'), (3418, 'L18'), (3413, 'P19'), (4719, 'O25'), (3361, 'M15'), (5043, 'P0'), (4868, 'V13'), (1933, 'X0'), (6262, 'S4'), (8190, 'Z19'), (5716, 'T0'), (3324, 'Z25'), (2951, 'W3'), (4217, 'R'), (6847, 'X14'), (3055, 'Y15'), (2553, 'B0'), (7481, 'Z7'), (4813, 'Q1'), (9069, 'L3'), (6437, 'C22'), (9722, 'C23'), (6771, 'C24'), (8276, 'S'), (8079, 'D12'), (8145, 'D20'), (7828, 'D24'), (7762, 'S4'), (5319, 'E2'), (6494, 'I25'), (5612, 'S7'), (5779, 'S5'), (4507, 'F8'), (9973, 'S10'), (9968, 'G23'), (7952, 'I4'), (9973, 'I8'), (7260, 'J4'), (4255, 'J8'), (6804, 'J4'), (6724, 'J5'), (4660, 'N19'), (8131, 'J25'), (7611, 'T15'), (7709, 'K11'), (6493, 'O0'), (4407, 'H1'), (7530, 'M0'), (6323, 'T24'), (6987, 'P13'), (8973, 'M21'), (7651, 'V11'), (6314, 'N8'), (9720, 'O9'), (5431, 'H7'), (9997, 'P3'), (9675, 'P15'), (6403, 'P11'), (3903, 'Q0'), (8119, 'X11'), (8536, 'S24'), (9535, 'K10'), (9105, 'U4'), (8369, 'Y0'), (5862, 'U14'), (9727, 'K16'), (10462, 'V15'), (6843, 'Q'), (3099, 'V25'), (5984, 'X6'), (9487, 'X10'), (9958, 'D'), (9192, 'X13'), (10234, 'X18'), (6509, 'P'), (3905, 'H8'), (3795, 'Y19')
X4          | (883, 'P22'), (1222, 'N5'), (968, 'O'), (1261, 'E24'), (1445, 'N11'), (1129, 'R1'), (1174, 'B19'), (1909, 'L7'), (1424, 'D13'), (1860, 'J22'), (1678, 'T14'), (1133, 'P6'), (1484, 'Z23'), (1460, 'P24'), (2341, 'C11'), (3451, 'G15'), (4199, 'E8'), (1596, 'G16'), (1950, 'H10'), (2729, 'T7'), (2318, 'I24'), (2732, 'M10'), (2086, 'K14'), (3007, 'G12'), (1933, 'X0'), (4776, 'U22'), (2098, 'V3'), (3284, 'U'), (1930, 'Y24'), (4279, 'B3'), (5606, 'P25'), (4432, 'R9'), (4282, 'F17'), (7150, 'M5'), (4219, 'R18'), (3119, 'E11'), (2160, 'H11'), (6233, 'N14'), (6798, 'S13'), (3882, 'I18'), (4401, 'S15'), (4017, 'N24'), (7264, 'K9'), (3418, 'L18'), (3413, 'P19'), (4719, 'O25'), (3361, 'M15'), (5043, 'P0'), (4868, 'V13'), (3795, 'Y19'), (6262, 'S4'), (8190, 'Z19'), (5716, 'T0'), (3324, 'Z25'), (2951, 'W3'), (4217, 'R'), (6847, 'X14'), (3055, 'Y15'), (2553, 'B0'), (7481, 'Z7'), (4813, 'Q1'), (9069, 'L3'), (6437, 'C22'), (9722, 'C23'), (6771, 'C24'), (8276, 'S'), (8079, 'D12'), (8145, 'D20'), (7828, 'D24'), (7762, 'S4'), (5319, 'E2'), (6494, 'I25'), (5612, 'S7'), (5779, 'S5'), (4507, 'F8'), (9973, 'S10'), (9968, 'G23'), (7952, 'I4'), (9973, 'I8'), (7260, 'J4'), (4255, 'J8'), (6804, 'J4'), (6724, 'J5'), (4660, 'N19'), (8131, 'J25'), (7611, 'T15'), (7709, 'K11'), (6493, 'O0'), (4407, 'H1'), (7530, 'M0'), (6323, 'T24'), (6987, 'P13'), (8973, 'M21'), (7651, 'V11'), (6314, 'N8'), (9720, 'O9'), (5431, 'H7'), (9997, 'P3'), (9675, 'P15'), (6403, 'P11'), (3903, 'Q0'), (8119, 'X11'), (8536, 'S24'), (9535, 'K10'), (9105, 'U4'), (8369, 'Y0'), (5862, 'U14'), (9727, 'K16'), (10462, 'V15'), (6843, 'Q'), (3099, 'V25'), (5984, 'X6'), (9487, 'X10'), (9958, 'D'), (9192, 'X13'), (10234, 'X18'), (6509, 'P'), (3905, 'H8')
