dictionary size=  10
list element size=  100 

Start value = U  Goal value = E 

Expand Node | Fringe
--------------------
-           | (9, 'U')
U           | (10, 'Y5'), (22, 'W9'), (25, 'V18'), (65, 'Y0'), (49, 'U7'), (26, 'Z7'), (76, 'V17'), (96, 'W15'), (81, 'U15'), (88, 'V19'), (97, 'Z0'), (89, 'W5'), (29, 'Z1'), (89, 'Z10'), (103, 'Z23')
Y5          | (22, 'W9'), (49, 'U7'), (25, 'V18'), (65, 'Y0'), (88, 'V19'), (26, 'Z7'), (76, 'V17'), (96, 'W15'), (81, 'U15'), (103, 'Z23'), (97, 'Z0'), (89, 'W5'), (29, 'Z1'), (89, 'Z10'), (77, 'V')
W9          | (23, 'M'), (49, 'U7'), (25, 'V18'), (65, 'Y0'), (88, 'V19'), (29, 'Z1'), (26, 'Z7'), (96, 'W15'), (81, 'U15'), (103, 'Z23'), (97, 'Z0'), (89, 'W5'), (77, 'V'), (89, 'Z10'), (76, 'V17')
M           | (25, 'V18'), (30, 'O17'), (26, 'Z7'), (49, 'U7'), (31, 'N0'), (29, 'Z1'), (43, 'Q24'), (65, 'Y0'), (56, 'V22'), (31, 'W19'), (59, 'O8'), (31, 'Z8'), (34, 'P25'), (89, 'Q9'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (46, 'W1'), (40, 'W11'), (60, 'Y15'), (68, 'Y18'), (34, 'P20'), (89, 'W5'), (77, 'V'), (50, 'Q8'), (89, 'Z10'), (96, 'Q17'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (82, 'O14'), (88, 'V19'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (55, 'Z16')
V18         | (26, 'Z7'), (30, 'O17'), (29, 'Z1'), (49, 'U7'), (31, 'N0'), (31, 'Z8'), (43, 'Q24'), (65, 'Y0'), (56, 'V22'), (31, 'W19'), (59, 'O8'), (34, 'P20'), (34, 'P25'), (89, 'Q9'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (46, 'W1'), (40, 'W11'), (60, 'Y15'), (68, 'Y18'), (55, 'Z16'), (89, 'W5'), (77, 'V'), (50, 'Q8'), (89, 'Z10'), (96, 'Q17'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (82, 'O14'), (88, 'V19'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (74, 'F'), (97, 'K')
Z7          | (25, 'Y'), (30, 'O17'), (29, 'Z1'), (49, 'U7'), (31, 'N0'), (31, 'Z8'), (43, 'Q24'), (65, 'Y0'), (56, 'V22'), (31, 'W19'), (59, 'O8'), (34, 'P20'), (32, 'T'), (89, 'Q9'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (46, 'W1'), (40, 'W11'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (55, 'Z16'), (34, 'P25'), (50, 'Q8'), (89, 'Z10'), (96, 'Q17'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (82, 'O14'), (88, 'V19'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (65, 'H'), (77, 'V')
Y           | (29, 'Z1'), (30, 'O17'), (31, 'Z8'), (49, 'U7'), (31, 'N0'), (32, 'T'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (31, 'W19'), (59, 'O8'), (34, 'P20'), (34, 'P25'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (46, 'W1'), (40, 'W11'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (55, 'Z16'), (41, 'Y7'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (82, 'O14'), (88, 'V19'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (65, 'H'), (77, 'V'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (98, 'Z23'), (113, 'Z24')
Z1          | (30, 'O17'), (31, 'N0'), (31, 'Z8'), (49, 'U7'), (31, 'W19'), (32, 'T'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (40, 'W11'), (59, 'O8'), (34, 'P20'), (34, 'P25'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (46, 'W1'), (88, 'V19'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (55, 'Z16'), (41, 'Y7'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (82, 'O14'), (113, 'Z24'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (65, 'H'), (77, 'V'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (98, 'Z23'), (106, 'Q')
O17         | (31, 'N0'), (31, 'W19'), (31, 'Z8'), (49, 'U7'), (40, 'W11'), (32, 'T'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (46, 'W1'), (59, 'O8'), (34, 'P20'), (34, 'P25'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (82, 'O14'), (88, 'V19'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (55, 'Z16'), (41, 'Y7'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (103, 'Z23'), (106, 'Q'), (113, 'Z24'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (65, 'H'), (77, 'V'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (98, 'Z23'), (108, 'E')
N0          | (31, 'W19'), (40, 'W11'), (31, 'Z8'), (49, 'U7'), (46, 'W1'), (32, 'T'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (82, 'O14'), (59, 'O8'), (34, 'P20'), (34, 'P25'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (103, 'Z23'), (88, 'V19'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (55, 'Z16'), (41, 'Y7'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (95, 'M1'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (108, 'E'), (106, 'Q'), (113, 'Z24'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (65, 'H'), (77, 'V'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (98, 'Z23')
W19         | (31, 'Z8'), (40, 'W11'), (32, 'T'), (49, 'U7'), (46, 'W1'), (34, 'P20'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (82, 'O14'), (59, 'O8'), (55, 'Z16'), (34, 'P25'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (103, 'Z23'), (88, 'V19'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (65, 'H'), (41, 'Y7'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (81, 'I'), (110, 'R7'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (108, 'E'), (106, 'Q'), (113, 'Z24'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (98, 'Z23'), (77, 'V'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (132, 'G'), (95, 'M1')
Z8          | (32, 'T'), (40, 'W11'), (34, 'P20'), (49, 'U7'), (46, 'W1'), (34, 'P25'), (35, 'Y24'), (65, 'Y0'), (56, 'V22'), (82, 'O14'), (59, 'O8'), (55, 'Z16'), (41, 'Y7'), (40, 'Y19'), (76, 'V17'), (75, 'R10'), (74, 'T9'), (81, 'U15'), (69, 'N5'), (103, 'Z23'), (88, 'V19'), (60, 'Y15'), (68, 'Y18'), (74, 'F'), (65, 'H'), (77, 'V'), (50, 'Q8'), (89, 'Q9'), (43, 'Q24'), (81, 'I'), (79, 'Z'), (129, 'M16'), (115, 'S22'), (96, 'W15'), (83, 'T2'), (97, 'U4'), (117, 'U24'), (78, 'N20'), (126, 'W0'), (108, 'E'), (106, 'Q'), (113, 'Z24'), (97, 'X18'), (109, 'Y12'), (97, 'Z0'), (91, 'O19'), (105, 'Z2'), (112, 'O20'), (97, 'K'), (89, 'W5'), (98, 'Z23'), (95, 'M1'), (87, 'Y8'), (58, 'Y9'), (114, 'Y13'), (89, 'Z10'), (118, 'Y23'), (96, 'Q17'), (120, 'Z14'), (132, 'G'), (114, 'C'), (110, 'R7')
