dictionary size=  10000
list element size=  1000 

Start value = O  Goal value = K 

Expand Node | Fringe
--------------------
-           | (3406, 'O')
O           | (4250, 'T8'), (7067, 'R3'), (6215, 'U9'), (7622, 'Z0')
T8          | (6215, 'U9'), (7067, 'R3'), (7622, 'Z0')
U9          | (7067, 'R3'), (7622, 'Z0')
R3          | (1082, 'Q'), (7622, 'Z0')
Q           | (1860, 'Y8'), (4886, 'U8'), (8980, 'S0'), (10760, 'Q25'), (7622, 'Z0')
Y8          | (4886, 'U8'), (7622, 'Z0'), (8980, 'S0'), (10760, 'Q25')
U8          | (7622, 'Z0'), (10760, 'Q25'), (8980, 'S0')
Z0          | (8309, 'L'), (8458, 'J'), (8980, 'S0'), (10760, 'Q25')
L           | (3085, 'N10'), (5765, 'X6'), (4056, 'Q1'), (6864, 'V14'), (8807, 'L21'), (10480, 'P1'), (8980, 'S0'), (10760, 'Q25'), (8458, 'J')
N10         | (4056, 'Q1'), (5765, 'X6'), (8458, 'J'), (6864, 'V14'), (8807, 'L21'), (10480, 'P1'), (8980, 'S0'), (10760, 'Q25')
Q1          | (5765, 'X6'), (6864, 'V14'), (8458, 'J'), (10760, 'Q25'), (8807, 'L21'), (10480, 'P1'), (8980, 'S0')
X6          | (6864, 'V14'), (8807, 'L21'), (8458, 'J'), (10760, 'Q25'), (8980, 'S0'), (10480, 'P1')
V14         | (8458, 'J'), (8807, 'L21'), (10480, 'P1'), (10760, 'Q25'), (8980, 'S0')
J           | (3530, 'Z4'), (3720, 'Q2'), (4081, 'Q19'), (8807, 'L21'), (7276, 'Z9'), (10480, 'P1'), (6379, 'J19'), (10892, 'S9'), (10760, 'Q25'), (8980, 'S0')
Z4          | (3720, 'Q2'), (7276, 'Z9'), (4081, 'Q19'), (8807, 'L21'), (8980, 'S0'), (10480, 'P1'), (6379, 'J19'), (10892, 'S9'), (10760, 'Q25')
Q2          | (4081, 'Q19'), (7276, 'Z9'), (6379, 'J19'), (8807, 'L21'), (8980, 'S0'), (10480, 'P1'), (10760, 'Q25'), (10892, 'S9')
Q19         | (6379, 'J19'), (7276, 'Z9'), (10480, 'P1'), (8807, 'L21'), (8980, 'S0'), (10892, 'S9'), (10760, 'Q25')
J19         | (7276, 'Z9'), (8807, 'L21'), (10480, 'P1'), (10760, 'Q25'), (8980, 'S0'), (10892, 'S9')
Z9          | (3444, 'U'), (8980, 'S0'), (8807, 'L21'), (10760, 'Q25'), (10892, 'S9'), (10480, 'P1')
U           | (7077, 'V18'), (8807, 'L21'), (9945, 'U17'), (8980, 'S0'), (10892, 'S9'), (10480, 'P1'), (10763, 'U23'), (10760, 'Q25'), (9747, 'V2')
V18         | (8807, 'L21'), (8980, 'S0'), (9945, 'U17'), (9747, 'V2'), (10892, 'S9'), (10480, 'P1'), (10763, 'U23'), (10760, 'Q25')
L21         | (8980, 'S0'), (9747, 'V2'), (9945, 'U17'), (10760, 'Q25'), (10892, 'S9'), (10480, 'P1'), (10763, 'U23')
S0          | (9747, 'V2'), (10760, 'Q25'), (9945, 'U17'), (10763, 'U23'), (10892, 'S9'), (10480, 'P1')
V2          | (9945, 'U17'), (10760, 'Q25'), (10480, 'P1'), (10763, 'U23'), (10892, 'S9')
U17         | (10480, 'P1'), (10760, 'Q25'), (10892, 'S9'), (10763, 'U23')
P1          | (10760, 'Q25'), (10763, 'U23'), (10892, 'S9')
Q25         | (10763, 'U23'), (10892, 'S9')
U23         | (4353, 'T'), (10892, 'S9')
T           | (4267, 'Z22'), (5087, 'T2'), (12855, 'V9'), (10892, 'S9')
Z22         | (5087, 'T2'), (5535, 'C'), (12855, 'V9'), (10892, 'S9'), (8582, 'Z')
T2          | (5535, 'C'), (8582, 'Z'), (12855, 'V9'), (10892, 'S9'), (9823, 'I')
C           | (5586, 'O16'), (6578, 'L15'), (5817, 'L13'), (6983, 'R7'), (6822, 'Z2'), (11235, 'N21'), (6643, 'P0'), (7099, 'C4'), (8556, 'T4'), (6895, 'J14'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (11524, 'Q4'), (10892, 'S9'), (10624, 'S6'), (8582, 'Z'), (9747, 'T7'), (9823, 'I')
