dictionary size=  100000
list element size=  100 

Start value = P  Goal value = V 

Expand Node | Fringe
--------------------
-           | (61913, 'P')
P           | (38426, 'Z23'), (79779, 'W1'), (44240, 'W17'), (97750, 'T11'), (80139, 'U0'), (84747, 'R23')
Z23         | (23866, 'L'), (79779, 'W1'), (44240, 'W17'), (97750, 'T11'), (80139, 'U0'), (84747, 'R23')
L           | (16658, 'V19'), (20255, 'T15'), (22757, 'X21'), (74583, 'Z24'), (39717, 'T21'), (39123, 'W3'), (29951, 'Z22'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (75045, 'U3'), (84747, 'R23'), (44240, 'W17'), (82361, 'M13'), (30372, 'Y8'), (97750, 'T11')
V19         | (20255, 'T15'), (39717, 'T21'), (22757, 'X21'), (74583, 'Z24'), (75045, 'U3'), (39123, 'W3'), (29951, 'Z22'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (97750, 'T11'), (84747, 'R23'), (44240, 'W17'), (82361, 'M13'), (30372, 'Y8')
T15         | (22757, 'X21'), (39717, 'T21'), (29951, 'Z22'), (74583, 'Z24'), (75045, 'U3'), (39123, 'W3'), (30372, 'Y8'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (97750, 'T11'), (84747, 'R23'), (44240, 'W17'), (82361, 'M13')
X21         | (29951, 'Z22'), (39717, 'T21'), (30372, 'Y8'), (74583, 'Z24'), (75045, 'U3'), (39123, 'W3'), (82361, 'M13'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (97750, 'T11'), (84747, 'R23'), (44240, 'W17')
Z22         | (30372, 'Y8'), (39717, 'T21'), (39123, 'W3'), (74583, 'Z24'), (75045, 'U3'), (44240, 'W17'), (82361, 'M13'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (97750, 'T11'), (84747, 'R23')
Y8          | (39123, 'W3'), (39717, 'T21'), (44240, 'W17'), (74583, 'Z24'), (75045, 'U3'), (84747, 'R23'), (82361, 'M13'), (79779, 'W1'), (92506, 'T22'), (80139, 'U0'), (97750, 'T11')
W3          | (39717, 'T21'), (74583, 'Z24'), (44240, 'W17'), (79779, 'W1'), (75045, 'U3'), (84747, 'R23'), (82361, 'M13'), (97750, 'T11'), (92506, 'T22'), (80139, 'U0')
T21         | (9124, 'T'), (44240, 'W17'), (80139, 'U0'), (79779, 'W1'), (74583, 'Z24'), (84747, 'R23'), (82361, 'M13'), (97750, 'T11'), (92506, 'T22'), (75045, 'U3')
T           | (44240, 'W17'), (74583, 'Z24'), (80139, 'U0'), (79779, 'W1'), (75045, 'U3'), (84747, 'R23'), (82361, 'M13'), (97750, 'T11'), (92506, 'T22')
