dictionary size=  10
list element size=  10 

Start value = M  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (1, 'M')
M           | (2, 'Z17'), (6, 'P3'), (10, 'M4'), (13, 'S2'), (13, 'O22'), (10, 'T17'), (14, 'V13'), (13, 'V23'), (16, 'Y6'), (18, 'S6'), (17, 'Z25')
Z17         | (6, 'P3'), (13, 'O22'), (10, 'M4'), (13, 'S2'), (17, 'Z25'), (10, 'T17'), (14, 'V13'), (13, 'V23'), (16, 'Y6'), (18, 'S6')
P3          | (10, 'M4'), (13, 'O22'), (10, 'T17'), (13, 'S2'), (17, 'Z25'), (18, 'S6'), (14, 'V13'), (13, 'V23'), (16, 'Y6')
M4          | (10, 'T17'), (13, 'O22'), (14, 'V13'), (13, 'S2'), (17, 'Z25'), (18, 'S6'), (16, 'Y6'), (13, 'V23')
T17         | (13, 'D'), (13, 'O22'), (14, 'V13'), (13, 'S2'), (17, 'Z25'), (18, 'S6'), (16, 'Y6'), (13, 'V23')
D           | (13, 'O22'), (13, 'S2'), (14, 'V13'), (13, 'V23'), (17, 'Z25'), (18, 'S6'), (16, 'Y6'), (19, 'E9'), (20, 'J11'), (19, 'J23'), (25, 'K0'), (26, 'K13'), (21, 'O8'), (19, 'R24'), (24, 'W13'), (25, 'X24')
O22         | (13, 'S2'), (13, 'V23'), (14, 'V13'), (19, 'E9'), (17, 'Z25'), (18, 'S6'), (16, 'Y6'), (25, 'X24'), (20, 'J11'), (19, 'J23'), (25, 'K0'), (26, 'K13'), (21, 'O8'), (19, 'R24'), (24, 'W13')
S2          | (13, 'V23'), (17, 'Z25'), (14, 'V13'), (19, 'E9'), (19, 'J23'), (18, 'S6'), (16, 'Y6'), (25, 'X24'), (20, 'J11'), (24, 'W13'), (25, 'K0'), (26, 'K13'), (21, 'O8'), (19, 'R24')
V23         | (14, 'V13'), (17, 'Z25'), (15, 'C'), (19, 'E9'), (19, 'J23'), (18, 'S6'), (16, 'Y6'), (25, 'X24'), (20, 'J11'), (24, 'W13'), (25, 'K0'), (26, 'K13'), (21, 'O8'), (19, 'R24')
V13         | (15, 'C'), (17, 'Z25'), (16, 'Y6'), (19, 'E9'), (19, 'J23'), (18, 'S6'), (19, 'R24'), (25, 'X24'), (20, 'J11'), (24, 'W13'), (25, 'K0'), (26, 'K13'), (21, 'O8')
C           | (12, 'V12'), (13, 'W19'), (16, 'K23'), (17, 'Z25'), (16, 'G4'), (18, 'Z13'), (16, 'Y6'), (21, 'M6'), (19, 'E9'), (19, 'J23'), (17, 'Q5'), (19, 'C21'), (21, 'O8'), (19, 'R24'), (18, 'S6'), (25, 'X24'), (23, 'N11'), (20, 'J11'), (19, 'Q21'), (24, 'W13'), (20, 'U25'), (25, 'K0'), (17, 'R19'), (26, 'K13'), (23, 'Y16'), (25, 'Z18')
V12         | (13, 'W19'), (16, 'G4'), (16, 'K23'), (17, 'Z25'), (17, 'Q5'), (18, 'Z13'), (16, 'Y6'), (21, 'M6'), (19, 'E9'), (19, 'J23'), (17, 'R19'), (19, 'C21'), (21, 'O8'), (19, 'R24'), (18, 'S6'), (25, 'X24'), (23, 'N11'), (20, 'J11'), (19, 'Q21'), (24, 'W13'), (20, 'U25'), (25, 'K0'), (25, 'Z18'), (26, 'K13'), (23, 'Y16')
W19         | (16, 'G4'), (17, 'Q5'), (16, 'K23'), (17, 'Z25'), (17, 'R19'), (18, 'Z13'), (16, 'Y6'), (21, 'M6'), (19, 'E9'), (19, 'J23'), (23, 'Y16'), (19, 'C21'), (21, 'O8'), (19, 'R24'), (18, 'S6'), (25, 'X24'), (23, 'N11'), (20, 'J11'), (19, 'Q21'), (24, 'W13'), (20, 'U25'), (25, 'K0'), (25, 'Z18'), (26, 'K13')
G4          | (16, 'K23'), (17, 'Q5'), (16, 'Y6'), (17, 'Z25'), (17, 'R19'), (18, 'Z13'), (18, 'S6'), (21, 'M6'), (19, 'E9'), (19, 'J23'), (23, 'Y16'), (19, 'C21'), (21, 'O8'), (19, 'R24'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (20, 'J11'), (19, 'Q21'), (24, 'W13'), (20, 'U25'), (25, 'K0'), (25, 'Z18'), (28, 'G')
