dictionary size=  100
list element size=  100000 

Start value = V  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (15, 'V')
V           | (6003, 'W22'), (84817, 'W0'), (49771, 'Z3')
W22         | (49771, 'Z3'), (84817, 'W0'), (70361, 'S')
Z3          | (70361, 'S'), (84817, 'W0')
S           | (81480, 'W1'), (84817, 'W0'), (93923, 'V13'), (161129, 'T11'), (144312, 'W2')
W1          | (84817, 'W0'), (144312, 'W2'), (93923, 'V13'), (161129, 'T11')
W0          | (93923, 'V13'), (144312, 'W2'), (161129, 'T11')
V13         | (144312, 'W2'), (161129, 'T11')
W2          | (161129, 'T11'), (180559, 'B')
T11         | (180559, 'B')
B           | (200985, 'N5'), (201644, 'U10'), (246441, 'J3'), (230986, 'S16'), (209107, 'F25'), (272570, 'O16'), (261467, 'Q22'), (254913, 'H14'), (243826, 'S25'), (256694, 'T14'), (213393, 'L10')
N5          | (201644, 'U10'), (209107, 'F25'), (246441, 'J3'), (230986, 'S16'), (213393, 'L10'), (272570, 'O16'), (261467, 'Q22'), (254913, 'H14'), (243826, 'S25'), (256694, 'T14')
U10         | (209107, 'F25'), (213393, 'L10'), (246441, 'J3'), (230986, 'S16'), (256694, 'T14'), (272570, 'O16'), (261467, 'Q22'), (254913, 'H14'), (243826, 'S25'), (296201, 'Q')
F25         | (213393, 'L10'), (230986, 'S16'), (246441, 'J3'), (243826, 'S25'), (256694, 'T14'), (272570, 'O16'), (261467, 'Q22'), (254913, 'H14'), (296201, 'Q')
L10         | (230986, 'S16'), (243826, 'S25'), (246441, 'J3'), (254913, 'H14'), (256694, 'T14'), (272570, 'O16'), (261467, 'Q22'), (296201, 'Q')
S16         | (243826, 'S25'), (254913, 'H14'), (246441, 'J3'), (296201, 'Q'), (256694, 'T14'), (272570, 'O16'), (261467, 'Q22')
S25         | (244398, 'G'), (246441, 'J3'), (261467, 'Q22'), (254913, 'H14'), (256694, 'T14'), (272570, 'O16'), (295445, 'C'), (296201, 'Q')
G           | (245478, 'I20'), (246441, 'J3'), (247734, 'P14'), (254913, 'H14'), (251593, 'G7'), (272570, 'O16'), (260990, 'S10'), (278725, 'S17'), (256823, 'Z1'), (256694, 'T14'), (258592, 'J8'), (326799, 'K12'), (288698, 'L12'), (295445, 'C'), (261467, 'Q22'), (296201, 'Q'), (317756, 'T2'), (311070, 'G24')
