dictionary size=  1000
list element size=  10000 

Start value = I  Goal value = W 

Expand Node | Fringe
--------------------
-           | (53, 'I')
I           | (3196, 'J24'), (4082, 'L1'), (6118, 'N17'), (8413, 'Z13'), (7857, 'M21'), (9579, 'K0'), (8582, 'O11'), (8801, 'J9')
J24         | (4082, 'L1'), (7857, 'M21'), (6118, 'N17'), (8413, 'Z13'), (8801, 'J9'), (9579, 'K0'), (8582, 'O11')
L1          | (6118, 'N17'), (7857, 'M21'), (8582, 'O11'), (8413, 'Z13'), (8801, 'J9'), (9579, 'K0')
N17         | (7857, 'M21'), (8413, 'Z13'), (8582, 'O11'), (9579, 'K0'), (8801, 'J9')
M21         | (8413, 'Z13'), (8801, 'J9'), (8582, 'O11'), (9579, 'K0'), (14881, 'B'), (15602, 'M')
Z13         | (8582, 'O11'), (8801, 'J9'), (15602, 'M'), (9579, 'K0'), (14881, 'B')
O11         | (8801, 'J9'), (9579, 'K0'), (15602, 'M'), (14881, 'B')
J9          | (9579, 'K0'), (14881, 'B'), (15602, 'M')
K0          | (14881, 'B'), (15602, 'M')
B           | (14469, 'F6'), (15602, 'M'), (15191, 'D11'), (15733, 'S8'), (16764, 'B2'), (16103, 'P11'), (18982, 'P22'), (19206, 'C21'), (20435, 'H18'), (18093, 'W22'), (22902, 'J4'), (24583, 'C16'), (19343, 'L19'), (21888, 'E25'), (19072, 'P17'), (22305, 'Q8'), (21534, 'G19'), (22303, 'S11'), (20507, 'V5'), (22328, 'H23'), (19904, 'V25')
F6          | (15191, 'D11'), (15602, 'M'), (16103, 'P11'), (15733, 'S8'), (16764, 'B2'), (19343, 'L19'), (18982, 'P22'), (19206, 'C21'), (20435, 'H18'), (18093, 'W22'), (22902, 'J4'), (24583, 'C16'), (19904, 'V25'), (21888, 'E25'), (19072, 'P17'), (22305, 'Q8'), (21534, 'G19'), (22303, 'S11'), (20507, 'V5'), (22328, 'H23')
D11         | (15602, 'M'), (15733, 'S8'), (16103, 'P11'), (19206, 'C21'), (16764, 'B2'), (19343, 'L19'), (18982, 'P22'), (21534, 'G19'), (20435, 'H18'), (18093, 'W22'), (22902, 'J4'), (24583, 'C16'), (19904, 'V25'), (21888, 'E25'), (19072, 'P17'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (20507, 'V5')
M           | (15733, 'S8'), (16420, 'S15'), (16103, 'P11'), (19206, 'C21'), (16764, 'B2'), (19343, 'L19'), (18982, 'P22'), (21534, 'G19'), (20435, 'H18'), (20507, 'V5'), (18093, 'W22'), (21820, 'T15'), (19904, 'V25'), (21888, 'E25'), (19072, 'P17'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (21377, 'Q11'), (24871, 'Q15'), (23171, 'R14'), (22902, 'J4'), (20287, 'T4'), (24583, 'C16'), (25217, 'U15'), (21147, 'Z20')
S8          | (16103, 'P11'), (16420, 'S15'), (18982, 'P22'), (19206, 'C21'), (16764, 'B2'), (19343, 'L19'), (19072, 'P17'), (21534, 'G19'), (20435, 'H18'), (20507, 'V5'), (18093, 'W22'), (21820, 'T15'), (19904, 'V25'), (21888, 'E25'), (21147, 'Z20'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (21377, 'Q11'), (24871, 'Q15'), (23171, 'R14'), (22902, 'J4'), (20287, 'T4'), (24583, 'C16'), (25217, 'U15')
P11         | (16420, 'S15'), (16764, 'B2'), (18982, 'P22'), (19206, 'C21'), (18093, 'W22'), (19343, 'L19'), (19072, 'P17'), (21534, 'G19'), (20435, 'H18'), (20507, 'V5'), (20287, 'T4'), (21820, 'T15'), (19904, 'V25'), (21888, 'E25'), (21147, 'Z20'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (21377, 'Q11'), (24871, 'Q15'), (23171, 'R14'), (22902, 'J4'), (25217, 'U15'), (24583, 'C16')
S15         | (16764, 'B2'), (18093, 'W22'), (18982, 'P22'), (19206, 'C21'), (20287, 'T4'), (19343, 'L19'), (19072, 'P17'), (21534, 'G19'), (20435, 'H18'), (20507, 'V5'), (22902, 'J4'), (21820, 'T15'), (19904, 'V25'), (21888, 'E25'), (21147, 'Z20'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (21377, 'Q11'), (24871, 'Q15'), (23171, 'R14'), (24583, 'C16'), (25217, 'U15')
