dictionary size=  1000
list element size=  10 

Start value = T  Goal value = I 

Expand Node | Fringe
--------------------
-           | (489, 'T')
T           | (249, 'T19'), (879, 'W7'), (380, 'X24'), (914, 'Y18'), (1003, 'Z0'), (955, 'Z4')
T19         | (380, 'X24'), (879, 'W7'), (955, 'Z4'), (914, 'Y18'), (1003, 'Z0')
X24         | (879, 'W7'), (914, 'Y18'), (955, 'Z4'), (1003, 'Z0'), (982, 'W')
W7          | (914, 'Y18'), (982, 'W'), (955, 'Z4'), (1003, 'Z0')
Y18         | (385, 'B'), (955, 'Z4'), (1003, 'Z0'), (982, 'W')
B           | (50, 'Z8'), (52, 'P23'), (69, 'F13'), (135, 'N8'), (223, 'L2'), (80, 'G0'), (429, 'I8'), (297, 'F19'), (152, 'V4'), (955, 'Z4'), (950, 'M4'), (1003, 'Z0'), (371, 'Q4'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (811, 'J18'), (663, 'X5')
Z8          | (52, 'P23'), (135, 'N8'), (69, 'F13'), (152, 'V4'), (223, 'L2'), (80, 'G0'), (429, 'I8'), (297, 'F19'), (663, 'X5'), (955, 'Z4'), (950, 'M4'), (1003, 'Z0'), (371, 'Q4'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (811, 'J18')
P23         | (69, 'F13'), (126, 'H'), (80, 'G0'), (135, 'N8'), (223, 'L2'), (371, 'Q4'), (429, 'I8'), (297, 'F19'), (152, 'V4'), (955, 'Z4'), (950, 'M4'), (1003, 'Z0'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (929, 'C'), (663, 'X5')
F13         | (80, 'G0'), (126, 'H'), (371, 'Q4'), (135, 'N8'), (223, 'L2'), (663, 'X5'), (429, 'I8'), (297, 'F19'), (152, 'V4'), (955, 'Z4'), (950, 'M4'), (1003, 'Z0'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (929, 'C')
G0          | (126, 'H'), (135, 'N8'), (371, 'Q4'), (152, 'V4'), (223, 'L2'), (663, 'X5'), (429, 'I8'), (297, 'F19'), (929, 'C'), (955, 'Z4'), (950, 'M4'), (1003, 'Z0'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3')
H           | (52, 'L25'), (64, 'H15'), (371, 'Q4'), (152, 'V4'), (135, 'N8'), (578, 'V24'), (429, 'I8'), (297, 'F19'), (206, 'J2'), (223, 'L2'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (929, 'C'), (869, 'K22'), (955, 'Z4'), (470, 'L24'), (950, 'M4'), (885, 'N14'), (1003, 'Z0'), (726, 'W17')
L25         | (64, 'H15'), (135, 'N8'), (371, 'Q4'), (152, 'V4'), (223, 'L2'), (578, 'V24'), (429, 'I8'), (297, 'F19'), (206, 'J2'), (470, 'L24'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (929, 'C'), (869, 'K22'), (955, 'Z4'), (726, 'W17'), (950, 'M4'), (885, 'N14'), (1003, 'Z0')
H15         | (135, 'N8'), (152, 'V4'), (371, 'Q4'), (206, 'J2'), (223, 'L2'), (578, 'V24'), (429, 'I8'), (297, 'F19'), (869, 'K22'), (470, 'L24'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (429, 'X3'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (726, 'W17'), (950, 'M4'), (885, 'N14')
N8          | (152, 'V4'), (206, 'J2'), (371, 'Q4'), (297, 'F19'), (223, 'L2'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (869, 'K22'), (470, 'L24'), (291, 'N'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (885, 'N14'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (726, 'W17'), (950, 'M4'), (702, 'Q16')
V4          | (206, 'J2'), (208, 'A'), (371, 'Q4'), (297, 'F19'), (223, 'L2'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (869, 'K22'), (470, 'L24'), (291, 'N'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (885, 'N14'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (726, 'W17'), (950, 'M4'), (702, 'Q16')
J2          | (208, 'A'), (223, 'L2'), (371, 'Q4'), (297, 'F19'), (291, 'N'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (869, 'K22'), (470, 'L24'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (982, 'W'), (885, 'N14'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (726, 'W17'), (950, 'M4')
A           | (38, 'O17'), (106, 'S18'), (107, 'B8'), (116, 'V8'), (291, 'N'), (371, 'Q4'), (109, 'D11'), (223, 'L2'), (642, 'Z21'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (429, 'I8'), (223, 'O6'), (632, 'S5'), (297, 'F19'), (869, 'K22'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (873, 'Q8'), (659, 'Q11'), (263, 'N13'), (982, 'W'), (920, 'R9'), (885, 'N14'), (429, 'X3'), (929, 'C')
