dictionary size=  10000
list element size=  100 

Start value = J  Goal value = P 

Expand Node | Fringe
--------------------
-           | (7197, 'J')
J           | (823, 'Y7'), (6274, 'L3'), (4304, 'X5'), (9685, 'O19'), (9682, 'R1'), (6641, 'P18'), (5074, 'V10')
Y7          | (4304, 'X5'), (6274, 'L3'), (5074, 'V10'), (9685, 'O19'), (9682, 'R1'), (6641, 'P18')
X5          | (5074, 'V10'), (6274, 'L3'), (6641, 'P18'), (9685, 'O19'), (9682, 'R1')
V10         | (6274, 'L3'), (9682, 'R1'), (6641, 'P18'), (9685, 'O19')
L3          | (5534, 'K'), (6641, 'P18'), (9685, 'O19'), (9682, 'R1')
K           | (777, 'T25'), (1534, 'O0'), (1685, 'K7'), (4259, 'L16'), (3243, 'Q9'), (9685, 'O19'), (3199, 'Z3'), (9682, 'R1'), (8122, 'Q15'), (6641, 'P18'), (5880, 'V0'), (10038, 'W13'), (9863, 'X7'), (5184, 'N14')
T25         | (841, 'O'), (3243, 'Q9'), (1534, 'O0'), (4259, 'L16'), (5184, 'N14'), (9685, 'O19'), (1685, 'K7'), (9682, 'R1'), (8122, 'Q15'), (6641, 'P18'), (5880, 'V0'), (10038, 'W13'), (9863, 'X7'), (3199, 'Z3'), (2629, 'R')
O           | (522, 'S11'), (1227, 'X3'), (1685, 'K7'), (3243, 'Q9'), (1534, 'O0'), (9685, 'O19'), (2629, 'R'), (6406, 'Q2'), (4259, 'L16'), (4803, 'X6'), (5125, 'Y8'), (10038, 'W13'), (9863, 'X7'), (3199, 'Z3'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (6472, 'S19'), (6641, 'P18'), (5184, 'N14'), (8790, 'Y6'), (5880, 'V0')
S11         | (1227, 'X3'), (1534, 'O0'), (1685, 'K7'), (3243, 'Q9'), (4803, 'X6'), (9685, 'O19'), (2629, 'R'), (6406, 'Q2'), (4259, 'L16'), (5184, 'N14'), (5125, 'Y8'), (10038, 'W13'), (9863, 'X7'), (3199, 'Z3'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (6472, 'S19'), (6641, 'P18'), (5880, 'V0'), (8790, 'Y6')
X3          | (1534, 'O0'), (3243, 'Q9'), (1685, 'K7'), (4259, 'L16'), (4803, 'X6'), (9685, 'O19'), (2629, 'R'), (6406, 'Q2'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (10038, 'W13'), (9863, 'X7'), (3199, 'Z3'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (8790, 'Y6'), (6641, 'P18'), (5880, 'V0')
O0          | (1685, 'K7'), (3243, 'Q9'), (2629, 'R'), (4259, 'L16'), (4803, 'X6'), (9685, 'O19'), (3199, 'Z3'), (6406, 'Q2'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (10038, 'W13'), (9863, 'X7'), (5880, 'V0'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (8790, 'Y6'), (6641, 'P18')
K7          | (2629, 'R'), (3243, 'Q9'), (3199, 'Z3'), (4259, 'L16'), (4803, 'X6'), (9685, 'O19'), (5880, 'V0'), (6406, 'Q2'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (10038, 'W13'), (9863, 'X7'), (6641, 'P18'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (8790, 'Y6')
R           | (654, 'W2'), (1925, 'R18'), (5332, 'Y9'), (3243, 'Q9'), (3199, 'Z3'), (5880, 'V0'), (6641, 'P18'), (6406, 'Q2'), (4259, 'L16'), (4876, 'U18'), (4803, 'X6'), (9685, 'O19'), (9863, 'X7'), (8790, 'Y6'), (8906, 'P16'), (9682, 'R1'), (7935, 'Q24'), (8122, 'Q15'), (6472, 'S19'), (9145, 'S6'), (5184, 'N14'), (5125, 'Y8'), (6198, 'W11'), (10038, 'W13')
