dictionary size=  1000000
list element size=  1000 

Start value = H  Goal value = M 

Expand Node | Fringe
--------------------
-           | (401223, 'H')
H           | (303433, 'M5'), (330541, 'J6'), (396703, 'W5'), (563526, 'W16'), (482737, 'H3'), (621398, 'M7'), (475765, 'H21'), (852824, 'K15'), (983833, 'X15'), (664951, 'Y24')
M5          | (217599, 'I'), (330541, 'J6'), (396703, 'W5'), (563526, 'W16'), (482737, 'H3'), (621398, 'M7'), (475765, 'H21'), (852824, 'K15'), (983833, 'X15'), (664951, 'Y24')
I           | (147919, 'T0'), (482737, 'H3'), (330541, 'J6'), (548450, 'Z14'), (494966, 'J22'), (414379, 'S9'), (396703, 'W5'), (563526, 'W16'), (983833, 'X15'), (664951, 'Y24'), (508638, 'M19'), (621398, 'M7'), (559564, 'O15'), (475765, 'H21'), (866656, 'T20'), (852824, 'K15')
T0          | (330541, 'J6'), (482737, 'H3'), (396703, 'W5'), (548450, 'Z14'), (494966, 'J22'), (414379, 'S9'), (475765, 'H21'), (563526, 'W16'), (983833, 'X15'), (664951, 'Y24'), (508638, 'M19'), (621398, 'M7'), (559564, 'O15'), (852824, 'K15'), (866656, 'T20')
J6          | (396703, 'W5'), (482737, 'H3'), (414379, 'S9'), (548450, 'Z14'), (494966, 'J22'), (559564, 'O15'), (475765, 'H21'), (563526, 'W16'), (983833, 'X15'), (664951, 'Y24'), (508638, 'M19'), (621398, 'M7'), (866656, 'T20'), (852824, 'K15')
W5          | (414379, 'S9'), (482737, 'H3'), (475765, 'H21'), (548450, 'Z14'), (494966, 'J22'), (559564, 'O15'), (852824, 'K15'), (563526, 'W16'), (983833, 'X15'), (664951, 'Y24'), (508638, 'M19'), (621398, 'M7'), (866656, 'T20')
S9          | (89639, 'E'), (482737, 'H3'), (475765, 'H21'), (548450, 'Z14'), (494966, 'J22'), (559564, 'O15'), (852824, 'K15'), (563526, 'W16'), (983833, 'X15'), (664951, 'Y24'), (508638, 'M19'), (866656, 'T20'), (621398, 'M7')
E           | (236886, 'M10'), (466971, 'P2'), (467897, 'Z25'), (482737, 'H3'), (494966, 'J22'), (475765, 'H21'), (559564, 'O15'), (548450, 'Z14'), (874454, 'P5'), (640757, 'W2'), (497239, 'X20'), (621398, 'M7'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (563526, 'W16'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (508638, 'M19'), (866656, 'T20')
M10         | (466971, 'P2'), (482737, 'H3'), (467897, 'Z25'), (548450, 'Z14'), (494966, 'J22'), (475765, 'H21'), (559564, 'O15'), (563526, 'W16'), (874454, 'P5'), (640757, 'W2'), (497239, 'X20'), (621398, 'M7'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (866656, 'T20'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (508638, 'M19')
P2          | (467897, 'Z25'), (482737, 'H3'), (475765, 'H21'), (548450, 'Z14'), (494966, 'J22'), (508638, 'M19'), (559564, 'O15'), (563526, 'W16'), (874454, 'P5'), (640757, 'W2'), (497239, 'X20'), (621398, 'M7'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (866656, 'T20'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13')
Z25         | (475765, 'H21'), (482737, 'H3'), (508638, 'M19'), (548450, 'Z14'), (494966, 'J22'), (621398, 'M7'), (559564, 'O15'), (563526, 'W16'), (874454, 'P5'), (640757, 'W2'), (497239, 'X20'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (866656, 'T20'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22'), (664951, 'Y24')
H21         | (482737, 'H3'), (494966, 'J22'), (508638, 'M19'), (548450, 'Z14'), (497239, 'X20'), (621398, 'M7'), (559564, 'O15'), (563526, 'W16'), (874454, 'P5'), (640757, 'W2'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (866656, 'T20'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22')
H3          | (494966, 'J22'), (497239, 'X20'), (508638, 'M19'), (548450, 'Z14'), (640757, 'W2'), (621398, 'M7'), (559564, 'O15'), (563526, 'W16'), (874454, 'P5'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (777580, 'O21'), (866656, 'T20'), (983833, 'X15'), (963903, 'Q0')
J22         | (497239, 'X20'), (548450, 'Z14'), (508638, 'M19'), (563526, 'W16'), (640757, 'W2'), (621398, 'M7'), (559564, 'O15'), (777580, 'O21'), (874454, 'P5'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (826883, 'I16'), (963903, 'Q0'), (866656, 'T20'), (983833, 'X15')
X20         | (508638, 'M19'), (548450, 'Z14'), (559564, 'O15'), (563526, 'W16'), (640757, 'W2'), (621398, 'M7'), (826883, 'I16'), (777580, 'O21'), (869632, 'Q'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (983833, 'X15'), (963903, 'Q0'), (866656, 'T20'), (874454, 'P5')
M19         | (548450, 'Z14'), (563526, 'W16'), (559564, 'O15'), (777580, 'O21'), (640757, 'W2'), (621398, 'M7'), (826883, 'I16'), (866656, 'T20'), (869632, 'Q'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (983833, 'X15'), (963903, 'Q0'), (874454, 'P5')
Z14         | (559564, 'O15'), (563526, 'W16'), (621398, 'M7'), (777580, 'O21'), (640757, 'W2'), (874454, 'P5'), (826883, 'I16'), (866656, 'T20'), (868502, 'Q'), (843998, 'T22'), (664951, 'Y24'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (983833, 'X15'), (963903, 'Q0'), (911581, 'F'), (869632, 'Q')
O15         | (563526, 'W16'), (640757, 'W2'), (621398, 'M7'), (777580, 'O21'), (664951, 'Y24'), (874454, 'P5'), (826883, 'I16'), (866656, 'T20'), (868502, 'Q'), (843998, 'T22'), (869632, 'Q'), (908234, 'W13'), (879227, 'E13'), (852824, 'K15'), (983833, 'X15'), (963903, 'Q0'), (911581, 'F')
W16         | (621398, 'M7'), (640757, 'W2'), (826883, 'I16'), (777580, 'O21'), (664951, 'Y24'), (874454, 'P5'), (852824, 'K15'), (866656, 'T20'), (868502, 'Q'), (843998, 'T22'), (869632, 'Q'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (963903, 'Q0')
M7          | (640757, 'W2'), (645887, 'D'), (826883, 'I16'), (664951, 'Y24'), (843998, 'T22'), (874454, 'P5'), (852824, 'K15'), (777580, 'O21'), (868502, 'Q'), (963903, 'Q0'), (869632, 'Q'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (866656, 'T20'), (909830, 'F')
W2          | (645887, 'D'), (664951, 'Y24'), (826883, 'I16'), (777580, 'O21'), (843998, 'T22'), (874454, 'P5'), (852824, 'K15'), (866656, 'T20'), (868502, 'Q'), (963903, 'Q0'), (869632, 'Q'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F')
D           | (103117, 'R14'), (268372, 'F15'), (332767, 'Y19'), (478616, 'H13'), (354694, 'N7'), (393704, 'T15'), (852824, 'K15'), (777580, 'O21'), (534896, 'G21'), (488144, 'N0'), (458165, 'M9'), (826883, 'I16'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (869632, 'Q'), (697938, 'N10'), (908234, 'W13'), (874454, 'P5')
R14         | (268372, 'F15'), (354694, 'N7'), (332767, 'Y19'), (478616, 'H13'), (458165, 'M9'), (393704, 'T15'), (852824, 'K15'), (777580, 'O21'), (534896, 'G21'), (488144, 'N0'), (697938, 'N10'), (826883, 'I16'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (869632, 'Q'), (874454, 'P5'), (908234, 'W13')
F15         | (332767, 'Y19'), (354694, 'N7'), (393704, 'T15'), (478616, 'H13'), (458165, 'M9'), (826883, 'I16'), (852824, 'K15'), (777580, 'O21'), (534896, 'G21'), (488144, 'N0'), (697938, 'N10'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (869632, 'Q'), (874454, 'P5')
Y19         | (354694, 'N7'), (458165, 'M9'), (393704, 'T15'), (478616, 'H13'), (488144, 'N0'), (826883, 'I16'), (852824, 'K15'), (777580, 'O21'), (534896, 'G21'), (843998, 'T22'), (554142, 'G'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (697938, 'N10')
N7          | (257986, 'B'), (393704, 'T15'), (697938, 'N10'), (478616, 'H13'), (458165, 'M9'), (826883, 'I16'), (852824, 'K15'), (777580, 'O21'), (534896, 'G21'), (843998, 'T22'), (488144, 'N0'), (908234, 'W13'), (879227, 'E13'), (911581, 'F'), (983833, 'X15'), (909830, 'F'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (554142, 'G')
B           | (49218, 'R10'), (458165, 'M9'), (266254, 'F5'), (478616, 'H13'), (488144, 'N0'), (567427, 'I21'), (393704, 'T15'), (777580, 'O21'), (534896, 'G21'), (843998, 'T22'), (546868, 'E7'), (697938, 'N10'), (740469, 'K18'), (491489, 'V14'), (738591, 'X7'), (895699, 'Y6'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (554142, 'G'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (852824, 'K15'), (994934, 'X6'), (983833, 'X15'), (909830, 'F')
