dictionary size=  10
list element size=  1000 

Start value = V  Goal value = K 

Expand Node | Fringe
--------------------
-           | (4, 'V')
V           | (337, 'Y9'), (442, 'W9'), (873, 'Y5'), (875, 'W5')
Y9          | (442, 'W9'), (875, 'W5'), (873, 'Y5')
W9          | (873, 'Y5'), (875, 'W5')
Y5          | (875, 'W5'), (1860, 'C')
W5          | (1860, 'C')
C           | (1883, 'R0'), (2030, 'K23'), (2016, 'O4'), (2205, 'W16'), (2349, 'J6'), (2769, 'J16'), (2462, 'S15'), (2503, 'J0'), (2617, 'W19'), (2467, 'X7')
R0          | (2016, 'O4'), (2030, 'K23'), (2462, 'S15'), (2205, 'W16'), (2349, 'J6'), (2769, 'J16'), (2467, 'X7'), (2503, 'J0'), (2617, 'W19')
O4          | (2030, 'K23'), (2205, 'W16'), (2462, 'S15'), (2503, 'J0'), (2349, 'J6'), (2769, 'J16'), (2467, 'X7'), (2617, 'W19')
K23         | (2189, 'F'), (2205, 'W16'), (2462, 'S15'), (2349, 'J6'), (2617, 'W19'), (2769, 'J16'), (2467, 'X7'), (2503, 'J0')
F           | (2193, 'T16'), (2349, 'J6'), (2205, 'W16'), (2374, 'G6'), (2459, 'M10'), (2769, 'J16'), (2267, 'Y11'), (2503, 'J0'), (2467, 'H25'), (3106, 'L21'), (2617, 'W19'), (3046, 'S21'), (3137, 'T8'), (2467, 'X7'), (2462, 'S15'), (2757, 'Y23'), (2743, 'Z10')
T16         | (2205, 'W16'), (2349, 'J6'), (2267, 'Y11'), (2374, 'G6'), (2459, 'M10'), (2769, 'J16'), (2462, 'S15'), (2503, 'J0'), (2467, 'H25'), (3106, 'L21'), (2617, 'W19'), (3046, 'S21'), (3137, 'T8'), (2467, 'X7'), (2743, 'Z10'), (2757, 'Y23')
W16         | (2267, 'Y11'), (2349, 'J6'), (2462, 'S15'), (2351, 'M'), (2459, 'M10'), (2769, 'J16'), (2467, 'X7'), (2374, 'G6'), (2467, 'H25'), (3106, 'L21'), (2617, 'W19'), (3046, 'S21'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (3136, 'E'), (2503, 'J0')
Y11         | (2349, 'J6'), (2351, 'M'), (2462, 'S15'), (2374, 'G6'), (2459, 'M10'), (2769, 'J16'), (2467, 'X7'), (2503, 'J0'), (2467, 'H25'), (3106, 'L21'), (2617, 'W19'), (3046, 'S21'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (3136, 'E')
J6          | (2351, 'M'), (2374, 'G6'), (2462, 'S15'), (2467, 'H25'), (2459, 'M10'), (2769, 'J16'), (2467, 'X7'), (2503, 'J0'), (3136, 'E'), (3106, 'L21'), (2617, 'W19'), (3046, 'S21'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (2767, 'D')
M           | (2374, 'G6'), (2394, 'U3'), (2442, 'Z22'), (2467, 'H25'), (2459, 'M10'), (2462, 'S15'), (2467, 'X7'), (2503, 'J0'), (2653, 'R22'), (2464, 'V4'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (2536, 'N7'), (2517, 'P4'), (3136, 'E'), (2711, 'P9'), (3106, 'L21'), (2617, 'W19'), (2773, 'W15'), (2767, 'D'), (3046, 'S21')
G6          | (2394, 'U3'), (2459, 'M10'), (2442, 'Z22'), (2467, 'H25'), (2464, 'V4'), (2462, 'S15'), (2467, 'X7'), (2503, 'J0'), (2653, 'R22'), (2617, 'W19'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (2536, 'N7'), (2517, 'P4'), (3136, 'E'), (2711, 'P9'), (3106, 'L21'), (3046, 'S21'), (2773, 'W15'), (2767, 'D')
U3          | (2442, 'Z22'), (2459, 'M10'), (2462, 'S15'), (2467, 'H25'), (2464, 'V4'), (2767, 'D'), (2467, 'X7'), (2503, 'J0'), (2653, 'R22'), (2617, 'W19'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (2536, 'N7'), (2517, 'P4'), (3136, 'E'), (2711, 'P9'), (3106, 'L21'), (3046, 'S21'), (2773, 'W15')
Z22         | (2459, 'M10'), (2464, 'V4'), (2462, 'S15'), (2467, 'H25'), (2617, 'W19'), (2767, 'D'), (2467, 'X7'), (2503, 'J0'), (2653, 'R22'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (2743, 'Z10'), (2536, 'N7'), (2517, 'P4'), (3136, 'E'), (2711, 'P9'), (3106, 'L21'), (3046, 'S21')
M10         | (2462, 'S15'), (2464, 'V4'), (2467, 'X7'), (2467, 'H25'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2503, 'J0'), (2653, 'R22'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (2536, 'N7'), (2517, 'P4'), (3136, 'E'), (2711, 'P9'), (3106, 'L21')
S15         | (2464, 'V4'), (2467, 'H25'), (2467, 'X7'), (2503, 'J0'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2517, 'P4'), (2653, 'R22'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (2536, 'N7'), (3106, 'L21'), (3136, 'E'), (2711, 'P9')
V4          | (2467, 'H25'), (2503, 'J0'), (2467, 'X7'), (2517, 'P4'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2536, 'N7'), (2637, 'O'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (2711, 'P9'), (3106, 'L21'), (3136, 'E'), (2653, 'R22')
H25         | (2467, 'X7'), (2503, 'J0'), (2653, 'R22'), (2517, 'P4'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2536, 'N7'), (2637, 'O'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (2711, 'P9'), (3106, 'L21'), (3136, 'E')
X7          | (2503, 'J0'), (2517, 'P4'), (2653, 'R22'), (2536, 'N7'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2711, 'P9'), (2637, 'O'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (3136, 'E'), (3106, 'L21')
J0          | (2517, 'P4'), (2536, 'N7'), (2653, 'R22'), (2637, 'O'), (2617, 'W19'), (2767, 'D'), (2743, 'Z10'), (2711, 'P9'), (3106, 'L21'), (2773, 'W15'), (2765, 'X9'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21'), (3136, 'E')
P4          | (2536, 'N7'), (2617, 'W19'), (2653, 'R22'), (2637, 'O'), (2765, 'X9'), (2767, 'D'), (2743, 'Z10'), (2711, 'P9'), (3106, 'L21'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23'), (3046, 'S21')
N7          | (2617, 'W19'), (2637, 'O'), (2653, 'R22'), (2711, 'P9'), (2765, 'X9'), (2767, 'D'), (2743, 'Z10'), (3046, 'S21'), (3106, 'L21'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (3137, 'T8'), (2757, 'Y23')
W19         | (2637, 'O'), (2711, 'P9'), (2653, 'R22'), (2757, 'Y23'), (2765, 'X9'), (2767, 'D'), (2743, 'Z10'), (3046, 'S21'), (3106, 'L21'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (3137, 'T8')
O           | (2653, 'R22'), (2698, 'X2'), (2743, 'Z10'), (2711, 'P9'), (2765, 'X9'), (2767, 'D'), (3035, 'R10'), (2757, 'Y23'), (2885, 'Y6'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (2934, 'Q18'), (3137, 'T8'), (3561, 'V20'), (3046, 'S21'), (2904, 'W25'), (3106, 'L21')
R22         | (2698, 'X2'), (2711, 'P9'), (2743, 'Z10'), (2757, 'Y23'), (2765, 'X9'), (2767, 'D'), (3035, 'R10'), (2904, 'W25'), (2885, 'Y6'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (2934, 'Q18'), (3137, 'T8'), (3561, 'V20'), (3046, 'S21'), (3106, 'L21')
X2          | (2711, 'P9'), (2757, 'Y23'), (2743, 'Z10'), (2885, 'Y6'), (2765, 'X9'), (2767, 'D'), (3035, 'R10'), (2904, 'W25'), (3106, 'L21'), (2773, 'W15'), (3136, 'E'), (2769, 'J16'), (2934, 'Q18'), (3137, 'T8'), (3561, 'V20'), (3046, 'S21')
P9          | (2743, 'Z10'), (2757, 'Y23'), (2767, 'D'), (2885, 'Y6'), (2765, 'X9'), (2769, 'J16'), (3035, 'R10'), (2904, 'W25'), (3106, 'L21'), (2773, 'W15'), (3136, 'E'), (3046, 'S21'), (2934, 'Q18'), (3137, 'T8'), (3561, 'V20')
Z10         | (2757, 'Y23'), (2765, 'X9'), (2767, 'D'), (2885, 'Y6'), (2773, 'W15'), (2769, 'J16'), (3035, 'R10'), (2904, 'W25'), (3106, 'L21'), (3561, 'V20'), (3136, 'E'), (3046, 'S21'), (2934, 'Q18'), (3137, 'T8')
Y23         | (2765, 'X9'), (2773, 'W15'), (2767, 'D'), (2885, 'Y6'), (3136, 'E'), (2769, 'J16'), (3035, 'R10'), (2904, 'W25'), (3106, 'L21'), (3561, 'V20'), (3137, 'T8'), (3046, 'S21'), (2934, 'Q18')
X9          | (2767, 'D'), (2773, 'W15'), (2769, 'J16'), (2885, 'Y6'), (3136, 'E'), (2934, 'Q18'), (3035, 'R10'), (2904, 'W25'), (3106, 'L21'), (3561, 'V20'), (3137, 'T8'), (3046, 'S21')
D           | (2769, 'J16'), (2773, 'W15'), (2818, 'G14'), (2885, 'Y6'), (3136, 'E'), (3003, 'F9'), (2934, 'Q18'), (2904, 'W25'), (3106, 'L21'), (3445, 'X15'), (3137, 'T8'), (3556, 'F8'), (3046, 'S21'), (3035, 'R10'), (3110, 'H8'), (3694, 'I2'), (3086, 'Q8'), (3592, 'V6'), (3402, 'V24'), (3561, 'V20')
J16         | (2773, 'W15'), (2885, 'Y6'), (2818, 'G14'), (2904, 'W25'), (3136, 'E'), (3003, 'F9'), (2934, 'Q18'), (3086, 'Q8'), (3106, 'L21'), (3445, 'X15'), (3137, 'T8'), (3556, 'F8'), (3046, 'S21'), (3035, 'R10'), (3110, 'H8'), (3694, 'I2'), (3561, 'V20'), (3592, 'V6'), (3402, 'V24')
W15         | (2818, 'G14'), (2885, 'Y6'), (2934, 'Q18'), (2904, 'W25'), (3136, 'E'), (3003, 'F9'), (3035, 'R10'), (3086, 'Q8'), (3106, 'L21'), (3445, 'X15'), (3137, 'T8'), (3556, 'F8'), (3046, 'S21'), (3402, 'V24'), (3110, 'H8'), (3694, 'I2'), (3561, 'V20'), (3592, 'V6')
G14         | (2885, 'Y6'), (2904, 'W25'), (2934, 'Q18'), (3086, 'Q8'), (3136, 'E'), (3003, 'F9'), (3035, 'R10'), (3561, 'V20'), (3106, 'L21'), (3445, 'X15'), (3137, 'T8'), (3556, 'F8'), (3046, 'S21'), (3402, 'V24'), (3110, 'H8'), (3694, 'I2'), (3592, 'V6')
Y6          | (2904, 'W25'), (3086, 'Q8'), (2934, 'Q18'), (3106, 'L21'), (3136, 'E'), (3003, 'F9'), (3035, 'R10'), (3561, 'V20'), (3592, 'V6'), (3445, 'X15'), (3137, 'T8'), (3556, 'F8'), (3046, 'S21'), (3402, 'V24'), (3110, 'H8'), (3694, 'I2')
