dictionary size=  100
list element size=  100 

Start value = L  Goal value = N 

Expand Node | Fringe
--------------------
-           | (62, 'L')
L           | (44, 'W23'), (77, 'R2'), (120, 'Q11'), (123, 'M5'), (106, 'W25'), (135, 'X5'), (190, 'Z24')
W23         | (77, 'R2'), (106, 'W25'), (120, 'Q11'), (123, 'M5'), (190, 'Z24'), (135, 'X5'), (136, 'D')
R2          | (106, 'W25'), (123, 'M5'), (120, 'Q11'), (136, 'D'), (190, 'Z24'), (135, 'X5')
W25         | (120, 'Q11'), (123, 'M5'), (135, 'X5'), (136, 'D'), (190, 'Z24')
Q11         | (123, 'M5'), (136, 'D'), (135, 'X5'), (190, 'Z24')
M5          | (135, 'X5'), (136, 'D'), (190, 'Z24'), (167, 'B')
X5          | (134, 'K'), (136, 'D'), (190, 'Z24'), (167, 'B'), (149, 'A'), (218, 'U')
K           | (136, 'D'), (137, 'P10'), (156, 'L9'), (149, 'A'), (187, 'T23'), (177, 'X1'), (190, 'Z24'), (167, 'B'), (259, 'Q15'), (244, 'T19'), (218, 'U'), (234, 'L7'), (222, 'Y18')
D           | (99, 'Z16'), (145, 'O21'), (125, 'Z19'), (149, 'A'), (150, 'V6'), (137, 'P10'), (170, 'H17'), (183, 'L25'), (167, 'B'), (187, 'P0'), (176, 'R23'), (177, 'X1'), (156, 'L9'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (186, 'P18'), (234, 'L7'), (188, 'V15'), (183, 'H3'), (171, 'Z25')
Z16         | (125, 'Z19'), (145, 'O21'), (137, 'P10'), (149, 'A'), (150, 'V6'), (156, 'L9'), (170, 'H17'), (183, 'L25'), (167, 'B'), (187, 'P0'), (176, 'R23'), (177, 'X1'), (171, 'Z25'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (186, 'P18'), (234, 'L7'), (188, 'V15'), (183, 'H3')
Z19         | (137, 'P10'), (145, 'O21'), (156, 'L9'), (149, 'A'), (150, 'V6'), (171, 'Z25'), (170, 'H17'), (183, 'L25'), (167, 'B'), (187, 'P0'), (176, 'R23'), (177, 'X1'), (183, 'H3'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (186, 'P18'), (234, 'L7'), (188, 'V15')
P10         | (145, 'O21'), (149, 'A'), (156, 'L9'), (167, 'B'), (150, 'V6'), (171, 'Z25'), (170, 'H17'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (176, 'R23'), (177, 'X1'), (183, 'H3'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (186, 'P18'), (234, 'L7')
O21         | (149, 'A'), (150, 'V6'), (156, 'L9'), (167, 'B'), (176, 'R23'), (171, 'Z25'), (170, 'H17'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (186, 'P18'), (177, 'X1'), (183, 'H3'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (234, 'L7'), (203, 'E')
A           | (150, 'V6'), (167, 'B'), (156, 'L9'), (183, 'L25'), (176, 'R23'), (171, 'Z25'), (170, 'H17'), (203, 'E'), (188, 'V15'), (187, 'P0'), (186, 'P18'), (177, 'X1'), (183, 'H3'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (234, 'L7'), (188, 'A18'), (191, 'B11'), (189, 'E11'), (207, 'F14'), (227, 'J5'), (213, 'N2')
V6          | (156, 'L9'), (167, 'B'), (170, 'H17'), (183, 'L25'), (176, 'R23'), (171, 'Z25'), (190, 'Z24'), (203, 'E'), (188, 'V15'), (187, 'P0'), (186, 'P18'), (177, 'X1'), (183, 'H3'), (213, 'N2'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (218, 'U'), (234, 'L7'), (188, 'A18'), (191, 'B11'), (189, 'E11'), (207, 'F14'), (227, 'J5')
L9          | (167, 'B'), (176, 'R23'), (170, 'H17'), (183, 'L25'), (186, 'P18'), (171, 'Z25'), (190, 'Z24'), (203, 'E'), (188, 'V15'), (187, 'P0'), (218, 'U'), (177, 'X1'), (183, 'H3'), (213, 'N2'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (188, 'A18'), (191, 'B11'), (189, 'E11'), (207, 'F14')
