dictionary size=  1000
list element size=  10 

Start value = J  Goal value = Q 

Expand Node | Fringe
--------------------
-           | (958, 'J')
J           | (41, 'U3'), (68, 'N16'), (161, 'P22'), (439, 'M15'), (357, 'S5'), (321, 'Z13'), (362, 'L13'), (938, 'Q23'), (524, 'J14'), (791, 'N10'), (775, 'T25'), (548, 'W10'), (466, 'L22')
U3          | (68, 'N16'), (357, 'S5'), (161, 'P22'), (439, 'M15'), (466, 'L22'), (321, 'Z13'), (362, 'L13'), (938, 'Q23'), (524, 'J14'), (791, 'N10'), (775, 'T25'), (548, 'W10')
N16         | (161, 'P22'), (357, 'S5'), (321, 'Z13'), (439, 'M15'), (466, 'L22'), (548, 'W10'), (362, 'L13'), (938, 'Q23'), (524, 'J14'), (791, 'N10'), (775, 'T25')
P22         | (321, 'Z13'), (357, 'S5'), (362, 'L13'), (439, 'M15'), (466, 'L22'), (548, 'W10'), (775, 'T25'), (938, 'Q23'), (524, 'J14'), (791, 'N10')
Z13         | (357, 'S5'), (439, 'M15'), (362, 'L13'), (524, 'J14'), (466, 'L22'), (548, 'W10'), (775, 'T25'), (938, 'Q23'), (791, 'N10'), (646, 'H')
S5          | (362, 'L13'), (439, 'M15'), (548, 'W10'), (524, 'J14'), (466, 'L22'), (646, 'H'), (775, 'T25'), (938, 'Q23'), (791, 'N10')
L13         | (439, 'M15'), (466, 'L22'), (548, 'W10'), (524, 'J14'), (791, 'N10'), (646, 'H'), (775, 'T25'), (938, 'Q23')
M15         | (466, 'L22'), (524, 'J14'), (548, 'W10'), (938, 'Q23'), (791, 'N10'), (646, 'H'), (775, 'T25')
L22         | (524, 'J14'), (775, 'T25'), (548, 'W10'), (938, 'Q23'), (791, 'N10'), (646, 'H')
J14         | (548, 'W10'), (775, 'T25'), (646, 'H'), (938, 'Q23'), (791, 'N10')
W10         | (646, 'H'), (775, 'T25'), (791, 'N10'), (938, 'Q23')
H           | (44, 'I11'), (188, 'T17'), (268, 'M11'), (374, 'K21'), (483, 'X16'), (386, 'Y3'), (400, 'R16'), (938, 'Q23'), (879, 'U10'), (775, 'T25'), (659, 'X12'), (791, 'N10'), (742, 'Y11'), (596, 'Z15')
I11         | (188, 'T17'), (374, 'K21'), (268, 'M11'), (596, 'Z15'), (483, 'X16'), (386, 'Y3'), (400, 'R16'), (938, 'Q23'), (879, 'U10'), (775, 'T25'), (659, 'X12'), (791, 'N10'), (742, 'Y11')
T17         | (268, 'M11'), (374, 'K21'), (386, 'Y3'), (596, 'Z15'), (483, 'X16'), (742, 'Y11'), (400, 'R16'), (938, 'Q23'), (879, 'U10'), (775, 'T25'), (659, 'X12'), (791, 'N10')
