dictionary size=  10
list element size=  1000 

Start value = D  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (1, 'D')
D           | (152, 'D6'), (470, 'F1'), (353, 'G18'), (557, 'J9'), (746, 'M2'), (547, 'R3'), (595, 'W22')
D6          | (353, 'G18'), (470, 'F1'), (409, 'A'), (557, 'J9'), (746, 'M2'), (595, 'W22'), (547, 'R3')
G18         | (409, 'A'), (470, 'F1'), (547, 'R3'), (557, 'J9'), (746, 'M2'), (595, 'W22'), (561, 'C')
A           | (470, 'F1'), (557, 'J9'), (475, 'R11'), (561, 'C'), (746, 'M2'), (547, 'R3'), (648, 'B12'), (891, 'C0'), (1008, 'F25'), (1292, 'H4'), (1193, 'K9'), (595, 'W22'), (650, 'V15'), (1003, 'W14'), (1054, 'W21')
F1          | (475, 'R11'), (557, 'J9'), (547, 'R3'), (561, 'C'), (746, 'M2'), (595, 'W22'), (648, 'B12'), (891, 'C0'), (1008, 'F25'), (1292, 'H4'), (1193, 'K9'), (1054, 'W21'), (650, 'V15'), (1003, 'W14')
R11         | (547, 'R3'), (557, 'J9'), (595, 'W22'), (561, 'C'), (746, 'M2'), (650, 'V15'), (648, 'B12'), (891, 'C0'), (1008, 'F25'), (1292, 'H4'), (1193, 'K9'), (1054, 'W21'), (1003, 'W14')
R3          | (557, 'J9'), (561, 'C'), (595, 'W22'), (891, 'C0'), (746, 'M2'), (650, 'V15'), (648, 'B12'), (1003, 'W14'), (1008, 'F25'), (1292, 'H4'), (1193, 'K9'), (1054, 'W21')
J9          | (561, 'C'), (746, 'M2'), (595, 'W22'), (891, 'C0'), (1054, 'W21'), (650, 'V15'), (648, 'B12'), (1003, 'W14'), (1008, 'F25'), (1292, 'H4'), (1193, 'K9')
C           | (595, 'W22'), (746, 'F7'), (648, 'B12'), (891, 'C0'), (746, 'M2'), (650, 'V15'), (1193, 'K9'), (1003, 'W14'), (930, 'X3'), (1292, 'H4'), (1054, 'W21'), (1540, 'G13'), (1114, 'N4'), (1372, 'N13'), (1286, 'P15'), (1111, 'Q0'), (1546, 'V21'), (1008, 'F25')
W22         | (648, 'B12'), (746, 'F7'), (650, 'V15'), (891, 'C0'), (746, 'M2'), (1008, 'F25'), (1193, 'K9'), (1003, 'W14'), (930, 'X3'), (1292, 'H4'), (1054, 'W21'), (1540, 'G13'), (1114, 'N4'), (1372, 'N13'), (1286, 'P15'), (1111, 'Q0'), (1546, 'V21')
B12         | (650, 'V15'), (746, 'F7'), (1008, 'F25'), (891, 'C0'), (746, 'M2'), (1114, 'N4'), (1193, 'K9'), (1003, 'W14'), (930, 'X3'), (1292, 'H4'), (1054, 'W21'), (1540, 'G13'), (1546, 'V21'), (1372, 'N13'), (1286, 'P15'), (1111, 'Q0')
V15         | (746, 'F7'), (746, 'M2'), (1008, 'F25'), (891, 'C0'), (1054, 'W21'), (1114, 'N4'), (1193, 'K9'), (1003, 'W14'), (930, 'X3'), (1292, 'H4'), (1111, 'Q0'), (1540, 'G13'), (1546, 'V21'), (1372, 'N13'), (1286, 'P15'), (1568, 'K')
F7          | (746, 'M2'), (891, 'C0'), (1008, 'F25'), (930, 'X3'), (1054, 'W21'), (1114, 'N4'), (1193, 'K9'), (1003, 'W14'), (1568, 'K'), (1292, 'H4'), (1111, 'Q0'), (1540, 'G13'), (1546, 'V21'), (1372, 'N13'), (1286, 'P15')
M2          | (891, 'C0'), (930, 'X3'), (1008, 'F25'), (1003, 'W14'), (1054, 'W21'), (1114, 'N4'), (1193, 'K9'), (1286, 'P15'), (1568, 'K'), (1292, 'H4'), (1111, 'Q0'), (1540, 'G13'), (1546, 'V21'), (1372, 'N13'), (1356, 'I')
C0          | (930, 'X3'), (1003, 'W14'), (1008, 'F25'), (1286, 'P15'), (1054, 'W21'), (1114, 'N4'), (1193, 'K9'), (1356, 'I'), (1568, 'K'), (1292, 'H4'), (1111, 'Q0'), (1540, 'G13'), (1546, 'V21'), (1372, 'N13')
X3          | (1003, 'W14'), (1054, 'W21'), (1008, 'F25'), (1286, 'P15'), (1111, 'Q0'), (1114, 'N4'), (1193, 'K9'), (1356, 'I'), (1568, 'K'), (1292, 'H4'), (1372, 'N13'), (1540, 'G13'), (1546, 'V21'), (1560, 'G')
W14         | (1008, 'F25'), (1054, 'W21'), (1114, 'N4'), (1286, 'P15'), (1111, 'Q0'), (1540, 'G13'), (1193, 'K9'), (1356, 'I'), (1568, 'K'), (1292, 'H4'), (1372, 'N13'), (1560, 'G'), (1546, 'V21'), (1744, 'R'), (1710, 'W')
F25         | (1054, 'W21'), (1111, 'Q0'), (1114, 'N4'), (1286, 'P15'), (1292, 'H4'), (1540, 'G13'), (1193, 'K9'), (1356, 'I'), (1568, 'K'), (1710, 'W'), (1372, 'N13'), (1560, 'G'), (1546, 'V21'), (1744, 'R')
W21         | (1111, 'Q0'), (1286, 'P15'), (1114, 'N4'), (1356, 'I'), (1292, 'H4'), (1540, 'G13'), (1193, 'K9'), (1744, 'R'), (1568, 'K'), (1710, 'W'), (1372, 'N13'), (1560, 'G'), (1546, 'V21')
Q0          | (1114, 'N4'), (1286, 'P15'), (1193, 'K9'), (1356, 'I'), (1292, 'H4'), (1540, 'G13'), (1546, 'V21'), (1744, 'R'), (1568, 'K'), (1710, 'W'), (1372, 'N13'), (1560, 'G')
N4          | (1193, 'K9'), (1286, 'P15'), (1540, 'G13'), (1356, 'I'), (1292, 'H4'), (1560, 'G'), (1546, 'V21'), (1744, 'R'), (1568, 'K'), (1710, 'W'), (1372, 'N13')
K9          | (1286, 'P15'), (1292, 'H4'), (1540, 'G13'), (1356, 'I'), (1372, 'N13'), (1560, 'G'), (1546, 'V21'), (1744, 'R'), (1568, 'K'), (1710, 'W')
