dictionary size=  100
list element size=  100 

Start value = B  Goal value = L 

Expand Node | Fringe
--------------------
-           | (45, 'B')
B           | (14, 'Z8'), (67, 'C14'), (58, 'Z17'), (86, 'N1'), (113, 'N12'), (85, 'L11'), (63, 'C13'), (112, 'J9'), (99, 'M19'), (128, 'K6'), (146, 'N18'), (119, 'K10'), (104, 'Y7'), (101, 'I14'), (73, 'U4')
Z8          | (58, 'Z17'), (67, 'C14'), (63, 'C13'), (86, 'N1'), (113, 'N12'), (85, 'L11'), (73, 'U4'), (112, 'J9'), (99, 'M19'), (128, 'K6'), (146, 'N18'), (119, 'K10'), (104, 'Y7'), (101, 'I14'), (143, 'U')
Z17         | (63, 'C13'), (67, 'C14'), (73, 'U4'), (86, 'N1'), (113, 'N12'), (85, 'L11'), (101, 'I14'), (112, 'J9'), (99, 'M19'), (128, 'K6'), (146, 'N18'), (119, 'K10'), (104, 'Y7'), (143, 'U')
C13         | (67, 'C14'), (86, 'N1'), (73, 'U4'), (99, 'M19'), (113, 'N12'), (85, 'L11'), (101, 'I14'), (112, 'J9'), (143, 'U'), (128, 'K6'), (146, 'N18'), (119, 'K10'), (104, 'Y7')
C14         | (73, 'U4'), (86, 'N1'), (85, 'L11'), (99, 'M19'), (113, 'N12'), (104, 'Y7'), (101, 'I14'), (112, 'J9'), (143, 'U'), (128, 'K6'), (146, 'N18'), (119, 'K10')
U4          | (85, 'L11'), (86, 'N1'), (101, 'I14'), (99, 'M19'), (113, 'N12'), (104, 'Y7'), (119, 'K10'), (112, 'J9'), (143, 'U'), (128, 'K6'), (146, 'N18')
L11         | (86, 'N1'), (99, 'M19'), (101, 'I14'), (112, 'J9'), (113, 'N12'), (104, 'Y7'), (119, 'K10'), (146, 'N18'), (143, 'U'), (128, 'K6'), (218, 'I')
N1          | (99, 'M19'), (112, 'J9'), (101, 'I14'), (143, 'U'), (113, 'N12'), (104, 'Y7'), (119, 'K10'), (146, 'N18'), (218, 'I'), (128, 'K6')
M19         | (101, 'I14'), (112, 'J9'), (104, 'Y7'), (143, 'U'), (113, 'N12'), (128, 'K6'), (119, 'K10'), (146, 'N18'), (218, 'I')
I14         | (104, 'Y7'), (112, 'J9'), (119, 'K10'), (143, 'U'), (113, 'N12'), (128, 'K6'), (218, 'I'), (146, 'N18'), (172, 'A')
