dictionary size=  1000
list element size=  100000 

Start value = A  Goal value = L 

Expand Node | Fringe
--------------------
-           | (709, 'A')
A           | (570, 'Z9'), (820, 'B24'), (972, 'K2'), (2710, 'M23'), (2937, 'C15'), (2747, 'S10'), (1911, 'T19'), (2992, 'L18'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (8164, 'F1'), (2549, 'U12'), (11504, 'V1'), (24124, 'Y14'), (4552, 'G22'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (11926, 'R20'), (31407, 'F8'), (7614, 'J5'), (2573, 'T6'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (8644, 'Z25'), (11766, 'D20'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (14351, 'I24'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (9744, 'F19'), (68725, 'T25'), (23411, 'K7'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (15667, 'Z23'), (76012, 'C14'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (21795, 'I25'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (38828, 'D10'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (28854, 'U1'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11')
Z9          | (820, 'B24'), (2710, 'M23'), (972, 'K2'), (2992, 'L18'), (2937, 'C15'), (2747, 'S10'), (1911, 'T19'), (4552, 'G22'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (8164, 'F1'), (2549, 'U12'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (11926, 'R20'), (31407, 'F8'), (7614, 'J5'), (2573, 'T6'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (14351, 'I24'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (9744, 'F19'), (68725, 'T25'), (23411, 'K7'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (21795, 'I25'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (38828, 'D10'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (28854, 'U1'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (76012, 'C14'), (73839, 'F')
B24         | (972, 'K2'), (2710, 'M23'), (1911, 'T19'), (2992, 'L18'), (2937, 'C15'), (2747, 'S10'), (2549, 'U12'), (4552, 'G22'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (8164, 'F1'), (2573, 'T6'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (11926, 'R20'), (31407, 'F8'), (7614, 'J5'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (14351, 'I24'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (9744, 'F19'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (21795, 'I25'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (38828, 'D10'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (76012, 'C14')
K2          | (1911, 'T19'), (2710, 'M23'), (2549, 'U12'), (2992, 'L18'), (2937, 'C15'), (2747, 'S10'), (2573, 'T6'), (4552, 'G22'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (8164, 'F1'), (7614, 'J5'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (11926, 'R20'), (31407, 'F8'), (9744, 'F19'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (14351, 'I24'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (38828, 'D10'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (21795, 'I25'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (76012, 'C14'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (71199, 'I'), (19889, 'J')
T19         | (2549, 'U12'), (2710, 'M23'), (2573, 'T6'), (2992, 'L18'), (2937, 'C15'), (2747, 'S10'), (7614, 'J5'), (4552, 'G22'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (8164, 'F1'), (9744, 'F19'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (11926, 'R20'), (31407, 'F8'), (19889, 'J'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (14351, 'I24'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (38828, 'D10'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (21795, 'I25'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (76012, 'C14'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (71199, 'I')
U12         | (2573, 'T6'), (2710, 'M23'), (2747, 'S10'), (2992, 'L18'), (2937, 'C15'), (8164, 'F1'), (7614, 'J5'), (4552, 'G22'), (3102, 'M5'), (4010, 'H14'), (8868, 'P21'), (11972, 'R16'), (11926, 'R20'), (9744, 'F19'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (18952, 'N11'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (14351, 'I24'), (31407, 'F8'), (19889, 'J'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (20385, 'E23'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (21795, 'I25'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (38828, 'D10'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (66441, 'N9'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (71199, 'I'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (76012, 'C14'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (71684, 'H'), (80332, 'R')
T6          | (2710, 'M23'), (2937, 'C15'), (2747, 'S10'), (2992, 'L18'), (4010, 'H14'), (8164, 'F1'), (7614, 'J5'), (4552, 'G22'), (3102, 'M5'), (18952, 'N11'), (8868, 'P21'), (11972, 'R16'), (11926, 'R20'), (9744, 'F19'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (20385, 'E23'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (14351, 'I24'), (31407, 'F8'), (19889, 'J'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (66441, 'N9'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (21795, 'I25'), (39366, 'S18'), (61113, 'S23'), (29013, 'J21'), (38828, 'D10'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (80332, 'R'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (71199, 'I'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (76012, 'C14'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (71684, 'H')
M23         | (2747, 'S10'), (2937, 'C15'), (7614, 'J5'), (2992, 'L18'), (4010, 'H14'), (8164, 'F1'), (9744, 'F19'), (4552, 'G22'), (3102, 'M5'), (18952, 'N11'), (8868, 'P21'), (11972, 'R16'), (11926, 'R20'), (19889, 'J'), (11504, 'V1'), (24124, 'Y14'), (8644, 'Z25'), (9549, 'H0'), (4147, 'L6'), (20385, 'E23'), (23738, 'O1'), (22455, 'P4'), (16438, 'Q20'), (31576, 'R7'), (15922, 'C3'), (14351, 'I24'), (31407, 'F8'), (29013, 'J21'), (23411, 'K7'), (21347, 'U22'), (22497, 'W14'), (48935, 'C9'), (30095, 'Y17'), (16300, 'G4'), (11309, 'B'), (10323, 'N'), (25877, 'G24'), (10542, 'D24'), (36109, 'M21'), (36190, 'A18'), (66441, 'N9'), (30898, 'C0'), (34825, 'O10'), (28928, 'E13'), (25391, 'H20'), (58846, 'Q10'), (47601, 'I12'), (70397, 'Q24'), (50185, 'R12'), (32459, 'D2'), (15959, 'R13'), (19106, 'F17'), (21795, 'I25'), (39366, 'S18'), (61113, 'S23'), (71684, 'H'), (38828, 'D10'), (68725, 'T25'), (28854, 'U1'), (45710, 'G3'), (21429, 'K15'), (50307, 'A6'), (32266, 'K19'), (49547, 'K23'), (55412, 'X8'), (74502, 'X10'), (36189, 'W20'), (57543, 'Z1'), (22028, 'G9'), (20413, 'L1'), (14547, 'C'), (11766, 'D20'), (93287, 'L22'), (32058, 'L25'), (70876, 'M3'), (23162, 'D13'), (31800, 'M11'), (39329, 'H2'), (36786, 'M14'), (74006, 'H3'), (83306, 'M24'), (88018, 'H5'), (80332, 'R'), (93391, 'E18'), (41560, 'N23'), (54785, 'H18'), (67272, 'O11'), (75918, 'C21'), (60057, 'P3'), (99325, 'H24'), (84491, 'P14'), (97560, 'Q1'), (62586, 'I10'), (72349, 'Q17'), (52369, 'E19'), (92770, 'I17'), (85521, 'I18'), (86452, 'C2'), (52965, 'R2'), (58567, 'I23'), (61264, 'R15'), (56435, 'E24'), (64872, 'R18'), (51850, 'D4'), (49723, 'R23'), (46940, 'R24'), (71199, 'I'), (88787, 'J13'), (55346, 'S12'), (98625, 'J20'), (96704, 'S21'), (90875, 'D5'), (91496, 'T12'), (77993, 'T13'), (76012, 'C14'), (87928, 'T20'), (87274, 'K3'), (69831, 'F21'), (73839, 'F'), (86666, 'G0'), (90368, 'U23'), (77748, 'K14'), (61766, 'V12'), (69598, 'V15'), (55123, 'V19'), (96872, 'W3'), (42452, 'K16'), (86732, 'D11'), (84622, 'W19'), (73588, 'X6'), (63860, 'K22'), (75029, 'K24'), (97469, 'X18'), (87385, 'L0'), (59425, 'G7'), (58400, 'A3'), (81578, 'Z8'), (84770, 'L2'), (59183, 'Z19'), (52111, 'G19'), (39143, 'Z21'), (93793, 'L11'), (15667, 'Z23'), (69444, 'F')
