dictionary size=  10
list element size=  100000 

Start value = U  Goal value = I 

Expand Node | Fringe
--------------------
-           | (9, 'U')
U           | (2035, 'Y12'), (3549, 'Z23'), (3904, 'U17'), (6185, 'X10'), (29467, 'U0'), (19508, 'U20'), (16629, 'X25'), (17061, 'U4'), (30067, 'V4'), (37948, 'X16'), (32880, 'V13'), (59901, 'V16'), (23894, 'Y1'), (41927, 'W12'), (42578, 'W13'), (42979, 'W19'), (31880, 'Y23'), (43763, 'X1'), (31597, 'V1'), (80533, 'X15'), (55559, 'V9'), (38627, 'X17'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (58462, 'Y4'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (70314, 'U14')
Y12         | (3549, 'Z23'), (6185, 'X10'), (3904, 'U17'), (17061, 'U4'), (29467, 'U0'), (19508, 'U20'), (16629, 'X25'), (31880, 'Y23'), (30067, 'V4'), (37948, 'X16'), (32880, 'V13'), (59901, 'V16'), (23894, 'Y1'), (41927, 'W12'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (43763, 'X1'), (31597, 'V1'), (80533, 'X15'), (55559, 'V9'), (38627, 'X17'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (58462, 'Y4'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (88071, 'M')
Z23         | (3904, 'U17'), (6185, 'X10'), (16629, 'X25'), (17061, 'U4'), (19573, 'Y'), (19508, 'U20'), (41927, 'W12'), (31880, 'Y23'), (30067, 'V4'), (29467, 'U0'), (32880, 'V13'), (59901, 'V16'), (23894, 'Y1'), (58462, 'Y4'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (31448, 'B'), (31597, 'V1'), (37948, 'X16'), (55559, 'V9'), (38627, 'X17'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (88071, 'M'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (43763, 'X1'), (61044, 'T'), (101162, 'X'), (80533, 'X15')
U17         | (6185, 'X10'), (17061, 'U4'), (16629, 'X25'), (30067, 'V4'), (19573, 'Y'), (19508, 'U20'), (41927, 'W12'), (31880, 'Y23'), (31448, 'B'), (29467, 'U0'), (32880, 'V13'), (59901, 'V16'), (23894, 'Y1'), (58462, 'Y4'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (43763, 'X1'), (31597, 'V1'), (37948, 'X16'), (55559, 'V9'), (38627, 'X17'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (88071, 'M'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (80533, 'X15'), (61044, 'T'), (101162, 'X'), (67106, 'A'), (57273, 'M')
X10         | (16629, 'X25'), (17061, 'U4'), (19508, 'U20'), (30067, 'V4'), (19251, 'G'), (23894, 'Y1'), (41927, 'W12'), (31880, 'Y23'), (31448, 'B'), (19573, 'Y'), (32880, 'V13'), (59901, 'V16'), (57273, 'M'), (58462, 'Y4'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (43763, 'X1'), (31597, 'V1'), (29467, 'U0'), (55559, 'V9'), (38627, 'X17'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (88071, 'M'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (80533, 'X15'), (61044, 'T'), (101162, 'X'), (67106, 'A'), (37948, 'X16'), (105723, 'K'), (58457, 'O')
X25         | (17061, 'U4'), (19251, 'G'), (19508, 'U20'), (30067, 'V4'), (19573, 'Y'), (23894, 'Y1'), (41927, 'W12'), (31880, 'Y23'), (31448, 'B'), (26283, 'F'), (32327, 'V'), (59901, 'V16'), (57273, 'M'), (58462, 'Y4'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (43763, 'X1'), (31597, 'V1'), (37948, 'X16'), (29467, 'U0'), (32880, 'V13'), (67229, 'X21'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (88071, 'M'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (80533, 'X15'), (61044, 'T'), (101162, 'X'), (67106, 'A'), (58457, 'O'), (105723, 'K'), (55559, 'V9'), (38627, 'X17'), (36461, 'H')
U4          | (19251, 'G'), (19573, 'Y'), (19508, 'U20'), (30067, 'V4'), (26283, 'F'), (23894, 'Y1'), (41927, 'W12'), (31880, 'Y23'), (31448, 'B'), (29467, 'U0'), (32327, 'V'), (59901, 'V16'), (57273, 'M'), (58462, 'Y4'), (42578, 'W13'), (42979, 'W19'), (53305, 'E'), (43763, 'X1'), (31597, 'V1'), (37948, 'X16'), (36461, 'H'), (32880, 'V13'), (62274, 'I'), (98866, 'U10'), (84481, 'X23'), (89614, 'Y0'), (75240, 'W9'), (94213, 'U24'), (88071, 'M'), (80165, 'Y18'), (74469, 'Y21'), (98096, 'W18'), (65125, 'Z13'), (82314, 'B'), (70314, 'U14'), (76589, 'H'), (80533, 'X15'), (61044, 'T'), (101162, 'X'), (67106, 'A'), (58457, 'O'), (105723, 'K'), (55559, 'V9'), (38627, 'X17'), (41393, 'A'), (67229, 'X21')
G           | (19421, 'J12'), (19508, 'U20'), (19542, 'U14'), (19573, 'Y'), (20632, 'L20'), (24425, 'O20'), (23894, 'Y1'), (25145, 'I25'), (20505, 'K17'), (21981, 'M3'), (25049, 'N7'), (25416, 'Q4'), (27061, 'Q15'), (44053, 'S2'), (29274, 'I17'), (31589, 'V23'), (26874, 'X17'), (31448, 'B'), (31597, 'V1'), (29467, 'U0'), (26283, 'F'), (32880, 'V13'), (32327, 'V'), (51834, 'O24'), (27208, 'H3'), (36187, 'G24'), (49944, 'Q23'), (55406, 'H12'), (48681, 'S11'), (36930, 'U5'), (29639, 'U15'), (42979, 'W19'), (31880, 'Y23'), (32178, 'X4'), (30067, 'V4'), (51740, 'Z3'), (43763, 'X1'), (55141, 'L0'), (36170, 'L7'), (37948, 'X16'), (37688, 'L16'), (36461, 'H'), (29176, 'L24'), (38627, 'X17'), (41393, 'A'), (61745, 'G1'), (87765, 'N21'), (71435, 'O8'), (56642, 'G15'), (57273, 'M'), (40246, 'P24'), (89614, 'Y0'), (45874, 'Q11'), (64845, 'H7'), (87405, 'H10'), (58462, 'Y4'), (56147, 'R17'), (88071, 'M'), (91964, 'U1'), (45496, 'U12'), (41927, 'W12'), (42578, 'W13'), (44858, 'U24'), (43117, 'V5'), (67924, 'V18'), (47956, 'W3'), (84563, 'W6'), (55279, 'W24'), (53305, 'E'), (45526, 'K1'), (70314, 'U14'), (64833, 'Y18'), (53852, 'K4'), (59786, 'Z8'), (52430, 'K16'), (61044, 'T'), (64907, 'L4'), (101162, 'X'), (59847, 'L10'), (89790, 'L11'), (67106, 'A'), (65124, 'L18'), (58457, 'O'), (105723, 'K'), (80121, 'L25'), (55559, 'V9'), (67063, 'M5'), (98764, 'M10'), (104791, 'M18'), (62249, 'M22'), (76917, 'N5'), (62274, 'I'), (64186, 'N12'), (94199, 'G9'), (93421, 'N22'), (98866, 'U10'), (81117, 'G10'), (105556, 'G12'), (82657, 'O21'), (84481, 'X23'), (87451, 'P22'), (59901, 'V16'), (56250, 'P21'), (95540, 'Q6'), (114805, 'Q7'), (80338, 'G25'), (67229, 'X21'), (100999, 'Q18'), (75240, 'W9'), (107076, 'R0'), (87599, 'R5'), (113322, 'R13'), (94213, 'U24'), (83126, 'H18'), (82412, 'S0'), (108607, 'I1'), (114500, 'S17'), (110044, 'I6'), (106021, 'T11'), (119060, 'I7'), (51661, 'I12'), (80165, 'Y18'), (64952, 'U13'), (85747, 'I14'), (49013, 'U16'), (74469, 'Y21'), (97919, 'U25'), (98096, 'W18'), (88117, 'V6'), (117167, 'V8'), (100384, 'J4'), (65125, 'Z13'), (64610, 'J9'), (118795, 'W5'), (97855, 'J10'), (82314, 'B'), (79403, 'W21'), (55495, 'J17'), (66354, 'X9'), (114763, 'J23'), (96178, 'X13'), (111087, 'Y7'), (98821, 'Y14'), (76589, 'H'), (96229, 'Y20'), (70050, 'Z1'), (61944, 'K7'), (80533, 'X15'), (92361, 'Z15')
