dictionary size=  100
list element size=  10 

Start value = A  Goal value = M 

Expand Node | Fringe
--------------------
-           | (12, 'A')
A           | (6, 'D13'), (8, 'J1'), (7, 'M10'), (12, 'P15'), (17, 'R12'), (11, 'W11'), (10, 'M1'), (27, 'O16'), (14, 'A7'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (13, 'B21'), (11, 'H1'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (14, 'I1'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (20, 'D12'), (35, 'L20'), (16, 'X16'), (32, 'H23'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (49, 'F9'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (20, 'L15'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (25, 'Y11'), (37, 'Z4'), (96, 'M11'), (75, 'E4'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (42, 'L17'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (32, 'Y20'), (107, 'Z1'), (66, 'H9')
D13         | (7, 'M10'), (8, 'J1'), (10, 'M1'), (12, 'P15'), (17, 'R12'), (11, 'W11'), (11, 'H1'), (27, 'O16'), (14, 'A7'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (13, 'B21'), (16, 'X16'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (14, 'I1'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (20, 'D12'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (49, 'F9'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (20, 'L15'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (96, 'M11'), (75, 'E4'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (42, 'L17'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (56, 'D')
M10         | (8, 'J1'), (12, 'P15'), (10, 'M1'), (14, 'A7'), (17, 'R12'), (11, 'W11'), (11, 'H1'), (27, 'O16'), (14, 'I1'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (13, 'B21'), (16, 'G'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (49, 'F9'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (20, 'D12'), (35, 'L20'), (25, 'Y11'), (16, 'X16'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (56, 'D'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (20, 'L15'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (32, 'H23'), (54, 'M'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (42, 'L17'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (86, 'L'), (75, 'E4')
J1          | (10, 'M1'), (12, 'P15'), (11, 'H1'), (14, 'A7'), (17, 'R12'), (11, 'W11'), (16, 'G'), (27, 'O16'), (14, 'I1'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (13, 'B21'), (16, 'X16'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (49, 'F9'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (20, 'D12'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (56, 'D'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (20, 'L15'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (75, 'E4'), (54, 'M'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (42, 'L17'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (86, 'L')
M1          | (11, 'H1'), (12, 'P15'), (11, 'W11'), (14, 'A7'), (17, 'R12'), (13, 'B21'), (16, 'G'), (27, 'O16'), (14, 'I1'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (20, 'D12'), (16, 'X16'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (49, 'F9'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (20, 'L15'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (56, 'D'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (42, 'L17'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (74, 'B'), (54, 'M'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (86, 'L'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (75, 'E4'), (92, 'E'), (97, 'K'), (53, 'M')
H1          | (11, 'W11'), (12, 'P15'), (13, 'B21'), (14, 'A7'), (17, 'R12'), (20, 'D12'), (16, 'G'), (27, 'O16'), (14, 'I1'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (20, 'L15'), (16, 'X16'), (24, 'M15'), (41, 'N9'), (40, 'A22'), (21, 'O20'), (49, 'F9'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (42, 'L17'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (43, 'H10'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'O23'), (56, 'D'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (53, 'M'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (74, 'B'), (54, 'M'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (40, 'P6'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (86, 'L'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (75, 'E4'), (92, 'E'), (97, 'K')
W11         | (12, 'G'), (14, 'A7'), (12, 'P15'), (14, 'I1'), (17, 'R12'), (20, 'D12'), (13, 'B21'), (27, 'O16'), (21, 'O20'), (26, 'R8'), (23, 'J8'), (21, 'K24'), (20, 'L15'), (16, 'X16'), (16, 'G'), (41, 'N9'), (40, 'A22'), (40, 'O23'), (49, 'F9'), (37, 'Q24'), (30, 'Q20'), (24, 'R11'), (46, 'S23'), (26, 'K20'), (30, 'V7'), (42, 'L17'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (24, 'M15'), (51, 'N0'), (61, 'I8'), (67, 'E13'), (63, 'N20'), (40, 'I14'), (47, 'E17'), (40, 'P6'), (56, 'D'), (66, 'Q8'), (46, 'J9'), (38, 'F15'), (59, 'R4'), (41, 'R5'), (27, 'K19'), (82, 'J23'), (53, 'K14'), (48, 'R22'), (61, 'T12'), (39, 'G7'), (60, 'U15'), (41, 'L11'), (55, 'W1'), (53, 'M'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (74, 'B'), (43, 'H10'), (50, 'M23'), (66, 'H21'), (101, 'N2'), (92, 'A19'), (73, 'N7'), (99, 'N12'), (91, 'N19'), (74, 'E15'), (101, 'O0'), (79, 'I18'), (45, 'O17'), (70, 'B16'), (61, 'O18'), (60, 'I19'), (97, 'K'), (82, 'J6'), (95, 'P22'), (101, 'J7'), (83, 'Q16'), (102, 'F10'), (89, 'Q19'), (52, 'D11'), (85, 'R0'), (65, 'B0'), (60, 'R3'), (92, 'J12'), (55, 'J10'), (94, 'G2'), (77, 'J20'), (94, 'R15'), (86, 'R21'), (79, 'G4'), (87, 'S9'), (58, 'C24'), (102, 'T7'), (78, 'A21'), (94, 'T17'), (41, 'T20'), (99, 'U10'), (79, 'L2'), (79, 'U21'), (57, 'G5'), (95, 'V9'), (89, 'V19'), (84, 'G25'), (91, 'W9'), (86, 'L'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (75, 'E4'), (92, 'E'), (54, 'M'), (83, 'H'), (67, 'W')
G           | (12, 'P15'), (14, 'A7'), (13, 'B21'), (14, 'I1'), (14, 'W5'), (16, 'Y21'), (16, 'G'), (20, 'J19'), (21, 'O20'), (17, 'R12'), (16, 'P9'), (20, 'D12'), (20, 'L15'), (16, 'X16'), (17, 'G0'), (31, 'H22'), (21, 'K4'), (29, 'K10'), (26, 'O11'), (26, 'R8'), (30, 'Q20'), (24, 'R11'), (21, 'W7'), (26, 'K20'), (21, 'K24'), (42, 'L17'), (35, 'L20'), (25, 'Y11'), (32, 'H23'), (24, 'M15'), (37, 'G9'), (41, 'H17'), (37, 'I5'), (40, 'A22'), (27, 'O16'), (40, 'O23'), (38, 'L14'), (49, 'F9'), (36, 'M22'), (37, 'Q24'), (38, 'F15'), (56, 'S12'), (38, 'S25'), (27, 'K19'), (43, 'U17'), (47, 'U23'), (23, 'J8'), (50, 'W24'), (39, 'G7'), (30, 'V7'), (24, 'Y17'), (44, 'Z18'), (53, 'M'), (41, 'B3'), (81, 'X12'), (63, 'B1'), (32, 'Y20'), (37, 'Z4'), (74, 'B'), (54, 'M'), (43, 'H10'), (47, 'G6'), (47, 'H3'), (61, 'I8'), (41, 'N9'), (52, 'I13'), (91, 'N19'), (69, 'J3'), (54, 'J4'), (40, 'I14'), (35, 'J16'), (47, 'E17'), (61, 'O18'), (40, 'P6'), (57, 'M2'), (56, 'D'), (75, 'N1'), (100, 'N17'), (66, 'Q8'), (44, 'P7'), (88, 'P10'), (52, 'D11'), (78, 'R6'), (61, 'R24'), (59, 'R4'), (41, 'R5'), (55, 'J10'), (89, 'T15'), (33, 'U3'), (82, 'J23'), (62, 'U16'), (53, 'K14'), (54, 'U24'), (48, 'R22'), (34, 'V10'), (61, 'T12'), (52, 'W25'), (41, 'T20'), (57, 'Y1'), (60, 'U15'), (38, 'Y6'), (24, 'Y18'), (30, 'Z8'), (55, 'W1'), (84, 'G25'), (91, 'W9'), (86, 'L'), (57, 'W15'), (46, 'X1'), (85, 'L21'), (93, 'X14'), (67, 'D15'), (79, 'X17'), (63, 'M0'), (66, 'H9'), (107, 'Z1'), (109, 'F'), (96, 'M11'), (75, 'E4'), (92, 'E'), (67, 'W'), (83, 'H'), (50, 'M23'), (66, 'H21'), (51, 'N0'), (101, 'N2'), (54, 'G11'), (101, 'H4'), (92, 'A19'), (73, 'N7'), (57, 'H19'), (99, 'N12'), (67, 'E13'), (111, 'I17'), (101, 'I22'), (96, 'I25'), (74, 'E15'), (101, 'O0'), (63, 'N20'), (79, 'I18'), (119, 'J21'), (45, 'O17'), (50, 'K6'), (70, 'B16'), (56, 'K21'), (84, 'K22'), (82, 'L9'), (60, 'I19'), (63, 'L22'), (97, 'K'), (101, 'M14'), (89, 'M21'), (82, 'J6'), (95, 'P22'), (80, 'N5'), (108, 'N11'), (101, 'J7'), (83, 'Q16'), (83, 'O1'), (102, 'F10'), (46, 'J9'), (89, 'Q19'), (111, 'Q0'), (96, 'Q4'), (86, 'Q13'), (85, 'R0'), (113, 'R7'), (111, 'R20'), (65, 'B0'), (86, 'S5'), (60, 'R3'), (92, 'J12'), (75, 'T0'), (74, 'T2'), (100, 'T10'), (94, 'G2'), (93, 'T22'), (77, 'J20'), (109, 'U4'), (96, 'U9'), (94, 'R15'), (86, 'R21'), (73, 'U14'), (98, 'U18'), (79, 'G4'), (87, 'S9'), (62, 'V8'), (58, 'C24'), (73, 'V23'), (102, 'T7'), (46, 'S23'), (89, 'W22'), (78, 'A21'), (94, 'T17'), (60, 'W23'), (87, 'X9'), (43, 'X11'), (99, 'X22'), (99, 'U10'), (79, 'L2'), (70, 'Y9'), (79, 'U21'), (65, 'Y12'), (57, 'G5'), (41, 'L11'), (112, 'Z5'), (95, 'V9'), (89, 'V19')
