dictionary size=  100
list element size=  1000000 

Start value = H  Goal value = Q 

Expand Node | Fringe
--------------------
-           | (31, 'H')
H           | (1494, 'U13'), (20929, 'U22'), (36676, 'N5'), (38478, 'V6'), (31891, 'Y20'), (49494, 'L6'), (48633, 'R6'), (85236, 'L14'), (137943, 'W9'), (50093, 'Y0'), (116040, 'Q11'), (64481, 'I4'), (291651, 'S11'), (196597, 'T11'), (95707, 'O17'), (169143, 'L16'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (108152, 'Q19'), (197257, 'Q13'), (124913, 'Q18'), (434126, 'Q23'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (95999, 'O21'), (719813, 'P4'), (280571, 'U24'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (355341, 'M20'), (120717, 'Q12'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (725187, 'M25'), (982019, 'Q20'), (818253, 'M23'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (111269, 'U14'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (386889, 'I10'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (715744, 'X20'), (529848, 'Q7'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (752571, 'Z16')
U13         | (20929, 'U22'), (31891, 'Y20'), (36676, 'N5'), (38478, 'V6'), (50093, 'Y0'), (49494, 'L6'), (48633, 'R6'), (85236, 'L14'), (137943, 'W9'), (108152, 'Q19'), (116040, 'Q11'), (64481, 'I4'), (291651, 'S11'), (196597, 'T11'), (95707, 'O17'), (169143, 'L16'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (120717, 'Q12'), (197257, 'Q13'), (124913, 'Q18'), (434126, 'Q23'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (95999, 'O21'), (719813, 'P4'), (280571, 'U24'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (355341, 'M20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (725187, 'M25'), (982019, 'Q20'), (818253, 'M23'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (111269, 'U14'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (386889, 'I10'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (715744, 'X20'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (921159, 'J')
U22         | (31891, 'Y20'), (38478, 'V6'), (36676, 'N5'), (85236, 'L14'), (50093, 'Y0'), (49494, 'L6'), (48633, 'R6'), (169143, 'L16'), (137943, 'W9'), (108152, 'Q19'), (116040, 'Q11'), (64481, 'I4'), (291651, 'S11'), (196597, 'T11'), (95707, 'O17'), (280571, 'U24'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (120717, 'Q12'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (95999, 'O21'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (355341, 'M20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (818253, 'M23'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (111269, 'U14'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (715744, 'X20'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (982375, 'T')
Y20         | (36676, 'N5'), (38478, 'V6'), (48633, 'R6'), (85236, 'L14'), (50093, 'Y0'), (49494, 'L6'), (95707, 'O17'), (169143, 'L16'), (137943, 'W9'), (108152, 'Q19'), (116040, 'Q11'), (64481, 'I4'), (291651, 'S11'), (196597, 'T11'), (95999, 'O21'), (280571, 'U24'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (120717, 'Q12'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (111269, 'U14'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (355341, 'M20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (668132, 'N'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (982375, 'T'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (715744, 'X20'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (593822, 'I'), (818253, 'M23')
N5          | (38478, 'V6'), (50093, 'Y0'), (48633, 'R6'), (85236, 'L14'), (108152, 'Q19'), (49494, 'L6'), (95707, 'O17'), (169143, 'L16'), (137943, 'W9'), (120717, 'Q12'), (116040, 'Q11'), (64481, 'I4'), (291651, 'S11'), (196597, 'T11'), (95999, 'O21'), (280571, 'U24'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (355341, 'M20'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (111269, 'U14'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (715744, 'X20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (446527, 'C'), (379449, 'G'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (982375, 'T'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (818253, 'M23'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (593822, 'I'), (668132, 'N'), (464386, 'D'), (874027, 'K5')
V6          | (48633, 'R6'), (50093, 'Y0'), (49494, 'L6'), (85236, 'L14'), (108152, 'Q19'), (64481, 'I4'), (95707, 'O17'), (169143, 'L16'), (137943, 'W9'), (120717, 'Q12'), (116040, 'Q11'), (220064, 'A'), (291651, 'S11'), (196597, 'T11'), (95999, 'O21'), (280571, 'U24'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (355341, 'M20'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (354029, 'H8'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (111269, 'U14'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (715744, 'X20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (446527, 'C'), (379449, 'G'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (982375, 'T'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (818253, 'M23'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (593822, 'I'), (668132, 'N'), (464386, 'D'), (874027, 'K5')
R6          | (49494, 'L6'), (50093, 'Y0'), (64481, 'I4'), (85236, 'L14'), (108152, 'Q19'), (220064, 'A'), (95707, 'O17'), (169143, 'L16'), (137943, 'W9'), (120717, 'Q12'), (116040, 'Q11'), (354029, 'H8'), (291651, 'S11'), (196597, 'T11'), (95999, 'O21'), (280571, 'U24'), (239044, 'V23'), (205180, 'I22'), (215929, 'X4'), (355341, 'M20'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (379449, 'G'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (111269, 'U14'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (216599, 'P13'), (356368, 'L19'), (310494, 'X19'), (715744, 'X20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (446527, 'C'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (982375, 'T'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (279857, 'W21'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (818253, 'M23'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (593822, 'I'), (668132, 'N'), (464386, 'D')
L6          | (50093, 'Y0'), (85236, 'L14'), (64481, 'I4'), (137943, 'W9'), (108152, 'Q19'), (220064, 'A'), (95707, 'O17'), (169143, 'L16'), (205180, 'I22'), (120717, 'Q12'), (116040, 'Q11'), (354029, 'H8'), (291651, 'S11'), (196597, 'T11'), (95999, 'O21'), (280571, 'U24'), (239044, 'V23'), (216599, 'P13'), (215929, 'X4'), (355341, 'M20'), (197257, 'Q13'), (124913, 'Q18'), (254880, 'M'), (379449, 'G'), (521907, 'R23'), (767213, 'S9'), (414217, 'N14'), (377367, 'S18'), (272540, 'N17'), (205124, 'U2'), (111269, 'U14'), (719813, 'P4'), (386889, 'I10'), (425049, 'V10'), (413812, 'W4'), (517824, 'H16'), (279857, 'W21'), (356368, 'L19'), (310494, 'X19'), (715744, 'X20'), (529848, 'Q7'), (233972, 'Z1'), (263320, 'J16'), (228959, 'Z14'), (388960, 'J'), (434126, 'Q23'), (446527, 'C'), (874027, 'K5'), (718559, 'R13'), (838967, 'R19'), (613025, 'N7'), (858149, 'S6'), (783818, 'H12'), (964865, 'N15'), (846824, 'S14'), (588586, 'I7'), (673971, 'T0'), (746635, 'O11'), (961769, 'U0'), (569711, 'L5'), (394615, 'U8'), (167384, 'K14'), (982375, 'T'), (833453, 'U20'), (820566, 'H0'), (826631, 'P5'), (921159, 'J'), (942644, 'L15'), (666656, 'P9'), (910669, 'P6'), (576110, 'W2'), (747390, 'W5'), (792960, 'W8'), (548641, 'P17'), (464386, 'D'), (993135, 'P23'), (600355, 'X3'), (868684, 'Q1'), (582966, 'X10'), (856466, 'H23'), (818253, 'M23'), (752571, 'Z16'), (735690, 'Y22'), (991915, 'Y23'), (401390, 'M19'), (338211, 'Z6'), (946473, 'Z8'), (894851, 'J22'), (583633, 'D'), (833515, 'G'), (725187, 'M25'), (982019, 'Q20'), (593822, 'I'), (668132, 'N')
