dictionary size=  100
list element size=  10000 

Start value = X  Goal value = T 

Expand Node | Fringe
--------------------
-           | (57, 'X')
X           | (140, 'Z4'), (577, 'Z19'), (145, 'Y16'), (1947, 'Y7'), (1856, 'Z7'), (1934, 'X10'), (536, 'X0'), (3020, 'X11'), (3119, 'Y11'), (3031, 'X14'), (2992, 'Y13'), (2496, 'X19'), (2364, 'Y17'), (9677, 'Z0'), (7070, 'Y1'), (9525, 'X6'), (5230, 'Z5'), (6629, 'Z11'), (9866, 'Z13'), (4152, 'Z17'), (6976, 'Z18'), (6052, 'Y15'), (8297, 'Z25')
Z4          | (145, 'Y16'), (577, 'Z19'), (536, 'X0'), (1947, 'Y7'), (1856, 'Z7'), (1934, 'X10'), (1046, 'Q'), (2617, 'Z'), (3119, 'Y11'), (3031, 'X14'), (2992, 'Y13'), (2496, 'X19'), (2364, 'Y17'), (3471, 'N'), (2325, 'M'), (3020, 'X11'), (2849, 'R'), (6629, 'Z11'), (9866, 'Z13'), (4152, 'Z17'), (6976, 'Z18'), (6052, 'Y15'), (9797, 'B'), (9368, 'C'), (6416, 'D'), (3324, 'G'), (8323, 'L'), (9677, 'Z0'), (7070, 'Y1'), (8297, 'Z25'), (7333, 'O'), (9525, 'X6'), (8382, 'V'), (5230, 'Z5')
Y16         | (536, 'X0'), (577, 'Z19'), (1046, 'Q'), (741, 'N'), (1856, 'Z7'), (1934, 'X10'), (2325, 'M'), (2617, 'Z'), (1947, 'Y7'), (3031, 'X14'), (2992, 'Y13'), (2496, 'X19'), (2364, 'Y17'), (3471, 'N'), (5230, 'Z5'), (3020, 'X11'), (2849, 'R'), (3119, 'Y11'), (8342, 'S'), (3530, 'U'), (3339, 'Y'), (6052, 'Y15'), (9797, 'B'), (9368, 'C'), (6416, 'D'), (3324, 'G'), (8323, 'L'), (9677, 'Z0'), (7070, 'Y1'), (8297, 'Z25'), (7333, 'O'), (9525, 'X6'), (8382, 'V'), (6065, 'D'), (8879, 'J'), (6629, 'Z11'), (4478, 'L'), (9866, 'Z13'), (8551, 'P'), (4152, 'Z17'), (7832, 'V'), (6976, 'Z18')
X0          | (577, 'Z19'), (741, 'N'), (1046, 'Q'), (1947, 'Y7'), (945, 'M'), (1934, 'X10'), (2325, 'M'), (2617, 'Z'), (3119, 'Y11'), (2671, 'B'), (1856, 'Z7'), (2496, 'X19'), (2364, 'Y17'), (3471, 'N'), (5230, 'Z5'), (3020, 'X11'), (2849, 'R'), (4478, 'L'), (8342, 'S'), (3530, 'U'), (3031, 'X14'), (3090, 'H'), (2992, 'Y13'), (2899, 'P'), (6416, 'D'), (3324, 'G'), (8323, 'L'), (9677, 'Z0'), (7070, 'Y1'), (8297, 'Z25'), (7333, 'O'), (9525, 'X6'), (8382, 'V'), (6065, 'D'), (8879, 'J'), (6629, 'Z11'), (6976, 'Z18'), (9866, 'Z13'), (8551, 'P'), (4152, 'Z17'), (7832, 'V'), (6634, 'A'), (3339, 'Y'), (7690, 'F'), (6052, 'Y15'), (9797, 'B'), (6181, 'I'), (9368, 'C')
Z19         | (741, 'N'), (945, 'M'), (1046, 'Q'), (1947, 'Y7'), (1856, 'Z7'), (1934, 'X10'), (2325, 'M'), (2617, 'Z'), (3119, 'Y11'), (2671, 'B'), (2992, 'Y13'), (2496, 'X19'), (2364, 'Y17'), (3471, 'N'), (5230, 'Z5'), (3020, 'X11'), (2849, 'R'), (4478, 'L'), (8342, 'S'), (3530, 'U'), (3031, 'X14'), (3090, 'H'), (6181, 'I'), (2626, 'B'), (6064, 'D'), (2803, 'P'), (8323, 'L'), (9677, 'Z0'), (7070, 'Y1'), (8297, 'Z25'), (7333, 'O'), (9525, 'X6'), (8382, 'V'), (6065, 'D'), (8879, 'J'), (6629, 'Z11'), (6976, 'Z18'), (9866, 'Z13'), (8551, 'P'), (4152, 'Z17'), (7832, 'V'), (6634, 'A'), (3339, 'Y'), (7690, 'F'), (6052, 'Y15'), (9797, 'B'), (9368, 'C'), (3486, 'A'), (2899, 'P'), (6416, 'D'), (6319, 'E'), (6641, 'K'), (3324, 'G')
N           | (945, 'M'), (993, 'U12'), (1024, 'S3'), (1041, 'X3'), (1215, 'P20'), (1046, 'Q'), (1155, 'O2'), (1358, 'U16'), (1066, 'Q21'), (1353, 'Y18'), (1487, 'Q20'), (1925, 'R24'), (1306, 'N6'), (1995, 'N17'), (1755, 'T18'), (1856, 'Z7'), (2617, 'Z'), (3119, 'Y11'), (1931, 'O18'), (2996, 'Q4'), (2305, 'X24'), (2519, 'Q14'), (4018, 'Q23'), (2533, 'R12'), (2496, 'X19'), (1725, 'S5'), (1672, 'S10'), (3471, 'N'), (2325, 'M'), (2662, 'T17'), (1805, 'N18'), (1947, 'Y7'), (3525, 'V3'), (2686, 'V18'), (2848, 'V22'), (3455, 'W6'), (4250, 'W12'), (4890, 'P12'), (2106, 'X2'), (4152, 'Z17'), (3031, 'X14'), (2380, 'Y13'), (2326, 'Z0'), (3090, 'H'), (2671, 'B'), (5327, 'R1'), (5882, 'R3'), (3486, 'A'), (2626, 'B'), (6416, 'D'), (6064, 'D'), (6641, 'K'), (1934, 'X10'), (3398, 'S7'), (2364, 'Y17'), (4793, 'S16'), (3911, 'N16'), (4465, 'T4'), (3420, 'T6'), (8297, 'Z25'), (4911, 'T12'), (2266, 'N25'), (1923, 'U7'), (3697, 'O4'), (3020, 'X11'), (5117, 'U25'), (3621, 'U22'), (6065, 'D'), (2849, 'R'), (4053, 'O23'), (7024, 'W0'), (6453, 'W3'), (4960, 'P0'), (4478, 'L'), (5621, 'W15'), (8456, 'W16'), (8342, 'S'), (2279, 'P3'), (3830, 'X6'), (9319, 'P22'), (4785, 'X23'), (3530, 'U'), (3492, 'Y10'), (5280, 'Q7'), (3324, 'G'), (3339, 'Y'), (3212, 'Z13'), (3137, 'Z23'), (7690, 'F'), (6052, 'Y15'), (2992, 'Y13'), (9797, 'B'), (6181, 'I'), (9368, 'C'), (10198, 'R4'), (4933, 'R6'), (3902, 'R8'), (2899, 'P'), (5084, 'R14'), (9477, 'R16'), (8408, 'R17'), (8728, 'R21'), (6319, 'E'), (8399, 'S1'), (7490, 'S2'), (9090, 'N0'), (2803, 'P'), (8323, 'L'), (4113, 'S9'), (5410, 'N8'), (4312, 'S14'), (9677, 'Z0'), (10604, 'S17'), (4061, 'S18'), (5728, 'S24'), (7973, 'T3'), (7070, 'Y1'), (3477, 'N19'), (8522, 'T7'), (10099, 'N21'), (10002, 'T9'), (8979, 'N24'), (7470, 'T13'), (7333, 'O'), (2940, 'T23'), (7600, 'U2'), (5230, 'Z5'), (10334, 'O3'), (6688, 'U10'), (9525, 'X6'), (5154, 'U19'), (8382, 'V'), (7962, 'O7'), (8390, 'O10'), (6776, 'V6'), (6441, 'V8'), (8416, 'V11'), (6291, 'V12'), (5049, 'O11'), (9900, 'V21'), (8879, 'J'), (7292, 'O21'), (8074, 'W1'), (9154, 'O25'), (6968, 'W4'), (6629, 'Z11'), (8842, 'W8'), (6976, 'Z18'), (6870, 'W10'), (10397, 'W13'), (6252, 'P8'), (9866, 'Z13'), (9436, 'W17'), (10363, 'W24'), (10070, 'X1'), (8551, 'P'), (3070, 'P14'), (7368, 'X5'), (4618, 'P13'), (9582, 'X8'), (10419, 'X12'), (9746, 'P23'), (9671, 'X16'), (8701, 'Q1'), (6518, 'Y8'), (7832, 'V'), (3771, 'Y9'), (9443, 'Y12'), (6634, 'A'), (8694, 'Y14'), (6017, 'Q5'), (10026, 'Q8'), (9712, 'Z1'), (8602, 'Z2'), (4640, 'Q11'), (8525, 'Q12')
M           | (993, 'U12'), (1000, 'Z22'), (1024, 'S3'), (1041, 'X3'), (1215, 'P20'), (1046, 'Q'), (1089, 'S13'), (1196, 'Y1'), (1066, 'Q21'), (1353, 'Y18'), (1487, 'Q20'), (1925, 'R24'), (1306, 'N6'), (1155, 'O2'), (1641, 'U11'), (1445, 'W5'), (1358, 'U16'), (1393, 'Y8'), (2106, 'X2'), (2996, 'Q4'), (2305, 'X24'), (2519, 'Q14'), (2886, 'O3'), (2533, 'R12'), (2496, 'X19'), (1725, 'S5'), (1575, 'R11'), (1265, 'S15'), (2325, 'M'), (1964, 'T23'), (1755, 'T18'), (1856, 'Z7'), (1500, 'V25'), (1689, 'W23'), (1486, 'X5'), (1931, 'O18'), (1575, 'Z0'), (4890, 'P12'), (2279, 'P3'), (4152, 'Z17'), (3031, 'X14'), (2380, 'Y13'), (2326, 'Z0'), (3090, 'H'), (2671, 'B'), (5327, 'R1'), (4018, 'Q23'), (3395, 'O11'), (2626, 'B'), (3839, 'P10'), (2883, 'P16'), (2711, 'Q8'), (1934, 'X10'), (1672, 'S10'), (2364, 'Y17'), (1995, 'N17'), (1536, 'R21'), (3126, 'S22'), (3420, 'T6'), (2662, 'T17'), (2413, 'U3'), (1805, 'N18'), (1923, 'U7'), (3267, 'V2'), (1947, 'Y7'), (3525, 'V3'), (2397, 'W15'), (2617, 'Z'), (2023, 'W24'), (4053, 'O23'), (2848, 'V22'), (3119, 'Y11'), (2374, 'Z5'), (1654, 'Z12'), (5621, 'W15'), (8456, 'W16'), (8342, 'S'), (3070, 'P14'), (3830, 'X6'), (9319, 'P22'), (4785, 'X23'), (3530, 'U'), (3492, 'Y10'), (5280, 'Q7'), (3324, 'G'), (3339, 'Y'), (3212, 'Z13'), (3137, 'Z23'), (6060, 'M10'), (6052, 'Y15'), (2992, 'Y13'), (7725, 'N4'), (6181, 'I'), (9159, 'N13'), (5085, 'N23'), (3486, 'A'), (3902, 'R8'), (2899, 'P'), (3096, 'O21'), (5637, 'O25'), (4405, 'P5'), (6064, 'D'), (3836, 'P22'), (4188, 'Q2'), (3181, 'P25'), (6748, 'Q22'), (2803, 'P'), (5415, 'R0'), (3398, 'S7'), (3869, 'R14'), (2869, 'R19'), (3471, 'N'), (5098, 'S4'), (3911, 'N16'), (1836, 'R24'), (4465, 'T4'), (7070, 'Y1'), (3477, 'N19'), (7724, 'T16'), (5504, 'T20'), (2720, 'U1'), (4652, 'U4'), (7470, 'T13'), (4559, 'U10'), (2266, 'N25'), (3286, 'U19'), (3263, 'U24'), (3697, 'O4'), (6352, 'V16'), (8024, 'V20'), (3020, 'X11'), (5117, 'U25'), (6724, 'W11'), (3621, 'U22'), (4506, 'W21'), (2686, 'V18'), (2933, 'X4'), (2849, 'R'), (3595, 'X8'), (5552, 'X13'), (7520, 'X16'), (7024, 'W0'), (3611, 'X23'), (5050, 'Y12'), (3455, 'W6'), (4960, 'P0'), (2929, 'Y25'), (4478, 'L'), (4250, 'W12'), (10397, 'W13'), (6252, 'P8'), (9866, 'Z13'), (9436, 'W17'), (10363, 'W24'), (10070, 'X1'), (8551, 'P'), (8525, 'Q12'), (7368, 'X5'), (4618, 'P13'), (9582, 'X8'), (10419, 'X12'), (9746, 'P23'), (9671, 'X16'), (8701, 'Q1'), (6518, 'Y8'), (7832, 'V'), (3771, 'Y9'), (9443, 'Y12'), (6634, 'A'), (8694, 'Y14'), (6017, 'Q5'), (10026, 'Q8'), (9712, 'Z1'), (8602, 'Z2'), (4640, 'Q11'), (6015, 'M1'), (8685, 'M2'), (7690, 'F'), (6839, 'M9'), (6224, 'M11'), (10017, 'M13'), (3619, 'M17'), (10726, 'M19'), (9797, 'B'), (8878, 'M22'), (10840, 'N5'), (9728, 'N11'), (9368, 'C'), (10825, 'N22'), (10198, 'R4'), (5882, 'R3'), (4933, 'R6'), (5969, 'O12'), (8834, 'O14'), (9146, 'O15'), (6707, 'O17'), (10663, 'O19'), (5084, 'R14'), (9045, 'O22'), (9477, 'R16'), (6416, 'D'), (8693, 'P6'), (8408, 'R17'), (8728, 'R21'), (7396, 'P15'), (6319, 'E'), (8515, 'P24'), (8399, 'S1'), (6641, 'K'), (7490, 'S2'), (7561, 'Q13'), (9188, 'Q19'), (9090, 'N0'), (8188, 'Q24'), (4435, 'Q25'), (8323, 'L'), (7330, 'R2'), (4333, 'R4'), (4113, 'S9'), (5410, 'N8'), (7869, 'R17'), (9543, 'R18'), (4312, 'S14'), (9677, 'Z0'), (4793, 'S16'), (10604, 'S17'), (7325, 'S1'), (5651, 'S11'), (4061, 'S18'), (5728, 'S24'), (2145, 'S19'), (7973, 'T3'), (6424, 'S21'), (7806, 'S25'), (7203, 'T3'), (10428, 'T10'), (8800, 'T11'), (10733, 'T14'), (8522, 'T7'), (10099, 'N21'), (8297, 'Z25'), (10002, 'T9'), (2779, 'T19'), (8979, 'N24'), (4911, 'T12'), (9618, 'U6'), (8484, 'U8'), (10367, 'U9'), (7333, 'O'), (2940, 'T23'), (9637, 'U17'), (9110, 'U18'), (7600, 'U2'), (5230, 'Z5'), (3970, 'U21'), (10334, 'O3'), (3730, 'V4'), (10704, 'V10'), (6688, 'U10'), (10542, 'V19'), (9525, 'X6'), (10864, 'V23'), (5154, 'U19'), (10028, 'W2'), (8382, 'V'), (8649, 'W8'), (7962, 'O7'), (8390, 'O10'), (5543, 'W17'), (6836, 'W19'), (6776, 'V6'), (6441, 'V8'), (6065, 'D'), (8416, 'V11'), (5705, 'X1'), (6291, 'V12'), (5006, 'X7'), (5049, 'O11'), (5203, 'X9'), (9900, 'V21'), (7735, 'X15'), (8879, 'J'), (10225, 'X20'), (9354, 'X21'), (7292, 'O21'), (8074, 'W1'), (6039, 'X25'), (9154, 'O25'), (6453, 'W3'), (10778, 'Y22'), (6968, 'W4'), (6629, 'Z11'), (5250, 'Z3'), (8842, 'W8'), (4166, 'Z10'), (6976, 'Z18'), (6141, 'Z15'), (8026, 'Z21'), (6870, 'W10')
U12         | (1000, 'Z22'), (1041, 'X3'), (1024, 'S3'), (1066, 'Q21'), (1215, 'P20'), (1046, 'Q'), (1089, 'S13'), (1196, 'Y1'), (1393, 'Y8'), (1353, 'Y18'), (1487, 'Q20'), (1925, 'R24'), (1306, 'N6'), (1155, 'O2'), (1641, 'U11'), (1445, 'W5'), (1358, 'U16'), (1575, 'Z0'), (2106, 'X2'), (2996, 'Q4'), (2305, 'X24'), (2519, 'Q14'), (2886, 'O3'), (2533, 'R12'), (2496, 'X19'), (1725, 'S5'), (1575, 'R11'), (1265, 'S15'), (2325, 'M'), (1964, 'T23'), (1755, 'T18'), (1856, 'Z7'), (1500, 'V25'), (1689, 'W23'), (1486, 'X5'), (1931, 'O18'), (1654, 'Z12'), (4890, 'P12'), (2279, 'P3'), (4152, 'Z17'), (3031, 'X14'), (2380, 'Y13'), (2326, 'Z0'), (3090, 'H'), (2671, 'B'), (5327, 'R1'), (4018, 'Q23'), (3395, 'O11'), (2626, 'B'), (3839, 'P10'), (2883, 'P16'), (2711, 'Q8'), (1934, 'X10'), (1672, 'S10'), (2364, 'Y17'), (1995, 'N17'), (1536, 'R21'), (3126, 'S22'), (3420, 'T6'), (2662, 'T17'), (2413, 'U3'), (1805, 'N18'), (1923, 'U7'), (3267, 'V2'), (1947, 'Y7'), (3525, 'V3'), (2397, 'W15'), (2617, 'Z'), (2023, 'W24'), (4053, 'O23'), (2848, 'V22'), (3119, 'Y11'), (2374, 'Z5'), (4250, 'W12'), (3930, 'T'), (8456, 'W16'), (8342, 'S'), (3070, 'P14'), (3830, 'X6'), (9319, 'P22'), (4785, 'X23'), (3530, 'U'), (3492, 'Y10'), (5280, 'Q7'), (3324, 'G'), (3339, 'Y'), (3212, 'Z13'), (3137, 'Z23'), (6060, 'M10'), (6052, 'Y15'), (2992, 'Y13'), (7725, 'N4'), (6181, 'I'), (9159, 'N13'), (5085, 'N23'), (3486, 'A'), (3902, 'R8'), (2899, 'P'), (3096, 'O21'), (5637, 'O25'), (4405, 'P5'), (6064, 'D'), (3836, 'P22'), (4188, 'Q2'), (3181, 'P25'), (6748, 'Q22'), (2803, 'P'), (5415, 'R0'), (3398, 'S7'), (3869, 'R14'), (2869, 'R19'), (3471, 'N'), (5098, 'S4'), (3911, 'N16'), (1836, 'R24'), (4465, 'T4'), (7070, 'Y1'), (3477, 'N19'), (7724, 'T16'), (5504, 'T20'), (2720, 'U1'), (4652, 'U4'), (7470, 'T13'), (4559, 'U10'), (2266, 'N25'), (3286, 'U19'), (3263, 'U24'), (3697, 'O4'), (6352, 'V16'), (8024, 'V20'), (3020, 'X11'), (5117, 'U25'), (6724, 'W11'), (3621, 'U22'), (4506, 'W21'), (2686, 'V18'), (2933, 'X4'), (2849, 'R'), (3595, 'X8'), (5552, 'X13'), (7520, 'X16'), (7024, 'W0'), (3611, 'X23'), (5050, 'Y12'), (3455, 'W6'), (4960, 'P0'), (2929, 'Y25'), (4478, 'L'), (5211, 'O'), (5621, 'W15'), (6252, 'P8'), (9866, 'Z13'), (9436, 'W17'), (10363, 'W24'), (10070, 'X1'), (8551, 'P'), (8525, 'Q12'), (7368, 'X5'), (4618, 'P13'), (9582, 'X8'), (10419, 'X12'), (9746, 'P23'), (9671, 'X16'), (8701, 'Q1'), (6518, 'Y8'), (7832, 'V'), (3771, 'Y9'), (9443, 'Y12'), (6634, 'A'), (8694, 'Y14'), (6017, 'Q5'), (10026, 'Q8'), (9712, 'Z1'), (8602, 'Z2'), (4640, 'Q11'), (6015, 'M1'), (8685, 'M2'), (7690, 'F'), (6839, 'M9'), (6224, 'M11'), (10017, 'M13'), (3619, 'M17'), (10726, 'M19'), (9797, 'B'), (8878, 'M22'), (10840, 'N5'), (9728, 'N11'), (9368, 'C'), (10825, 'N22'), (10198, 'R4'), (5882, 'R3'), (4933, 'R6'), (5969, 'O12'), (8834, 'O14'), (9146, 'O15'), (6707, 'O17'), (10663, 'O19'), (5084, 'R14'), (9045, 'O22'), (9477, 'R16'), (6416, 'D'), (8693, 'P6'), (8408, 'R17'), (8728, 'R21'), (7396, 'P15'), (6319, 'E'), (8515, 'P24'), (8399, 'S1'), (6641, 'K'), (7490, 'S2'), (7561, 'Q13'), (9188, 'Q19'), (9090, 'N0'), (8188, 'Q24'), (4435, 'Q25'), (8323, 'L'), (7330, 'R2'), (4333, 'R4'), (4113, 'S9'), (5410, 'N8'), (7869, 'R17'), (9543, 'R18'), (4312, 'S14'), (9677, 'Z0'), (4793, 'S16'), (10604, 'S17'), (7325, 'S1'), (5651, 'S11'), (4061, 'S18'), (5728, 'S24'), (2145, 'S19'), (7973, 'T3'), (6424, 'S21'), (7806, 'S25'), (7203, 'T3'), (10428, 'T10'), (8800, 'T11'), (10733, 'T14'), (8522, 'T7'), (10099, 'N21'), (8297, 'Z25'), (10002, 'T9'), (2779, 'T19'), (8979, 'N24'), (4911, 'T12'), (9618, 'U6'), (8484, 'U8'), (10367, 'U9'), (7333, 'O'), (2940, 'T23'), (9637, 'U17'), (9110, 'U18'), (7600, 'U2'), (5230, 'Z5'), (3970, 'U21'), (10334, 'O3'), (3730, 'V4'), (10704, 'V10'), (6688, 'U10'), (10542, 'V19'), (9525, 'X6'), (10864, 'V23'), (5154, 'U19'), (10028, 'W2'), (8382, 'V'), (8649, 'W8'), (7962, 'O7'), (8390, 'O10'), (5543, 'W17'), (6836, 'W19'), (6776, 'V6'), (6441, 'V8'), (6065, 'D'), (8416, 'V11'), (5705, 'X1'), (6291, 'V12'), (5006, 'X7'), (5049, 'O11'), (5203, 'X9'), (9900, 'V21'), (7735, 'X15'), (8879, 'J'), (10225, 'X20'), (9354, 'X21'), (7292, 'O21'), (8074, 'W1'), (6039, 'X25'), (9154, 'O25'), (6453, 'W3'), (10778, 'Y22'), (6968, 'W4'), (6629, 'Z11'), (5250, 'Z3'), (8842, 'W8'), (4166, 'Z10'), (6976, 'Z18'), (6141, 'Z15'), (8026, 'Z21'), (6870, 'W10'), (10397, 'W13')
