dictionary size=  100
list element size=  1000 

Start value = Y  Goal value = R 

Expand Node | Fringe
--------------------
-           | (64, 'Y')
Y           | (176, 'Y10'), (212, 'Z4'), (618, 'Z13'), (549, 'Y8'), (442, 'Z7'), (823, 'Y22'), (629, 'Z8'), (829, 'Z25'), (727, 'Y2'), (636, 'Y1'), (481, 'Z6'), (1061, 'Y14'), (867, 'Z11'), (884, 'Y6'), (678, 'Z15'), (1041, 'Z2')
Y10         | (212, 'Z4'), (434, 'K'), (618, 'Z13'), (442, 'Z7'), (481, 'Z6'), (823, 'Y22'), (629, 'Z8'), (576, 'F'), (549, 'Y8'), (493, 'O'), (565, 'R'), (929, 'V'), (867, 'Z11'), (884, 'Y6'), (678, 'Z15'), (998, 'B'), (829, 'Z25'), (727, 'Y2'), (1053, 'M'), (636, 'Y1'), (610, 'P'), (1041, 'Z2'), (965, 'U'), (1061, 'Y14')
Z4          | (276, 'F'), (442, 'Z7'), (361, 'A'), (549, 'Y8'), (481, 'Z6'), (434, 'K'), (412, 'P'), (576, 'F'), (727, 'Y2'), (493, 'O'), (565, 'R'), (693, 'C'), (618, 'Z13'), (629, 'Z8'), (476, 'G'), (620, 'X'), (829, 'Z25'), (1061, 'Y14'), (1053, 'M'), (636, 'Y1'), (610, 'P'), (1041, 'Z2'), (965, 'U'), (929, 'V'), (823, 'Y22'), (867, 'Z11'), (824, 'D'), (884, 'Y6'), (1204, 'N'), (678, 'Z15'), (1056, 'T'), (998, 'B'), (762, 'U')
F           | (235, 'Z18'), (260, 'K5'), (253, 'T6'), (321, 'O16'), (261, 'K15'), (314, 'L19'), (254, 'Z8'), (346, 'I25'), (361, 'A'), (319, 'S17'), (299, 'K1'), (331, 'V1'), (420, 'W17'), (297, 'X20'), (265, 'Z17'), (382, 'O17'), (454, 'P3'), (503, 'Q2'), (481, 'R8'), (409, 'S2'), (345, 'G20'), (347, 'K21'), (321, 'U15'), (353, 'G2'), (403, 'V17'), (444, 'M14'), (472, 'H6'), (430, 'X22'), (430, 'M17'), (291, 'V13'), (336, 'Z24'), (493, 'I13'), (442, 'Z7'), (842, 'I19'), (573, 'I20'), (509, 'Q10'), (542, 'Q14'), (566, 'J9'), (549, 'Y8'), (493, 'O'), (440, 'J22'), (481, 'Z6'), (345, 'I14'), (448, 'K19'), (513, 'T13'), (453, 'L0'), (389, 'K25'), (612, 'L8'), (370, 'L16'), (412, 'P'), (434, 'K'), (523, 'L24'), (479, 'W6'), (618, 'Z13'), (494, 'X4'), (454, 'M15'), (450, 'M16'), (580, 'Y22'), (480, 'N2'), (610, 'N6'), (448, 'Z20'), (487, 'Z23'), (615, 'H22'), (684, 'I8'), (565, 'O11'), (576, 'F'), (491, 'O10'), (900, 'O21'), (853, 'O24'), (727, 'F5'), (811, 'P18'), (727, 'Y2'), (521, 'F6'), (753, 'J5'), (697, 'Q21'), (645, 'Q22'), (865, 'Q25'), (600, 'R5'), (589, 'J18'), (653, 'R11'), (660, 'J23'), (445, 'F25'), (512, 'J24'), (484, 'S5'), (685, 'K12'), (589, 'S15'), (361, 'F14'), (1041, 'Z2'), (533, 'T4'), (565, 'R'), (538, 'T22'), (868, 'T24'), (690, 'U3'), (558, 'L1'), (498, 'U18'), (929, 'V'), (707, 'G13'), (823, 'V8'), (690, 'V10'), (523, 'V16'), (517, 'V18'), (460, 'V23'), (892, 'V24'), (818, 'G24'), (610, 'W8'), (675, 'W13'), (542, 'W16'), (824, 'D'), (816, 'X3'), (545, 'M8'), (557, 'X11'), (559, 'X14'), (476, 'G'), (460, 'H10'), (471, 'Y8'), (852, 'Y13'), (829, 'Y11'), (548, 'Y24'), (523, 'Z0'), (665, 'I0'), (639, 'Z15'), (678, 'Z15'), (549, 'I7'), (980, 'Z22'), (602, 'O3'), (733, 'O2'), (697, 'I2'), (998, 'B'), (831, 'O7'), (900, 'I11'), (1243, 'O12'), (1158, 'F3'), (601, 'O15'), (620, 'X'), (725, 'O18'), (1307, 'F4'), (1132, 'O20'), (936, 'I18'), (1045, 'O25'), (916, 'P1'), (829, 'Z25'), (1066, 'I22'), (843, 'P4'), (1172, 'I24'), (810, 'P21'), (1061, 'Y14'), (885, 'Q11'), (804, 'F9'), (1119, 'Q18'), (951, 'Q19'), (766, 'J0'), (1053, 'M'), (841, 'Q24'), (1280, 'J10'), (905, 'R3'), (817, 'J13'), (1105, 'R7'), (710, 'F11'), (1087, 'R9'), (916, 'F20'), (1177, 'R13'), (718, 'R17'), (1061, 'R23'), (636, 'Y1'), (570, 'S0'), (609, 'S3'), (1097, 'S4'), (610, 'P'), (728, 'S7'), (1048, 'S8'), (919, 'S14'), (1240, 'K13'), (700, 'S16'), (491, 'F24'), (430, 'S19'), (1265, 'T3'), (1224, 'G8'), (1187, 'K17'), (1129, 'T9'), (1157, 'G9'), (884, 'T15'), (942, 'T20'), (669, 'K22'), (1093, 'G11'), (929, 'T25'), (965, 'U'), (954, 'U9'), (1144, 'G12'), (946, 'U11'), (823, 'U17'), (698, 'L2'), (1195, 'U24'), (1263, 'V0'), (865, 'L7'), (1032, 'V6'), (1129, 'V7'), (891, 'L9'), (1056, 'L11'), (776, 'G16'), (957, 'L12'), (693, 'C'), (823, 'Y22'), (1127, 'V20'), (1214, 'G23'), (897, 'V21'), (961, 'L20'), (1046, 'W0'), (933, 'W1'), (867, 'Z11'), (886, 'M1'), (858, 'W10'), (1053, 'M2'), (948, 'H2'), (1124, 'M6'), (609, 'W11'), (952, 'W21'), (841, 'W22'), (1144, 'W24'), (821, 'M10'), (1273, 'M13'), (931, 'X7'), (1006, 'H7'), (941, 'X13'), (884, 'Y6'), (1026, 'X15'), (1144, 'X18'), (629, 'Z8'), (949, 'H13'), (980, 'X24'), (1244, 'M19'), (760, 'Y7'), (1208, 'M22'), (1032, 'M25'), (1204, 'N'), (1167, 'Y21'), (867, 'H21'), (770, 'H14'), (805, 'N1'), (736, 'Z3'), (762, 'U'), (739, 'Z10'), (1199, 'Z16'), (811, 'N9'), (1008, 'N10'), (956, 'Z19'), (811, 'N18'), (1182, 'Z21'), (1112, 'N23'), (984, 'N24'), (1056, 'T')
Z18         | (253, 'T6'), (260, 'K5'), (254, 'Z8'), (321, 'O16'), (261, 'K15'), (314, 'L19'), (265, 'Z17'), (346, 'I25'), (361, 'A'), (319, 'S17'), (299, 'K1'), (331, 'V1'), (420, 'W17'), (297, 'X20'), (291, 'V13'), (382, 'O17'), (454, 'P3'), (503, 'Q2'), (481, 'R8'), (409, 'S2'), (345, 'G20'), (347, 'K21'), (321, 'U15'), (353, 'G2'), (403, 'V17'), (444, 'M14'), (472, 'H6'), (430, 'X22'), (430, 'M17'), (448, 'Z20'), (336, 'Z24'), (493, 'I13'), (442, 'Z7'), (842, 'I19'), (573, 'I20'), (509, 'Q10'), (542, 'Q14'), (566, 'J9'), (549, 'Y8'), (493, 'O'), (440, 'J22'), (481, 'Z6'), (345, 'I14'), (448, 'K19'), (513, 'T13'), (453, 'L0'), (389, 'K25'), (612, 'L8'), (370, 'L16'), (412, 'P'), (434, 'K'), (523, 'L24'), (479, 'W6'), (618, 'Z13'), (494, 'X4'), (454, 'M15'), (450, 'M16'), (580, 'Y22'), (480, 'N2'), (610, 'N6'), (549, 'I7'), (350, 'O'), (421, 'V'), (609, 'X'), (565, 'O11'), (576, 'F'), (491, 'O10'), (900, 'O21'), (853, 'O24'), (727, 'F5'), (811, 'P18'), (727, 'Y2'), (521, 'F6'), (753, 'J5'), (697, 'Q21'), (645, 'Q22'), (865, 'Q25'), (600, 'R5'), (589, 'J18'), (653, 'R11'), (660, 'J23'), (445, 'F25'), (512, 'J24'), (484, 'S5'), (685, 'K12'), (589, 'S15'), (361, 'F14'), (1041, 'Z2'), (533, 'T4'), (565, 'R'), (538, 'T22'), (868, 'T24'), (690, 'U3'), (558, 'L1'), (498, 'U18'), (929, 'V'), (707, 'G13'), (823, 'V8'), (690, 'V10'), (523, 'V16'), (517, 'V18'), (460, 'V23'), (892, 'V24'), (818, 'G24'), (610, 'W8'), (675, 'W13'), (542, 'W16'), (824, 'D'), (816, 'X3'), (545, 'M8'), (557, 'X11'), (559, 'X14'), (476, 'G'), (460, 'H10'), (471, 'Y8'), (852, 'Y13'), (829, 'Y11'), (548, 'Y24'), (523, 'Z0'), (665, 'I0'), (639, 'Z15'), (678, 'Z15'), (811, 'N18'), (980, 'Z22'), (487, 'Z23'), (716, 'Q'), (584, 'U'), (684, 'I8'), (831, 'O7'), (900, 'I11'), (1243, 'O12'), (1158, 'F3'), (601, 'O15'), (620, 'X'), (725, 'O18'), (1307, 'F4'), (1132, 'O20'), (936, 'I18'), (1045, 'O25'), (916, 'P1'), (829, 'Z25'), (1066, 'I22'), (843, 'P4'), (1172, 'I24'), (810, 'P21'), (1061, 'Y14'), (885, 'Q11'), (804, 'F9'), (1119, 'Q18'), (951, 'Q19'), (766, 'J0'), (1053, 'M'), (841, 'Q24'), (1280, 'J10'), (905, 'R3'), (817, 'J13'), (1105, 'R7'), (710, 'F11'), (1087, 'R9'), (916, 'F20'), (1177, 'R13'), (718, 'R17'), (1061, 'R23'), (636, 'Y1'), (570, 'S0'), (609, 'S3'), (1097, 'S4'), (610, 'P'), (728, 'S7'), (1048, 'S8'), (919, 'S14'), (1240, 'K13'), (700, 'S16'), (491, 'F24'), (430, 'S19'), (1265, 'T3'), (1224, 'G8'), (1187, 'K17'), (1129, 'T9'), (1157, 'G9'), (884, 'T15'), (942, 'T20'), (669, 'K22'), (1093, 'G11'), (929, 'T25'), (965, 'U'), (954, 'U9'), (1144, 'G12'), (946, 'U11'), (823, 'U17'), (698, 'L2'), (1195, 'U24'), (1263, 'V0'), (865, 'L7'), (1032, 'V6'), (1129, 'V7'), (891, 'L9'), (1056, 'L11'), (776, 'G16'), (957, 'L12'), (693, 'C'), (823, 'Y22'), (1127, 'V20'), (1214, 'G23'), (897, 'V21'), (961, 'L20'), (1046, 'W0'), (933, 'W1'), (867, 'Z11'), (886, 'M1'), (858, 'W10'), (1053, 'M2'), (948, 'H2'), (1124, 'M6'), (609, 'W11'), (952, 'W21'), (841, 'W22'), (1144, 'W24'), (821, 'M10'), (1273, 'M13'), (931, 'X7'), (1006, 'H7'), (941, 'X13'), (884, 'Y6'), (1026, 'X15'), (1144, 'X18'), (629, 'Z8'), (949, 'H13'), (980, 'X24'), (1244, 'M19'), (760, 'Y7'), (1208, 'M22'), (1032, 'M25'), (1204, 'N'), (1167, 'Y21'), (867, 'H21'), (770, 'H14'), (805, 'N1'), (736, 'Z3'), (762, 'U'), (739, 'Z10'), (1199, 'Z16'), (811, 'N9'), (1008, 'N10'), (956, 'Z19'), (1056, 'T'), (1182, 'Z21'), (1112, 'N23'), (984, 'N24'), (604, 'H'), (602, 'O3'), (733, 'O2'), (1036, 'S'), (697, 'I2'), (615, 'H22'), (998, 'B'), (776, 'W')
T6          | (254, 'Z8'), (260, 'K5'), (265, 'Z17'), (321, 'O16'), (261, 'K15'), (314, 'L19'), (291, 'V13'), (346, 'I25'), (361, 'A'), (319, 'S17'), (299, 'K1'), (331, 'V1'), (420, 'W17'), (297, 'X20'), (336, 'Z24'), (357, 'B'), (454, 'P3'), (503, 'Q2'), (481, 'R8'), (409, 'S2'), (345, 'G20'), (347, 'K21'), (321, 'U15'), (353, 'G2'), (403, 'V17'), (444, 'M14'), (472, 'H6'), (430, 'X22'), (430, 'M17'), (448, 'Z20'), (350, 'O'), (382, 'O17'), (442, 'Z7'), (842, 'I19'), (573, 'I20'), (509, 'Q10'), (542, 'Q14'), (566, 'J9'), (549, 'Y8'), (493, 'O'), (440, 'J22'), (481, 'Z6'), (345, 'I14'), (448, 'K19'), (513, 'T13'), (453, 'L0'), (389, 'K25'), (612, 'L8'), (370, 'L16'), (412, 'P'), (434, 'K'), (523, 'L24'), (479, 'W6'), (618, 'Z13'), (494, 'X4'), (454, 'M15'), (450, 'M16'), (580, 'Y22'), (480, 'N2'), (610, 'N6'), (549, 'I7'), (487, 'Z23'), (421, 'V'), (443, 'C'), (565, 'O11'), (576, 'F'), (491, 'O10'), (900, 'O21'), (853, 'O24'), (727, 'F5'), (811, 'P18'), (727, 'Y2'), (521, 'F6'), (753, 'J5'), (697, 'Q21'), (645, 'Q22'), (865, 'Q25'), (600, 'R5'), (589, 'J18'), (653, 'R11'), (660, 'J23'), (445, 'F25'), (512, 'J24'), (484, 'S5'), (685, 'K12'), (589, 'S15'), (361, 'F14'), (1041, 'Z2'), (533, 'T4'), (565, 'R'), (538, 'T22'), (868, 'T24'), (690, 'U3'), (558, 'L1'), (498, 'U18'), (929, 'V'), (707, 'G13'), (823, 'V8'), (690, 'V10'), (523, 'V16'), (517, 'V18'), (460, 'V23'), (892, 'V24'), (818, 'G24'), (610, 'W8'), (675, 'W13'), (542, 'W16'), (824, 'D'), (816, 'X3'), (545, 'M8'), (557, 'X11'), (559, 'X14'), (476, 'G'), (460, 'H10'), (471, 'Y8'), (852, 'Y13'), (829, 'Y11'), (548, 'Y24'), (523, 'Z0'), (665, 'I0'), (639, 'Z15'), (678, 'Z15'), (811, 'N18'), (980, 'Z22'), (602, 'O3'), (716, 'Q'), (584, 'U'), (609, 'X'), (493, 'I13'), (900, 'I11'), (1243, 'O12'), (1158, 'F3'), (601, 'O15'), (620, 'X'), (725, 'O18'), (1307, 'F4'), (1132, 'O20'), (936, 'I18'), (1045, 'O25'), (916, 'P1'), (829, 'Z25'), (1066, 'I22'), (843, 'P4'), (1172, 'I24'), (810, 'P21'), (1061, 'Y14'), (885, 'Q11'), (804, 'F9'), (1119, 'Q18'), (951, 'Q19'), (766, 'J0'), (1053, 'M'), (841, 'Q24'), (1280, 'J10'), (905, 'R3'), (817, 'J13'), (1105, 'R7'), (710, 'F11'), (1087, 'R9'), (916, 'F20'), (1177, 'R13'), (718, 'R17'), (1061, 'R23'), (636, 'Y1'), (570, 'S0'), (609, 'S3'), (1097, 'S4'), (610, 'P'), (728, 'S7'), (1048, 'S8'), (919, 'S14'), (1240, 'K13'), (700, 'S16'), (491, 'F24'), (430, 'S19'), (1265, 'T3'), (1224, 'G8'), (1187, 'K17'), (1129, 'T9'), (1157, 'G9'), (884, 'T15'), (942, 'T20'), (669, 'K22'), (1093, 'G11'), (929, 'T25'), (965, 'U'), (954, 'U9'), (1144, 'G12'), (946, 'U11'), (823, 'U17'), (698, 'L2'), (1195, 'U24'), (1263, 'V0'), (865, 'L7'), (1032, 'V6'), (1129, 'V7'), (891, 'L9'), (1056, 'L11'), (776, 'G16'), (957, 'L12'), (693, 'C'), (823, 'Y22'), (1127, 'V20'), (1214, 'G23'), (897, 'V21'), (961, 'L20'), (1046, 'W0'), (933, 'W1'), (867, 'Z11'), (886, 'M1'), (858, 'W10'), (1053, 'M2'), (948, 'H2'), (1124, 'M6'), (609, 'W11'), (952, 'W21'), (841, 'W22'), (1144, 'W24'), (821, 'M10'), (1273, 'M13'), (931, 'X7'), (1006, 'H7'), (941, 'X13'), (884, 'Y6'), (1026, 'X15'), (1144, 'X18'), (629, 'Z8'), (949, 'H13'), (980, 'X24'), (1244, 'M19'), (760, 'Y7'), (1208, 'M22'), (1032, 'M25'), (1204, 'N'), (1167, 'Y21'), (867, 'H21'), (770, 'H14'), (805, 'N1'), (736, 'Z3'), (762, 'U'), (739, 'Z10'), (1199, 'Z16'), (811, 'N9'), (1008, 'N10'), (956, 'Z19'), (1056, 'T'), (1182, 'Z21'), (1112, 'N23'), (984, 'N24'), (604, 'H'), (776, 'W'), (733, 'O2'), (1036, 'S'), (697, 'I2'), (615, 'H22'), (998, 'B'), (684, 'I8'), (831, 'O7'), (1159, 'E'), (1178, 'L')
Z8          | (260, 'K5'), (261, 'K15'), (265, 'Z17'), (321, 'O16'), (299, 'K1'), (314, 'L19'), (291, 'V13'), (346, 'I25'), (361, 'A'), (319, 'S17'), (321, 'U15'), (331, 'V1'), (420, 'W17'), (297, 'X20'), (336, 'Z24'), (357, 'B'), (454, 'P3'), (503, 'Q2'), (481, 'R8'), (409, 'S2'), (345, 'G20'), (347, 'K21'), (389, 'K25'), (353, 'G2'), (403, 'V17'), (444, 'M14'), (472, 'H6'), (430, 'X22'), (430, 'M17'), (448, 'Z20'), (350, 'O'), (358, 'G'), (442, 'Z7'), (842, 'I19'), (573, 'I20'), (509, 'Q10'), (542, 'Q14'), (566, 'J9'), (549, 'Y8'), (493, 'O'), (440, 'J22'), (481, 'Z6'), (345, 'I14'), (448, 'K19'), (513, 'T13'), (453, 'L0'), (498, 'U18'), (612, 'L8'), (370, 'L16'), (412, 'P'), (434, 'K'), (523, 'L24'), (479, 'W6'), (618, 'Z13'), (494, 'X4'), (454, 'M15'), (450, 'M16'), (580, 'Y22'), (480, 'N2'), (610, 'N6'), (549, 'I7'), (487, 'Z23'), (421, 'V'), (443, 'C'), (382, 'O17'), (516, 'N'), (491, 'O10'), (900, 'O21'), (853, 'O24'), (727, 'F5'), (811, 'P18'), (727, 'Y2'), (521, 'F6'), (753, 'J5'), (697, 'Q21'), (645, 'Q22'), (865, 'Q25'), (600, 'R5'), (589, 'J18'), (653, 'R11'), (660, 'J23'), (445, 'F25'), (512, 'J24'), (484, 'S5'), (685, 'K12'), (589, 'S15'), (361, 'F14'), (1041, 'Z2'), (533, 'T4'), (565, 'R'), (538, 'T22'), (868, 'T24'), (690, 'U3'), (558, 'L1'), (698, 'L2'), (929, 'V'), (707, 'G13'), (823, 'V8'), (690, 'V10'), (523, 'V16'), (517, 'V18'), (460, 'V23'), (892, 'V24'), (818, 'G24'), (610, 'W8'), (675, 'W13'), (542, 'W16'), (824, 'D'), (816, 'X3'), (545, 'M8'), (557, 'X11'), (559, 'X14'), (476, 'G'), (460, 'H10'), (471, 'Y8'), (852, 'Y13'), (829, 'Y11'), (548, 'Y24'), (523, 'Z0'), (665, 'I0'), (639, 'Z15'), (678, 'Z15'), (811, 'N18'), (980, 'Z22'), (602, 'O3'), (716, 'Q'), (584, 'U'), (609, 'X'), (493, 'I13'), (442, 'D'), (911, 'I'), (576, 'F'), (601, 'O15'), (620, 'X'), (725, 'O18'), (1307, 'F4'), (1132, 'O20'), (936, 'I18'), (1045, 'O25'), (916, 'P1'), (829, 'Z25'), (1066, 'I22'), (843, 'P4'), (1172, 'I24'), (810, 'P21'), (1061, 'Y14'), (885, 'Q11'), (804, 'F9'), (1119, 'Q18'), (951, 'Q19'), (766, 'J0'), (1053, 'M'), (841, 'Q24'), (1280, 'J10'), (905, 'R3'), (817, 'J13'), (1105, 'R7'), (710, 'F11'), (1087, 'R9'), (916, 'F20'), (1177, 'R13'), (718, 'R17'), (1061, 'R23'), (636, 'Y1'), (570, 'S0'), (609, 'S3'), (1097, 'S4'), (610, 'P'), (728, 'S7'), (1048, 'S8'), (919, 'S14'), (1240, 'K13'), (700, 'S16'), (491, 'F24'), (430, 'S19'), (1265, 'T3'), (1224, 'G8'), (1187, 'K17'), (1129, 'T9'), (1157, 'G9'), (884, 'T15'), (942, 'T20'), (669, 'K22'), (1093, 'G11'), (929, 'T25'), (965, 'U'), (954, 'U9'), (1144, 'G12'), (946, 'U11'), (823, 'U17'), (1178, 'L'), (1195, 'U24'), (1263, 'V0'), (865, 'L7'), (1032, 'V6'), (1129, 'V7'), (891, 'L9'), (1056, 'L11'), (776, 'G16'), (957, 'L12'), (693, 'C'), (823, 'Y22'), (1127, 'V20'), (1214, 'G23'), (897, 'V21'), (961, 'L20'), (1046, 'W0'), (933, 'W1'), (867, 'Z11'), (886, 'M1'), (858, 'W10'), (1053, 'M2'), (948, 'H2'), (1124, 'M6'), (609, 'W11'), (952, 'W21'), (841, 'W22'), (1144, 'W24'), (821, 'M10'), (1273, 'M13'), (931, 'X7'), (1006, 'H7'), (941, 'X13'), (884, 'Y6'), (1026, 'X15'), (1144, 'X18'), (629, 'Z8'), (949, 'H13'), (980, 'X24'), (1244, 'M19'), (760, 'Y7'), (1208, 'M22'), (1032, 'M25'), (1204, 'N'), (1167, 'Y21'), (867, 'H21'), (770, 'H14'), (805, 'N1'), (736, 'Z3'), (762, 'U'), (739, 'Z10'), (1199, 'Z16'), (811, 'N9'), (1008, 'N10'), (956, 'Z19'), (1056, 'T'), (1182, 'Z21'), (1112, 'N23'), (984, 'N24'), (604, 'H'), (776, 'W'), (733, 'O2'), (1036, 'S'), (697, 'I2'), (615, 'H22'), (998, 'B'), (684, 'I8'), (831, 'O7'), (1159, 'E'), (900, 'I11'), (565, 'O11'), (1243, 'O12'), (926, 'M'), (1158, 'F3')
K5          | (261, 'K15'), (299, 'K1'), (265, 'Z17'), (321, 'O16'), (319, 'S17'), (314, 'L19'), (291, 'V13'), (346, 'I25'), (361, 'A'), (345, 'G20'), (321, 'U15'), (331, 'V1'), (420, 'W17'), (297, 'X20'), (336, 'Z24'), (355, 'J'), (454, 'P3'), (503, 'Q2'), (481, 'R8'), (409, 'S2'), (345, 'I14'), (347, 'K21'), (389, 'K25'), (353, 'G2'), (403, 'V17'), (444, 'M14'), (472, 'H6'), (430, 'X22'), (430, 'M17'), (448, 'Z20'), (350, 'O'), (358, 'G'), (357, 'B'), (842, 'I19'), (573, 'I20'), (509, 'Q10'), (542, 'Q14'), (566, 'J9'), (549, 'Y8'), (493, 'O'), (440, 'J22'), (481, 'Z6'), (361, 'F14'), (448, 'K19'), (513, 'T13'), (453, 'L0'), (498, 'U18'), (612, 'L8'), (370, 'L16'), (412, 'P'), (434, 'K'), (523, 'L24'), (479, 'W6'), (618, 'Z13'), (494, 'X4'), (454, 'M15'), (450, 'M16'), (580, 'Y22'), (480, 'N2'), (610, 'N6'), (549, 'I7'), (487, 'Z23'), (421, 'V'), (443, 'C'), (382, 'O17'), (442, 'Z7'), (491, 'O10'), (900, 'O21'), (853, 'O24'), (727, 'F5'), (811, 'P18'), (727, 'Y2'), (521, 'F6'), (753, 'J5'), (697, 'Q21'), (645, 'Q22'), (865, 'Q25'), (600, 'R5'), (589, 'J18'), (653, 'R11'), (660, 'J23'), (445, 'F25'), (512, 'J24'), (484, 'S5'), (685, 'K12'), (589, 'S15'), (430, 'S19'), (1041, 'Z2'), (533, 'T4'), (565, 'R'), (538, 'T22'), (868, 'T24'), (690, 'U3'), (558, 'L1'), (698, 'L2'), (929, 'V'), (707, 'G13'), (823, 'V8'), (690, 'V10'), (523, 'V16'), (517, 'V18'), (460, 'V23'), (892, 'V24'), (818, 'G24'), (610, 'W8'), (675, 'W13'), (542, 'W16'), (824, 'D'), (816, 'X3'), (545, 'M8'), (557, 'X11'), (559, 'X14'), (476, 'G'), (460, 'H10'), (471, 'Y8'), (852, 'Y13'), (829, 'Y11'), (548, 'Y24'), (523, 'Z0'), (665, 'I0'), (639, 'Z15'), (678, 'Z15'), (811, 'N18'), (980, 'Z22'), (602, 'O3'), (716, 'Q'), (584, 'U'), (609, 'X'), (493, 'I13'), (442, 'D'), (911, 'I'), (576, 'F'), (516, 'N'), (620, 'X'), (725, 'O18'), (1307, 'F4'), (1132, 'O20'), (936, 'I18'), (1045, 'O25'), (916, 'P1'), (829, 'Z25'), (1066, 'I22'), (843, 'P4'), (1172, 'I24'), (810, 'P21'), (1061, 'Y14'), (885, 'Q11'), (804, 'F9'), (1119, 'Q18'), (951, 'Q19'), (766, 'J0'), (1053, 'M'), (841, 'Q24'), (1280, 'J10'), (905, 'R3'), (817, 'J13'), (1105, 'R7'), (710, 'F11'), (1087, 'R9'), (916, 'F20'), (1177, 'R13'), (718, 'R17'), (1061, 'R23'), (636, 'Y1'), (570, 'S0'), (609, 'S3'), (1097, 'S4'), (610, 'P'), (728, 'S7'), (1048, 'S8'), (919, 'S14'), (1240, 'K13'), (700, 'S16'), (491, 'F24'), (1158, 'F3'), (1265, 'T3'), (1224, 'G8'), (1187, 'K17'), (1129, 'T9'), (1157, 'G9'), (884, 'T15'), (942, 'T20'), (669, 'K22'), (1093, 'G11'), (929, 'T25'), (965, 'U'), (954, 'U9'), (1144, 'G12'), (946, 'U11'), (823, 'U17'), (1178, 'L'), (1195, 'U24'), (1263, 'V0'), (865, 'L7'), (1032, 'V6'), (1129, 'V7'), (891, 'L9'), (1056, 'L11'), (776, 'G16'), (957, 'L12'), (693, 'C'), (823, 'Y22'), (1127, 'V20'), (1214, 'G23'), (897, 'V21'), (961, 'L20'), (1046, 'W0'), (933, 'W1'), (867, 'Z11'), (886, 'M1'), (858, 'W10'), (1053, 'M2'), (948, 'H2'), (1124, 'M6'), (609, 'W11'), (952, 'W21'), (841, 'W22'), (1144, 'W24'), (821, 'M10'), (1273, 'M13'), (931, 'X7'), (1006, 'H7'), (941, 'X13'), (884, 'Y6'), (1026, 'X15'), (1144, 'X18'), (629, 'Z8'), (949, 'H13'), (980, 'X24'), (1244, 'M19'), (760, 'Y7'), (1208, 'M22'), (1032, 'M25'), (1204, 'N'), (1167, 'Y21'), (867, 'H21'), (770, 'H14'), (805, 'N1'), (736, 'Z3'), (762, 'U'), (739, 'Z10'), (1199, 'Z16'), (811, 'N9'), (1008, 'N10'), (956, 'Z19'), (1056, 'T'), (1182, 'Z21'), (1112, 'N23'), (984, 'N24'), (604, 'H'), (776, 'W'), (733, 'O2'), (1036, 'S'), (697, 'I2'), (615, 'H22'), (998, 'B'), (684, 'I8'), (831, 'O7'), (1159, 'E'), (900, 'I11'), (565, 'O11'), (1243, 'O12'), (926, 'M'), (581, 'H'), (646, 'I'), (601, 'O15')
