dictionary size=  100000
list element size=  10 

Start value = P  Goal value = J 

Expand Node | Fringe
--------------------
-           | (93170, 'P')
P           | (451, 'Z11'), (1449, 'T25'), (542, 'V15'), (2789, 'U17'), (3246, 'V22'), (2330, 'P3'), (1599, 'X13'), (6562, 'V0'), (3894, 'S22'), (4031, 'S15'), (4599, 'P1'), (3479, 'T20'), (3573, 'P11'), (2996, 'T22'), (7373, 'U12'), (14932, 'U15'), (12535, 'Q13'), (10478, 'V5'), (4132, 'V11'), (9064, 'P15'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33650, 'Q22'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (5820, 'R3'), (23681, 'U3'), (13207, 'Z20'), (33714, 'U14'), (16706, 'P12'), (50694, 'U19'), (21750, 'R18'), (70727, 'V1'), (34818, 'Q16'), (23312, 'V4'), (45974, 'Q14'), (32578, 'V17'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (33818, 'X24'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (18768, 'Q0'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (92483, 'U9'), (62371, 'R10'), (34857, 'U8'), (92854, 'P8'), (35146, 'R15'), (79464, 'U18'), (71956, 'R12'), (82560, 'Q11'), (57469, 'U20'), (83768, 'R21'), (76550, 'V2'), (69170, 'P13'), (50944, 'R22'), (98825, 'V9'), (87998, 'R23'), (67769, 'R24'), (98985, 'V16'), (74945, 'S0'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (56452, 'X22'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (28877, 'P10'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (58907, 'Z25')
Z11         | (542, 'V15'), (1449, 'T25'), (1599, 'X13'), (2789, 'U17'), (3246, 'V22'), (2330, 'P3'), (2996, 'T22'), (6562, 'V0'), (3894, 'S22'), (4031, 'S15'), (4599, 'P1'), (3479, 'T20'), (3573, 'P11'), (5820, 'R3'), (5486, 'R'), (14932, 'U15'), (12535, 'Q13'), (10478, 'V5'), (4132, 'V11'), (9064, 'P15'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33650, 'Q22'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (7373, 'U12'), (16706, 'P12'), (50694, 'U19'), (21750, 'R18'), (70727, 'V1'), (34818, 'Q16'), (23312, 'V4'), (45974, 'Q14'), (32578, 'V17'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (33818, 'X24'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (32979, 'M'), (23114, 'W'), (35146, 'R15'), (79464, 'U18'), (71956, 'R12'), (82560, 'Q11'), (57469, 'U20'), (83768, 'R21'), (76550, 'V2'), (69170, 'P13'), (50944, 'R22'), (98825, 'V9'), (87998, 'R23'), (67769, 'R24'), (98985, 'V16'), (74945, 'S0'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (56452, 'X22'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (34857, 'U8'), (84899, 'U'), (92854, 'P8')
V15         | (1449, 'T25'), (2789, 'U17'), (1599, 'X13'), (3894, 'S22'), (3246, 'V22'), (2330, 'P3'), (2996, 'T22'), (4216, 'G'), (4132, 'V11'), (4031, 'S15'), (4599, 'P1'), (3479, 'T20'), (3573, 'P11'), (5820, 'R3'), (5486, 'R'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (32578, 'V17'), (9064, 'P15'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33650, 'Q22'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (7373, 'U12'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (70727, 'V1'), (34818, 'Q16'), (23312, 'V4'), (45974, 'Q14'), (74945, 'S0'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (33818, 'X24'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (32979, 'M'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (57469, 'U20'), (83768, 'R21'), (76550, 'V2'), (69170, 'P13'), (50944, 'R22'), (98825, 'V9'), (87998, 'R23'), (67769, 'R24'), (98985, 'V16'), (92854, 'P8'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (56452, 'X22'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (34857, 'U8'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (82560, 'Q11')
T25         | (1599, 'X13'), (2789, 'U17'), (2330, 'P3'), (3894, 'S22'), (3246, 'V22'), (3479, 'T20'), (2996, 'T22'), (4216, 'G'), (4132, 'V11'), (4031, 'S15'), (4599, 'P1'), (33650, 'Q22'), (3573, 'P11'), (5820, 'R3'), (5486, 'R'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (32578, 'V17'), (9064, 'P15'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33818, 'X24'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (7373, 'U12'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (32973, 'M'), (34818, 'Q16'), (23312, 'V4'), (45974, 'Q14'), (74945, 'S0'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (56452, 'X22'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (32979, 'M'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (21684, 'F'), (70727, 'V1'), (76550, 'V2'), (69170, 'P13'), (50944, 'R22'), (98825, 'V9'), (87998, 'R23'), (67769, 'R24'), (98985, 'V16'), (92854, 'P8'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (82560, 'Q11'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (34857, 'U8'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (83200, 'B'), (27067, 'C'), (57469, 'U20'), (42559, 'I'), (83768, 'R21'), (95345, 'S')
X13         | (2330, 'P3'), (2789, 'U17'), (2996, 'T22'), (3894, 'S22'), (3246, 'V22'), (3479, 'T20'), (5486, 'R'), (4216, 'G'), (4132, 'V11'), (4031, 'S15'), (4599, 'P1'), (33650, 'Q22'), (3573, 'P11'), (5820, 'R3'), (7373, 'U12'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (32578, 'V17'), (9064, 'P15'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33818, 'X24'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (32979, 'M'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (27062, 'C'), (20581, 'O'), (18351, 'T'), (45974, 'Q14'), (74945, 'S0'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (56452, 'X22'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (34857, 'U8'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (21684, 'F'), (70727, 'V1'), (32973, 'M'), (42558, 'I'), (34818, 'Q16'), (23312, 'V4'), (23105, 'W'), (67769, 'R24'), (98985, 'V16'), (92854, 'P8'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (82560, 'Q11'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (95345, 'S'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (83200, 'B'), (27067, 'C'), (57469, 'U20'), (42559, 'I'), (83768, 'R21'), (83196, 'B'), (76550, 'V2'), (38540, 'D'), (69170, 'P13'), (62752, 'K'), (58925, 'N'), (50944, 'R22'), (98825, 'V9'), (84894, 'U'), (87998, 'R23'), (47443, 'V')
P3          | (2789, 'U17'), (3246, 'V22'), (2996, 'T22'), (3894, 'S22'), (4031, 'S15'), (3479, 'T20'), (5486, 'R'), (4216, 'G'), (4132, 'V11'), (9064, 'P15'), (4599, 'P1'), (33650, 'Q22'), (3573, 'P11'), (5820, 'R3'), (7373, 'U12'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (4210, 'G'), (47443, 'V'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33818, 'X24'), (38117, 'Q21'), (34078, 'Y16'), (7907, 'Y20'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (32979, 'M'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (27062, 'C'), (20581, 'O'), (18351, 'T'), (9116, 'J'), (20574, 'O'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (56452, 'X22'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (8940, 'Z1'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (34857, 'U8'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (21684, 'F'), (70727, 'V1'), (32973, 'M'), (42558, 'I'), (34818, 'Q16'), (23312, 'V4'), (23105, 'W'), (32578, 'V17'), (58924, 'N'), (74945, 'S0'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (82560, 'Q11'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (13409, 'Z3'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (95345, 'S'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (83200, 'B'), (27067, 'C'), (57469, 'U20'), (42559, 'I'), (83768, 'R21'), (83196, 'B'), (76550, 'V2'), (38540, 'D'), (69170, 'P13'), (62752, 'K'), (58925, 'N'), (50944, 'R22'), (98825, 'V9'), (84894, 'U'), (87998, 'R23'), (49434, 'E'), (67769, 'R24'), (45974, 'Q14'), (98985, 'V16'), (62750, 'K'), (92854, 'P8')
U17         | (2996, 'T22'), (3246, 'V22'), (3479, 'T20'), (3894, 'S22'), (4031, 'S15'), (3573, 'P11'), (5486, 'R'), (4216, 'G'), (4132, 'V11'), (9064, 'P15'), (4599, 'P1'), (33650, 'Q22'), (7907, 'Y20'), (5820, 'R3'), (7373, 'U12'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (4210, 'G'), (47443, 'V'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33818, 'X24'), (38117, 'Q21'), (34078, 'Y16'), (8940, 'Z1'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (32979, 'M'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (27062, 'C'), (20581, 'O'), (18351, 'T'), (9116, 'J'), (20574, 'O'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (56452, 'X22'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (13409, 'Z3'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (34857, 'U8'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (21684, 'F'), (70727, 'V1'), (32973, 'M'), (42558, 'I'), (34818, 'Q16'), (23312, 'V4'), (23105, 'W'), (32578, 'V17'), (58924, 'N'), (74945, 'S0'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (82560, 'Q11'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (92854, 'P8'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (95345, 'S'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (83200, 'B'), (27067, 'C'), (57469, 'U20'), (42559, 'I'), (83768, 'R21'), (83196, 'B'), (76550, 'V2'), (38540, 'D'), (69170, 'P13'), (62752, 'K'), (58925, 'N'), (50944, 'R22'), (98825, 'V9'), (84894, 'U'), (87998, 'R23'), (49434, 'E'), (67769, 'R24'), (45974, 'Q14'), (98985, 'V16'), (62750, 'K')
T22         | (3246, 'V22'), (3894, 'S22'), (3479, 'T20'), (4132, 'V11'), (4031, 'S15'), (3573, 'P11'), (5486, 'R'), (4216, 'G'), (4210, 'G'), (9064, 'P15'), (4599, 'P1'), (33650, 'Q22'), (7907, 'Y20'), (5820, 'R3'), (7373, 'U12'), (5485, 'R'), (12535, 'Q13'), (10478, 'V5'), (9116, 'J'), (47443, 'V'), (9368, 'Q17'), (11376, 'Q20'), (26969, 'T5'), (33818, 'X24'), (38117, 'Q21'), (34078, 'Y16'), (8940, 'Z1'), (18768, 'Q0'), (23681, 'U3'), (13207, 'Z20'), (32979, 'M'), (14932, 'U15'), (6562, 'V0'), (18354, 'T'), (27062, 'C'), (20581, 'O'), (18351, 'T'), (32578, 'V17'), (12201, 'Q'), (51476, 'S5'), (57516, 'P9'), (38720, 'W1'), (15040, 'W11'), (61716, 'W13'), (22356, 'S16'), (43162, 'X1'), (29877, 'X12'), (62390, 'X17'), (56452, 'X22'), (47865, 'P19'), (45028, 'T15'), (53282, 'R0'), (39276, 'Y12'), (17582, 'T14'), (13409, 'Z3'), (21361, 'Z7'), (28877, 'P10'), (68578, 'Z14'), (31312, 'Z18'), (50647, 'R6'), (27074, 'C'), (33714, 'U14'), (34857, 'U8'), (16706, 'P12'), (35146, 'R15'), (50694, 'U19'), (14976, 'L'), (21750, 'R18'), (21684, 'F'), (70727, 'V1'), (32973, 'M'), (42558, 'I'), (34818, 'Q16'), (23312, 'V4'), (23105, 'W'), (45974, 'Q14'), (58924, 'N'), (20574, 'O'), (92907, 'V21'), (84181, 'S3'), (79938, 'V23'), (97057, 'V24'), (89742, 'V25'), (71205, 'Q18'), (41445, 'W0'), (57531, 'W10'), (40599, 'S6'), (94486, 'Q19'), (83954, 'W17'), (95315, 'W18'), (33759, 'X0'), (86967, 'T0'), (93362, 'X3'), (78495, 'P18'), (69400, 'X11'), (89422, 'T9'), (75088, 'T11'), (85798, 'P5'), (82560, 'Q11'), (98521, 'Y0'), (94508, 'Y2'), (52499, 'Y4'), (62703, 'Y5'), (98207, 'T17'), (78460, 'Y7'), (95568, 'P22'), (64714, 'Y19'), (58591, 'Q23'), (72963, 'Y25'), (17917, 'T18'), (92854, 'P8'), (30674, 'T24'), (28860, 'Z9'), (58907, 'Z25'), (29374, 'Z12'), (91121, 'R4'), (85322, 'Z17'), (42836, 'U7'), (32529, 'Z19'), (94401, 'Q10'), (92177, 'A'), (92483, 'U9'), (83201, 'B'), (62371, 'R10'), (49442, 'E'), (95345, 'S'), (84899, 'U'), (38547, 'D'), (23114, 'W'), (91497, 'H'), (42568, 'I'), (79464, 'U18'), (58935, 'N'), (71956, 'R12'), (95347, 'S'), (83200, 'B'), (27067, 'C'), (57469, 'U20'), (42559, 'I'), (83768, 'R21'), (83196, 'B'), (76550, 'V2'), (38540, 'D'), (69170, 'P13'), (62752, 'K'), (58925, 'N'), (50944, 'R22'), (98825, 'V9'), (84894, 'U'), (87998, 'R23'), (49434, 'E'), (67769, 'R24'), (62750, 'K'), (98985, 'V16'), (91495, 'H'), (74945, 'S0')
