dictionary size=  100000
list element size=  100000 

Start value = Z  Goal value = A 

Expand Node | Fringe
--------------------
-           | (89613, 'Z')
Z           | (64468, 'Z6'), (72401, 'Z12'), (117422, 'Z11'), (91197, 'Z19'), (81102, 'Z25'), (144965, 'Z16'), (128262, 'Z18'), (116691, 'Z8'), (164753, 'Z20'), (110121, 'Z21'), (84052, 'Z14')
Z6          | (65230, 'N'), (72401, 'Z12'), (117422, 'Z11'), (81049, 'P'), (84052, 'Z14'), (130508, 'Y'), (127528, 'K'), (91197, 'Z19'), (81102, 'Z25'), (110121, 'Z21'), (94949, 'S'), (138635, 'U'), (182501, 'I'), (128262, 'Z18'), (217409, 'L'), (124556, 'M'), (116691, 'Z8'), (164753, 'Z20'), (126812, 'O'), (189099, 'Q'), (142811, 'R'), (136989, 'F'), (110866, 'T'), (187505, 'H'), (144965, 'Z16')
N           | (72401, 'Z12'), (75508, 'O5'), (75432, 'Q5'), (79166, 'R16'), (84052, 'Z14'), (95654, 'N5'), (78949, 'W24'), (81049, 'P'), (81102, 'Z25'), (86045, 'O13'), (94949, 'S'), (101112, 'V19'), (117422, 'Z11'), (125640, 'W9'), (82185, 'N1'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (85667, 'S8'), (110121, 'Z21'), (97042, 'O18'), (136989, 'F'), (110866, 'T'), (113739, 'P9'), (101766, 'U23'), (117504, 'P15'), (160344, 'P17'), (127528, 'K'), (134855, 'P25'), (106055, 'P24'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (138759, 'O9'), (129433, 'S13'), (150659, 'S22'), (163381, 'T4'), (137032, 'T5'), (145862, 'T19'), (168615, 'O22'), (150793, 'O24'), (112186, 'U3'), (113653, 'U10'), (161956, 'U22'), (130508, 'Y'), (138635, 'U'), (120701, 'V13'), (183353, 'V21'), (130279, 'V25'), (182501, 'I'), (171882, 'W2'), (133646, 'W7'), (128262, 'Z18'), (136691, 'N8'), (151029, 'W16'), (143907, 'W22'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (199869, 'O7'), (172204, 'S5'), (144965, 'Z16'), (172592, 'S17'), (199325, 'O11'), (175999, 'S24'), (189099, 'Q'), (182993, 'S25'), (142811, 'R'), (223609, 'T7'), (210402, 'T14'), (182534, 'O21'), (211725, 'T20'), (184074, 'T23'), (226595, 'T24'), (179101, 'T25'), (182710, 'P1'), (171468, 'U4'), (184194, 'P3'), (146274, 'U5'), (189262, 'P6'), (176854, 'U15'), (187505, 'H'), (180078, 'V12'), (160898, 'P11'), (155600, 'V14'), (239324, 'P13'), (172743, 'V17'), (225158, 'P14'), (217692, 'V22'), (186339, 'N2'), (174691, 'V23'), (210376, 'W0'), (219019, 'W1'), (188094, 'P19'), (181174, 'W3'), (206693, 'W5'), (193645, 'P22'), (199773, 'W8'), (151808, 'N6'), (200019, 'W12'), (189550, 'W13'), (173067, 'Q2'), (154490, 'W15'), (217409, 'L'), (152812, 'N10'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (167643, 'S3')
Z12         | (72711, 'R'), (75432, 'Q5'), (78949, 'W24'), (75508, 'O5'), (84052, 'Z14'), (95654, 'N5'), (82185, 'N1'), (81049, 'P'), (79166, 'R16'), (86045, 'O13'), (94949, 'S'), (101112, 'V19'), (117422, 'Z11'), (125640, 'W9'), (106055, 'P24'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (81102, 'Z25'), (110121, 'Z21'), (97042, 'O18'), (136989, 'F'), (110866, 'T'), (113739, 'P9'), (101766, 'U23'), (117504, 'P15'), (160344, 'P17'), (127528, 'K'), (134855, 'P25'), (143907, 'W22'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (81843, 'M'), (129433, 'S13'), (150659, 'S22'), (163381, 'T4'), (137032, 'T5'), (145862, 'T19'), (168615, 'O22'), (150793, 'O24'), (112186, 'U3'), (113653, 'U10'), (161956, 'U22'), (130508, 'Y'), (138635, 'U'), (120701, 'V13'), (183353, 'V21'), (130279, 'V25'), (182501, 'I'), (171882, 'W2'), (133646, 'W7'), (128262, 'Z18'), (136691, 'N8'), (151029, 'W16'), (152812, 'N10'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (138759, 'O9'), (85667, 'S8'), (143096, 'X'), (172592, 'S17'), (199325, 'O11'), (175999, 'S24'), (189099, 'Q'), (182993, 'S25'), (142811, 'R'), (223609, 'T7'), (210402, 'T14'), (182534, 'O21'), (211725, 'T20'), (184074, 'T23'), (226595, 'T24'), (179101, 'T25'), (182710, 'P1'), (171468, 'U4'), (184194, 'P3'), (146274, 'U5'), (189262, 'P6'), (176854, 'U15'), (187505, 'H'), (180078, 'V12'), (160898, 'P11'), (155600, 'V14'), (239324, 'P13'), (172743, 'V17'), (225158, 'P14'), (217692, 'V22'), (186339, 'N2'), (174691, 'V23'), (210376, 'W0'), (219019, 'W1'), (188094, 'P19'), (181174, 'W3'), (206693, 'W5'), (193645, 'P22'), (199773, 'W8'), (151808, 'N6'), (200019, 'W12'), (189550, 'W13'), (173067, 'Q2'), (154490, 'W15'), (217409, 'L'), (167643, 'S3'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (131431, 'A'), (150604, 'J'), (199869, 'O7'), (184432, 'L'), (172204, 'S5'), (87946, 'O'), (150045, 'W'), (144965, 'Z16')
R           | (41283, 'W7'), (75432, 'Q5'), (41376, 'W20'), (79166, 'R16'), (75508, 'O5'), (61508, 'S23'), (76103, 'Z19'), (81049, 'P'), (81102, 'Z25'), (84052, 'Z14'), (83571, 'U11'), (78949, 'W24'), (98356, 'Y2'), (82185, 'N1'), (106055, 'P24'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (81843, 'M'), (86045, 'O13'), (85138, 'S22'), (94949, 'S'), (87283, 'U18'), (101112, 'V19'), (79194, 'X6'), (98584, 'X20'), (101358, 'Y21'), (92744, 'Z7'), (134855, 'P25'), (143907, 'W22'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (85667, 'S8'), (84332, 'R7'), (103387, 'R21'), (102518, 'R20'), (97042, 'O18'), (103338, 'T17'), (113686, 'U0'), (100558, 'U7'), (110866, 'T'), (113253, 'U21'), (113739, 'P9'), (106270, 'V12'), (99970, 'V23'), (95654, 'N5'), (139713, 'X10'), (117422, 'Z11'), (127033, 'Y15'), (122167, 'Y7'), (125640, 'W9'), (128262, 'Z18'), (136691, 'N8'), (151029, 'W16'), (152812, 'N10'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (138759, 'O9'), (87946, 'O'), (129433, 'S13'), (168578, 'R13'), (110121, 'Z21'), (175999, 'S24'), (163381, 'T4'), (109706, 'S14'), (137032, 'T5'), (106124, 'T3'), (200668, 'T16'), (145862, 'T19'), (142072, 'T24'), (136989, 'F'), (150793, 'O24'), (102467, 'U15'), (130781, 'U16'), (112186, 'U3'), (113653, 'U10'), (142129, 'V5'), (119345, 'V8'), (118861, 'V9'), (130508, 'Y'), (173709, 'W3'), (106897, 'W10'), (101766, 'U23'), (120701, 'V13'), (108195, 'X3'), (172428, 'X13'), (165743, 'X18'), (130279, 'V25'), (117504, 'P15'), (182501, 'I'), (139629, 'Y19'), (155964, 'Y24'), (169397, 'Y25'), (133646, 'W7'), (127528, 'K'), (199773, 'W8'), (151808, 'N6'), (200019, 'W12'), (189550, 'W13'), (173067, 'Q2'), (154490, 'W15'), (217409, 'L'), (167643, 'S3'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (131431, 'A'), (150604, 'J'), (199869, 'O7'), (184432, 'L'), (172204, 'S5'), (144965, 'Z16'), (150045, 'W'), (143096, 'X'), (184038, 'R10'), (172592, 'S17'), (199325, 'O11'), (150659, 'S22'), (195452, 'R24'), (186483, 'S2'), (198934, 'S11'), (189099, 'Q'), (182993, 'S25'), (173519, 'S16'), (142811, 'R'), (154256, 'S25'), (223609, 'T7'), (146456, 'T2'), (216545, 'T11'), (210402, 'T14'), (182534, 'O21'), (177356, 'T20'), (211725, 'T20'), (168615, 'O22'), (184074, 'T23'), (157970, 'U1'), (226595, 'T24'), (176585, 'U13'), (179801, 'U14'), (179101, 'T25'), (182710, 'P1'), (139816, 'U17'), (171468, 'U4'), (193678, 'U20'), (184194, 'P3'), (115722, 'V1'), (158093, 'V3'), (146274, 'U5'), (189262, 'P6'), (161956, 'U22'), (216622, 'V11'), (176854, 'U15'), (187505, 'H'), (179103, 'V20'), (194543, 'W0'), (180078, 'V12'), (160898, 'P11'), (138635, 'U'), (155600, 'V14'), (106177, 'W13'), (239324, 'P13'), (201079, 'X1'), (172743, 'V17'), (131308, 'X5'), (225158, 'P14'), (183353, 'V21'), (217692, 'V22'), (167723, 'X17'), (186339, 'N2'), (177315, 'X25'), (174691, 'V23'), (150280, 'Y5'), (210376, 'W0'), (190153, 'Y9'), (219019, 'W1'), (160344, 'P17'), (188094, 'P19'), (171882, 'W2'), (181174, 'W3'), (213324, 'Z0'), (206693, 'W5'), (141827, 'Z17'), (193645, 'P22'), (139137, 'Z23')
W7          | (41376, 'W20'), (75432, 'Q5'), (61508, 'S23'), (79166, 'R16'), (75508, 'O5'), (78949, 'W24'), (76103, 'Z19'), (81049, 'P'), (81102, 'Z25'), (84052, 'Z14'), (83571, 'U11'), (79194, 'X6'), (98356, 'Y2'), (82185, 'N1'), (106055, 'P24'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (81843, 'M'), (86045, 'O13'), (85138, 'S22'), (94949, 'S'), (87283, 'U18'), (101112, 'V19'), (95654, 'N5'), (98584, 'X20'), (101358, 'Y21'), (92744, 'Z7'), (134855, 'P25'), (143907, 'W22'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (85667, 'S8'), (84332, 'R7'), (103387, 'R21'), (102518, 'R20'), (97042, 'O18'), (103338, 'T17'), (113686, 'U0'), (100558, 'U7'), (110866, 'T'), (113253, 'U21'), (113739, 'P9'), (106270, 'V12'), (99970, 'V23'), (108195, 'X3'), (139713, 'X10'), (117422, 'Z11'), (127033, 'Y15'), (122167, 'Y7'), (125640, 'W9'), (127395, 'F'), (136691, 'N8'), (151029, 'W16'), (152812, 'N10'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (138759, 'O9'), (87946, 'O'), (129433, 'S13'), (168578, 'R13'), (110121, 'Z21'), (175999, 'S24'), (163381, 'T4'), (109706, 'S14'), (137032, 'T5'), (106124, 'T3'), (200668, 'T16'), (145862, 'T19'), (142072, 'T24'), (136989, 'F'), (150793, 'O24'), (102467, 'U15'), (130781, 'U16'), (112186, 'U3'), (113653, 'U10'), (142129, 'V5'), (119345, 'V8'), (118861, 'V9'), (130508, 'Y'), (173709, 'W3'), (106897, 'W10'), (101766, 'U23'), (120701, 'V13'), (131308, 'X5'), (172428, 'X13'), (165743, 'X18'), (130279, 'V25'), (117504, 'P15'), (182501, 'I'), (139629, 'Y19'), (155964, 'Y24'), (169397, 'Y25'), (133646, 'W7'), (127528, 'K'), (128262, 'Z18'), (148620, 'W'), (200019, 'W12'), (189550, 'W13'), (173067, 'Q2'), (154490, 'W15'), (217409, 'L'), (167643, 'S3'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (131431, 'A'), (150604, 'J'), (199869, 'O7'), (184432, 'L'), (172204, 'S5'), (144965, 'Z16'), (150045, 'W'), (143096, 'X'), (184038, 'R10'), (172592, 'S17'), (199325, 'O11'), (150659, 'S22'), (195452, 'R24'), (186483, 'S2'), (198934, 'S11'), (189099, 'Q'), (182993, 'S25'), (173519, 'S16'), (142811, 'R'), (154256, 'S25'), (223609, 'T7'), (146456, 'T2'), (216545, 'T11'), (210402, 'T14'), (182534, 'O21'), (177356, 'T20'), (211725, 'T20'), (168615, 'O22'), (184074, 'T23'), (157970, 'U1'), (226595, 'T24'), (176585, 'U13'), (179801, 'U14'), (179101, 'T25'), (182710, 'P1'), (139816, 'U17'), (171468, 'U4'), (193678, 'U20'), (184194, 'P3'), (115722, 'V1'), (158093, 'V3'), (146274, 'U5'), (189262, 'P6'), (161956, 'U22'), (216622, 'V11'), (176854, 'U15'), (187505, 'H'), (179103, 'V20'), (194543, 'W0'), (180078, 'V12'), (160898, 'P11'), (138635, 'U'), (155600, 'V14'), (106177, 'W13'), (239324, 'P13'), (201079, 'X1'), (172743, 'V17'), (139137, 'Z23'), (225158, 'P14'), (183353, 'V21'), (217692, 'V22'), (167723, 'X17'), (186339, 'N2'), (177315, 'X25'), (174691, 'V23'), (150280, 'Y5'), (210376, 'W0'), (190153, 'Y9'), (219019, 'W1'), (160344, 'P17'), (188094, 'P19'), (171882, 'W2'), (181174, 'W3'), (213324, 'Z0'), (206693, 'W5'), (141827, 'Z17'), (193645, 'P22'), (190454, 'C'), (199773, 'W8'), (152258, 'D'), (151808, 'N6')
W20         | (61508, 'S23'), (75432, 'Q5'), (76103, 'Z19'), (79166, 'R16'), (75508, 'O5'), (78949, 'W24'), (78287, 'P'), (81049, 'P'), (81102, 'Z25'), (84052, 'Z14'), (83571, 'U11'), (79194, 'X6'), (98356, 'Y2'), (82185, 'N1'), (106055, 'P24'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (81843, 'M'), (86045, 'O13'), (85138, 'S22'), (94949, 'S'), (87283, 'U18'), (101112, 'V19'), (95654, 'N5'), (98584, 'X20'), (101358, 'Y21'), (92744, 'Z7'), (90727, 'S'), (143907, 'W22'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (85667, 'S8'), (84332, 'R7'), (103387, 'R21'), (102518, 'R20'), (97042, 'O18'), (103338, 'T17'), (113686, 'U0'), (100558, 'U7'), (110866, 'T'), (113253, 'U21'), (113739, 'P9'), (106270, 'V12'), (99970, 'V23'), (108195, 'X3'), (139713, 'X10'), (117422, 'Z11'), (127033, 'Y15'), (122167, 'Y7'), (127528, 'K'), (125640, 'W9'), (134855, 'P25'), (151029, 'W16'), (152812, 'N10'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (138759, 'O9'), (87946, 'O'), (129433, 'S13'), (168578, 'R13'), (110121, 'Z21'), (175999, 'S24'), (163381, 'T4'), (109706, 'S14'), (137032, 'T5'), (106124, 'T3'), (200668, 'T16'), (145862, 'T19'), (142072, 'T24'), (136989, 'F'), (150793, 'O24'), (102467, 'U15'), (130781, 'U16'), (112186, 'U3'), (113653, 'U10'), (142129, 'V5'), (119345, 'V8'), (118861, 'V9'), (130508, 'Y'), (173709, 'W3'), (106897, 'W10'), (101766, 'U23'), (120701, 'V13'), (131308, 'X5'), (172428, 'X13'), (165743, 'X18'), (130279, 'V25'), (117504, 'P15'), (182501, 'I'), (139629, 'Y19'), (155964, 'Y24'), (169397, 'Y25'), (133646, 'W7'), (151808, 'N6'), (128262, 'Z18'), (127395, 'F'), (136691, 'N8'), (189550, 'W13'), (173067, 'Q2'), (154490, 'W15'), (217409, 'L'), (167643, 'S3'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (131431, 'A'), (150604, 'J'), (199869, 'O7'), (184432, 'L'), (172204, 'S5'), (144965, 'Z16'), (150045, 'W'), (143096, 'X'), (184038, 'R10'), (172592, 'S17'), (199325, 'O11'), (150659, 'S22'), (195452, 'R24'), (186483, 'S2'), (198934, 'S11'), (189099, 'Q'), (182993, 'S25'), (173519, 'S16'), (142811, 'R'), (154256, 'S25'), (223609, 'T7'), (146456, 'T2'), (216545, 'T11'), (210402, 'T14'), (182534, 'O21'), (177356, 'T20'), (211725, 'T20'), (168615, 'O22'), (184074, 'T23'), (157970, 'U1'), (226595, 'T24'), (176585, 'U13'), (179801, 'U14'), (179101, 'T25'), (182710, 'P1'), (139816, 'U17'), (171468, 'U4'), (193678, 'U20'), (184194, 'P3'), (115722, 'V1'), (158093, 'V3'), (146274, 'U5'), (189262, 'P6'), (161956, 'U22'), (216622, 'V11'), (176854, 'U15'), (187505, 'H'), (179103, 'V20'), (194543, 'W0'), (180078, 'V12'), (160898, 'P11'), (138635, 'U'), (155600, 'V14'), (106177, 'W13'), (239324, 'P13'), (201079, 'X1'), (172743, 'V17'), (139137, 'Z23'), (225158, 'P14'), (183353, 'V21'), (217692, 'V22'), (167723, 'X17'), (186339, 'N2'), (177315, 'X25'), (174691, 'V23'), (150280, 'Y5'), (210376, 'W0'), (190153, 'Y9'), (219019, 'W1'), (160344, 'P17'), (188094, 'P19'), (171882, 'W2'), (181174, 'W3'), (213324, 'Z0'), (206693, 'W5'), (141827, 'Z17'), (193645, 'P22'), (190454, 'C'), (199773, 'W8'), (152258, 'D'), (159329, 'I'), (148620, 'W'), (200019, 'W12')
S23         | (75432, 'Q5'), (75508, 'O5'), (76103, 'Z19'), (79166, 'R16'), (83571, 'U11'), (78949, 'W24'), (78287, 'P'), (81049, 'P'), (81102, 'Z25'), (84052, 'Z14'), (87283, 'U18'), (79194, 'X6'), (98356, 'Y2'), (82185, 'N1'), (106055, 'P24'), (115183, 'N16'), (88962, 'N23'), (95847, 'Z21'), (81843, 'M'), (86045, 'O13'), (85138, 'S22'), (94949, 'S'), (110866, 'T'), (101112, 'V19'), (95654, 'N5'), (98584, 'X20'), (101358, 'Y21'), (92744, 'Z7'), (90727, 'S'), (143907, 'W22'), (126119, 'Q20'), (143889, 'R2'), (124556, 'M'), (115524, 'Y1'), (91197, 'Z19'), (121802, 'R19'), (114963, 'R25'), (85667, 'S8'), (84332, 'R7'), (103387, 'R21'), (102518, 'R20'), (97042, 'O18'), (103338, 'T17'), (113686, 'U0'), (100558, 'U7'), (112186, 'U3'), (113253, 'U21'), (113739, 'P9'), (106270, 'V12'), (99970, 'V23'), (108195, 'X3'), (139713, 'X10'), (117422, 'Z11'), (127033, 'Y15'), (122167, 'Y7'), (127528, 'K'), (125640, 'W9'), (99524, 'E'), (95732, 'J'), (152812, 'N10'), (195469, 'X0'), (161277, 'X6'), (131383, 'X8'), (195393, 'X12'), (146308, 'X15'), (129139, 'R4'), (136144, 'X24'), (132866, 'Y4'), (129083, 'Y8'), (169847, 'Y13'), (116691, 'Z8'), (137924, 'Y18'), (126812, 'O'), (139705, 'Z2'), (117325, 'Z7'), (138759, 'O9'), (87946, 'O'), (129433, 'S13'), (168578, 'R13'), (110121, 'Z21'), (175999, 'S24'), (163381, 'T4'), (109706, 'S14'), (137032, 'T5'), (106124, 'T3'), (200668, 'T16'), (145862, 'T19'), (142072, 'T24'), (136989, 'F'), (150793, 'O24'), (102467, 'U15'), (130781, 'U16'), (171468, 'U4'), (113653, 'U10'), (142129, 'V5'), (119345, 'V8'), (118861, 'V9'), (130508, 'Y'), (173709, 'W3'), (106897, 'W10'), (101766, 'U23'), (120701, 'V13'), (131308, 'X5'), (172428, 'X13'), (165743, 'X18'), (130279, 'V25'), (117504, 'P15'), (182501, 'I'), (139629, 'Y19'), (155964, 'Y24'), (169397, 'Y25'), (133646, 'W7'), (151808, 'N6'), (128262, 'Z18'), (127395, 'F'), (133684, 'B'), (132145, 'C'), (151029, 'W16'), (154490, 'W15'), (217409, 'L'), (167643, 'S3'), (215229, 'W25'), (210937, 'Q12'), (176544, 'N9'), (233184, 'X7'), (241321, 'Q21'), (229506, 'X10'), (211910, 'R0'), (209634, 'X11'), (200500, 'N11'), (188309, 'X14'), (142473, 'X19'), (190127, 'X21'), (202192, 'R8'), (200419, 'X25'), (205336, 'R9'), (160708, 'N22'), (186293, 'R13'), (216899, 'Y9'), (232578, 'Y12'), (191363, 'R14'), (153365, 'Y14'), (155846, 'Y15'), (164753, 'Z20'), (138061, 'Y17'), (170302, 'Y22'), (177459, 'Y24'), (189458, 'S2'), (154281, 'N25'), (131431, 'A'), (150604, 'J'), (199869, 'O7'), (184432, 'L'), (172204, 'S5'), (144965, 'Z16'), (150045, 'W'), (143096, 'X'), (184038, 'R10'), (172592, 'S17'), (199325, 'O11'), (150659, 'S22'), (195452, 'R24'), (186483, 'S2'), (198934, 'S11'), (189099, 'Q'), (182993, 'S25'), (173519, 'S16'), (142811, 'R'), (154256, 'S25'), (223609, 'T7'), (146456, 'T2'), (216545, 'T11'), (210402, 'T14'), (182534, 'O21'), (177356, 'T20'), (211725, 'T20'), (168615, 'O22'), (184074, 'T23'), (157970, 'U1'), (226595, 'T24'), (176585, 'U13'), (179801, 'U14'), (179101, 'T25'), (182710, 'P1'), (139816, 'U17'), (200019, 'W12'), (193678, 'U20'), (184194, 'P3'), (115722, 'V1'), (158093, 'V3'), (146274, 'U5'), (189262, 'P6'), (161956, 'U22'), (216622, 'V11'), (176854, 'U15'), (187505, 'H'), (179103, 'V20'), (194543, 'W0'), (180078, 'V12'), (160898, 'P11'), (138635, 'U'), (155600, 'V14'), (106177, 'W13'), (239324, 'P13'), (201079, 'X1'), (172743, 'V17'), (139137, 'Z23'), (225158, 'P14'), (183353, 'V21'), (217692, 'V22'), (167723, 'X17'), (186339, 'N2'), (177315, 'X25'), (174691, 'V23'), (150280, 'Y5'), (210376, 'W0'), (190153, 'Y9'), (219019, 'W1'), (160344, 'P17'), (188094, 'P19'), (171882, 'W2'), (181174, 'W3'), (213324, 'Z0'), (206693, 'W5'), (141827, 'Z17'), (193645, 'P22'), (190454, 'C'), (199773, 'W8'), (152258, 'D'), (159329, 'I'), (148620, 'W'), (136691, 'N8'), (134855, 'P25'), (189550, 'W13'), (185531, 'H'), (173067, 'Q2')
