dictionary size=  1000000
list element size=  10 

Start value = U  Goal value = A 

Expand Node | Fringe
--------------------
-           | (216007, 'U')
U           | (54607, 'W6'), (176738, 'V20'), (71405, 'Z19'), (203321, 'W14'), (186496, 'X5'), (88703, 'W13'), (81835, 'Y6'), (329329, 'U4'), (323935, 'X1'), (193628, 'X6'), (322894, 'U19'), (108922, 'Y8'), (218418, 'Y10'), (135487, 'Z3'), (118873, 'U7'), (362872, 'W22'), (341683, 'W25'), (471269, 'U15'), (668588, 'X3'), (281421, 'U12'), (390556, 'X9'), (379445, 'X13'), (497991, 'X23'), (595580, 'Y7'), (217923, 'V1'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (298216, 'W10'), (314591, 'Z17'), (269212, 'U1'), (522671, 'Z20'), (415254, 'V11'), (926185, 'W24'), (553486, 'U2'), (791313, 'V12'), (636389, 'X2'), (999505, 'V16'), (929203, 'X4'), (878228, 'V17'), (496573, 'V19'), (773552, 'U16'), (675793, 'X11'), (443878, 'U5'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (658672, 'U3'), (791281, 'U23'), (636297, 'Y9'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (492641, 'W9'), (876732, 'Z12'), (639347, 'W11'), (696238, 'Z18'), (293034, 'V9'), (864903, 'V10'), (733504, 'Z24')
W6          | (71405, 'Z19'), (176738, 'V20'), (81835, 'Y6'), (203321, 'W14'), (186496, 'X5'), (88703, 'W13'), (118873, 'U7'), (235047, 'A'), (257251, 'W'), (193628, 'X6'), (322894, 'U19'), (108922, 'Y8'), (218418, 'Y10'), (135487, 'Z3'), (269212, 'U1'), (323639, 'D'), (341683, 'W25'), (323935, 'X1'), (668588, 'X3'), (281421, 'U12'), (390556, 'X9'), (379445, 'X13'), (497991, 'X23'), (595580, 'Y7'), (217923, 'V1'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (298216, 'W10'), (314591, 'Z17'), (293034, 'V9'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (471269, 'U15'), (999505, 'V16'), (929203, 'X4'), (878228, 'V17'), (496573, 'V19'), (773552, 'U16'), (675793, 'X11'), (443878, 'U5'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (658672, 'U3'), (791281, 'U23'), (636297, 'Y9'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (492641, 'W9'), (876732, 'Z12'), (639347, 'W11'), (696238, 'Z18'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (636389, 'X2')
Z19         | (81835, 'Y6'), (168852, 'C'), (88703, 'W13'), (176738, 'V20'), (186496, 'X5'), (108922, 'Y8'), (118873, 'U7'), (235047, 'A'), (203321, 'W14'), (193628, 'X6'), (322894, 'U19'), (217923, 'V1'), (218418, 'Y10'), (135487, 'Z3'), (269212, 'U1'), (323639, 'D'), (341683, 'W25'), (257251, 'W'), (323634, 'D'), (270724, 'L'), (390556, 'X9'), (379445, 'X13'), (497991, 'X23'), (595580, 'Y7'), (636297, 'Y9'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (298216, 'W10'), (314591, 'Z17'), (293034, 'V9'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (323935, 'X1'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (773552, 'U16'), (675793, 'X11'), (443878, 'U5'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (658672, 'U3'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (492641, 'W9'), (876732, 'Z12'), (639347, 'W11'), (696238, 'Z18'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (894368, 'Y')
Y6          | (88703, 'W13'), (168852, 'C'), (108922, 'Y8'), (176738, 'V20'), (186496, 'X5'), (217923, 'V1'), (118873, 'U7'), (235047, 'A'), (203321, 'W14'), (193628, 'X6'), (322894, 'U19'), (595580, 'Y7'), (218418, 'Y10'), (135487, 'Z3'), (269212, 'U1'), (323639, 'D'), (341683, 'W25'), (257251, 'W'), (323634, 'D'), (270724, 'L'), (372283, 'J'), (379445, 'X13'), (497991, 'X23'), (658672, 'U3'), (636297, 'Y9'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (298216, 'W10'), (314591, 'Z17'), (293034, 'V9'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (323935, 'X1'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (390556, 'X9'), (675793, 'X11'), (443878, 'U5'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (894368, 'Y'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (492641, 'W9'), (876732, 'Z12'), (639347, 'W11'), (696238, 'Z18'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (773552, 'U16'), (643529, 'K'), (820328, 'V')
W13         | (108922, 'Y8'), (168852, 'C'), (118873, 'U7'), (176738, 'V20'), (186496, 'X5'), (217923, 'V1'), (135487, 'Z3'), (235047, 'A'), (203321, 'W14'), (193628, 'X6'), (270720, 'L'), (595580, 'Y7'), (218418, 'Y10'), (298216, 'W10'), (269212, 'U1'), (323639, 'D'), (341683, 'W25'), (257251, 'W'), (323634, 'D'), (270724, 'L'), (261040, 'I'), (322894, 'U19'), (497991, 'X23'), (658672, 'U3'), (636297, 'Y9'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (492641, 'W9'), (314591, 'Z17'), (293034, 'V9'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (323935, 'X1'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (390556, 'X9'), (372283, 'J'), (379445, 'X13'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (894368, 'Y'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (820328, 'V'), (876732, 'Z12'), (639347, 'W11'), (696238, 'Z18'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (773552, 'U16'), (643529, 'K'), (675793, 'X11'), (643526, 'K'), (443878, 'U5'), (721971, 'T')
Y8          | (118873, 'U7'), (168852, 'C'), (135487, 'Z3'), (176738, 'V20'), (186496, 'X5'), (217923, 'V1'), (269212, 'U1'), (235047, 'A'), (203321, 'W14'), (193628, 'X6'), (270720, 'L'), (595580, 'Y7'), (218418, 'Y10'), (298216, 'W10'), (293034, 'V9'), (323639, 'D'), (341683, 'W25'), (257251, 'W'), (323634, 'D'), (270724, 'L'), (261040, 'I'), (322894, 'U19'), (497991, 'X23'), (658672, 'U3'), (636297, 'Y9'), (452101, 'W7'), (490631, 'W8'), (497699, 'Y19'), (492641, 'W9'), (314591, 'Z17'), (696238, 'Z18'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (323935, 'X1'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (390556, 'X9'), (372283, 'J'), (379445, 'X13'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (894368, 'Y'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (622738, 'Y11'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (820328, 'V'), (876732, 'Z12'), (639347, 'W11'), (721971, 'T'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (773552, 'U16'), (643529, 'K'), (675793, 'X11'), (643526, 'K'), (443878, 'U5'), (467093, 'G'), (894367, 'Y')
U7          | (135487, 'Z3'), (168852, 'C'), (217923, 'V1'), (176738, 'V20'), (186496, 'X5'), (218418, 'Y10'), (269212, 'U1'), (235047, 'A'), (203321, 'W14'), (193628, 'X6'), (270720, 'L'), (595580, 'Y7'), (452101, 'W7'), (298216, 'W10'), (293034, 'V9'), (323639, 'D'), (341683, 'W25'), (257251, 'W'), (323634, 'D'), (270724, 'L'), (261040, 'I'), (322894, 'U19'), (497991, 'X23'), (658672, 'U3'), (636297, 'Y9'), (622738, 'Y11'), (490631, 'W8'), (497699, 'Y19'), (492641, 'W9'), (314591, 'Z17'), (696238, 'Z18'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (323935, 'X1'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (390556, 'X9'), (372283, 'J'), (379445, 'X13'), (692154, 'X20'), (735075, 'W0'), (842503, 'Y3'), (853390, 'W1'), (894368, 'Y'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (894367, 'Y'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (820328, 'V'), (876732, 'Z12'), (639347, 'W11'), (721971, 'T'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (773552, 'U16'), (643529, 'K'), (675793, 'X11'), (643526, 'K'), (443878, 'U5'), (467093, 'G')
Z3          | (168852, 'C'), (176738, 'V20'), (217923, 'V1'), (203321, 'W14'), (186496, 'X5'), (218418, 'Y10'), (269212, 'U1'), (235047, 'A'), (257251, 'W'), (193628, 'X6'), (270720, 'L'), (595580, 'Y7'), (452101, 'W7'), (298216, 'W10'), (293034, 'V9'), (323639, 'D'), (341683, 'W25'), (323935, 'X1'), (323634, 'D'), (270724, 'L'), (261040, 'I'), (322894, 'U19'), (398529, 'Z'), (658672, 'U3'), (636297, 'Y9'), (622738, 'Y11'), (490631, 'W8'), (497699, 'Y19'), (492641, 'W9'), (314591, 'Z17'), (696238, 'Z18'), (362872, 'W22'), (329329, 'U4'), (733286, 'F'), (405831, 'M'), (472977, 'N'), (467093, 'G'), (467095, 'G'), (372285, 'J'), (281421, 'U12'), (470570, 'X'), (390556, 'X9'), (372283, 'J'), (379445, 'X13'), (692154, 'X20'), (497991, 'X23'), (842503, 'Y3'), (853390, 'W1'), (894368, 'Y'), (791281, 'U23'), (636389, 'X2'), (755653, 'U25'), (894367, 'Y'), (963379, 'Y16'), (975112, 'Y17'), (781736, 'U11'), (682881, 'Y18'), (835362, 'Z2'), (820328, 'V'), (876732, 'Z12'), (639347, 'W11'), (721971, 'T'), (733504, 'Z24'), (864903, 'V10'), (522671, 'Z20'), (415254, 'V11'), (387931, 'B'), (926185, 'W24'), (777987, 'E'), (620908, 'H'), (553486, 'U2'), (791313, 'V12'), (824537, 'Q'), (738809, 'S'), (471269, 'U15'), (999505, 'V16'), (668588, 'X3'), (929203, 'X4'), (643530, 'K'), (878228, 'V17'), (860780, 'O'), (557509, 'R'), (496573, 'V19'), (773552, 'U16'), (643529, 'K'), (675793, 'X11'), (643526, 'K'), (443878, 'U5'), (704361, 'P'), (820326, 'V'), (894366, 'Y'), (735075, 'W0')
