dictionary size=  100000
list element size=  10000 

Start value = U  Goal value = I 

Expand Node | Fringe
--------------------
-           | (3171, 'U')
U           | (8383, 'Z13'), (9873, 'V17'), (8444, 'U11'), (11951, 'V15'), (12835, 'Y5'), (9484, 'X0'), (11460, 'V12'), (28372, 'X6'), (21569, 'V1'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (20889, 'Y25'), (35941, 'Z21'), (12550, 'W22'), (56343, 'X3'), (28618, 'U19'), (50980, 'U5'), (57382, 'V21'), (45157, 'Y1'), (37326, 'V5'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (25857, 'W2'), (64682, 'W19'), (41229, 'Z24'), (58452, 'U6'), (51382, 'V14'), (87672, 'U3'), (84227, 'X4'), (87948, 'V16'), (79037, 'X7'), (76820, 'X10'), (88041, 'X12'), (62299, 'X15'), (88710, 'X17'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (59463, 'Y10'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (68763, 'W16'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (103871, 'U17')
Z13         | (8444, 'U11'), (9873, 'V17'), (9484, 'X0'), (11951, 'V15'), (12835, 'Y5'), (20889, 'Y25'), (11460, 'V12'), (28372, 'X6'), (21569, 'V1'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (19923, 'D'), (12550, 'W22'), (50765, 'T'), (28618, 'U19'), (50980, 'U5'), (57382, 'V21'), (45157, 'Y1'), (37326, 'V5'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (35941, 'Z21'), (58452, 'U6'), (22218, 'Q'), (56343, 'X3'), (84227, 'X4'), (87948, 'V16'), (79037, 'X7'), (76820, 'X10'), (88041, 'X12'), (62299, 'X15'), (88710, 'X17'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (59463, 'Y10'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (41229, 'Z24'), (73820, 'H'), (83716, 'O'), (51382, 'V14'), (26627, 'P'), (87672, 'U3'), (80498, 'X'), (87274, 'Z')
U11         | (9484, 'X0'), (9873, 'V17'), (11460, 'V12'), (11951, 'V15'), (12835, 'Y5'), (20889, 'Y25'), (12550, 'W22'), (18327, 'P'), (21569, 'V1'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (19923, 'D'), (22218, 'Q'), (50765, 'T'), (22388, 'I'), (28627, 'S'), (57382, 'V21'), (45157, 'Y1'), (37326, 'V5'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (35941, 'Z21'), (58452, 'U6'), (26627, 'P'), (56343, 'X3'), (59594, 'C'), (28618, 'U19'), (28372, 'X6'), (50980, 'U5'), (88041, 'X12'), (62299, 'X15'), (88710, 'X17'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (59463, 'Y10'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (41229, 'Z24'), (73820, 'H'), (83716, 'O'), (51382, 'V14'), (87274, 'Z'), (87672, 'U3'), (80498, 'X'), (84227, 'X4'), (63690, 'H'), (87948, 'V16'), (86280, 'M'), (79037, 'X7'), (35982, 'N'), (76820, 'X10')
X0          | (9873, 'V17'), (11951, 'V15'), (11460, 'V12'), (16860, 'D'), (12835, 'Y5'), (20889, 'Y25'), (12550, 'W22'), (22388, 'I'), (18327, 'P'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (19923, 'D'), (22218, 'Q'), (50765, 'T'), (28372, 'X6'), (18863, 'I'), (39681, 'V'), (45157, 'Y1'), (37326, 'V5'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (35941, 'Z21'), (58452, 'U6'), (26627, 'P'), (56343, 'X3'), (59594, 'C'), (28618, 'U19'), (35982, 'N'), (28627, 'S'), (21569, 'V1'), (57382, 'V21'), (88710, 'X17'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (59463, 'Y10'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (41229, 'Z24'), (73820, 'H'), (83716, 'O'), (51382, 'V14'), (87274, 'Z'), (87672, 'U3'), (80498, 'X'), (84227, 'X4'), (63690, 'H'), (87948, 'V16'), (86280, 'M'), (79037, 'X7'), (76820, 'X10'), (50980, 'U5'), (41250, 'B'), (88041, 'X12'), (83589, 'O'), (62299, 'X15')
V17         | (11460, 'V12'), (11951, 'V15'), (12550, 'W22'), (16860, 'D'), (12835, 'Y5'), (20889, 'Y25'), (19923, 'D'), (22388, 'I'), (18327, 'P'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (35941, 'Z21'), (22218, 'Q'), (50765, 'T'), (28372, 'X6'), (18863, 'I'), (21126, 'Q'), (45157, 'Y1'), (37326, 'V5'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (41229, 'Z24'), (58452, 'U6'), (26627, 'P'), (56343, 'X3'), (59594, 'C'), (28618, 'U19'), (35982, 'N'), (28627, 'S'), (21569, 'V1'), (35466, 'L'), (32795, 'F'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (59463, 'Y10'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (62299, 'X15'), (73820, 'H'), (83716, 'O'), (51382, 'V14'), (87274, 'Z'), (87672, 'U3'), (80498, 'X'), (84227, 'X4'), (63690, 'H'), (87948, 'V16'), (86280, 'M'), (79037, 'X7'), (76820, 'X10'), (50980, 'U5'), (41250, 'B'), (88041, 'X12'), (83589, 'O'), (57382, 'V21'), (39681, 'V'), (88710, 'X17')
V12         | (11951, 'V15'), (12835, 'Y5'), (12550, 'W22'), (16860, 'D'), (21511, 'X22'), (20889, 'Y25'), (19923, 'D'), (22388, 'I'), (18327, 'P'), (37326, 'V5'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (35941, 'Z21'), (22218, 'Q'), (50765, 'T'), (28372, 'X6'), (18863, 'I'), (21126, 'Q'), (45157, 'Y1'), (59463, 'Y10'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (41229, 'Z24'), (58452, 'U6'), (26627, 'P'), (56343, 'X3'), (59594, 'C'), (28618, 'U19'), (35982, 'N'), (28627, 'S'), (21569, 'V1'), (35466, 'L'), (32795, 'F'), (106992, 'U12'), (85263, 'V23'), (96029, 'V24'), (88710, 'X17'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (62299, 'X15'), (73820, 'H'), (83716, 'O'), (51382, 'V14'), (87274, 'Z'), (87672, 'U3'), (80498, 'X'), (84227, 'X4'), (63690, 'H'), (87948, 'V16'), (86280, 'M'), (79037, 'X7'), (76820, 'X10'), (50980, 'U5'), (41250, 'B'), (88041, 'X12'), (83589, 'O'), (57382, 'V21'), (39681, 'V'), (78067, 'E')
V15         | (10064, 'A'), (12550, 'W22'), (19923, 'D'), (12835, 'Y5'), (12964, 'K'), (20889, 'Y25'), (22218, 'Q'), (22388, 'I'), (16860, 'D'), (21511, 'X22'), (25410, 'Y24'), (22028, 'W15'), (25857, 'W2'), (35941, 'Z21'), (26627, 'P'), (50765, 'T'), (28372, 'X6'), (18863, 'I'), (18327, 'P'), (37326, 'V5'), (59463, 'Y10'), (60123, 'Y20'), (29218, 'Y22'), (71436, 'U16'), (50839, 'Z3'), (28707, 'Z10'), (68763, 'W16'), (64682, 'W19'), (41229, 'Z24'), (58452, 'U6'), (51382, 'V14'), (56343, 'X3'), (59594, 'C'), (28618, 'U19'), (35982, 'N'), (28627, 'S'), (21569, 'V1'), (35466, 'L'), (21126, 'Q'), (75652, 'E'), (45157, 'Y1'), (96029, 'V24'), (88710, 'X17'), (99587, 'Y17'), (72036, 'V9'), (85752, 'W1'), (54538, 'W0'), (96745, 'V10'), (80139, 'Z0'), (98440, 'Z2'), (75687, 'W14'), (74144, 'V11'), (55519, 'Z12'), (103871, 'U17'), (89968, 'Z16'), (104955, 'W18'), (78053, 'Z19'), (60734, 'C'), (62299, 'X15'), (73820, 'H'), (83716, 'O'), (78067, 'E'), (87274, 'Z'), (87672, 'U3'), (80498, 'X'), (84227, 'X4'), (63690, 'H'), (87948, 'V16'), (86280, 'M'), (79037, 'X7'), (76820, 'X10'), (50980, 'U5'), (41250, 'B'), (88041, 'X12'), (83589, 'O'), (57382, 'V21'), (39681, 'V'), (32795, 'F'), (58750, 'C'), (106992, 'U12'), (113939, 'J'), (85263, 'V23')
A           | (11418, 'G25'), (11768, 'C11'), (12550, 'W22'), (11781, 'H20'), (12964, 'K'), (15249, 'C21'), (13527, 'S22'), (13016, 'T17'), (12835, 'Y5'), (21149, 'I7'), (17809, 'J21'), (20889, 'Y25'), (15529, 'C23'), (17147, 'D12'), (14600, 'T2'), (14731, 'U7'), (14459, 'W23'), (18327, 'P'), (16860, 'D'), (21511, 'X22'), (24548, 'J4'), (20749, 'B11'), (26433, 'L7'), (22028, 'W15'), (21065, 'C6'), (25857, 'W2'), (17480, 'C16'), (17819, 'D16'), (22218, 'Q'), (25182, 'S8'), (16784, 'Q1'), (21694, 'T20'), (17925, 'U0'), (19076, 'V18'), (14525, 'V4'), (26617, 'Y0'), (18863, 'I'), (32998, 'H9'), (21126, 'Q'), (29682, 'A5'), (37326, 'V5'), (31747, 'A18'), (29111, 'I20'), (21742, 'J17'), (33994, 'B14'), (29218, 'Y22'), (34894, 'L17'), (27744, 'M4'), (22739, 'M20'), (45576, 'N4'), (22116, 'N6'), (28707, 'Z10'), (55519, 'Z12'), (19923, 'D'), (26876, 'P1'), (37598, 'P21'), (24916, 'D13'), (24363, 'R1'), (24514, 'D21'), (58452, 'U6'), (26627, 'P'), (21657, 'D24'), (19751, 'E16'), (39794, 'T11'), (22388, 'I'), (20660, 'F3'), (36559, 'V0'), (24704, 'G6'), (34795, 'W12'), (28372, 'X6'), (35982, 'N'), (33150, 'X14'), (28627, 'S'), (21569, 'V1'), (39515, 'H3'), (35466, 'L'), (39681, 'V'), (32795, 'F'), (58750, 'C'), (63793, 'I4'), (30929, 'I3'), (45157, 'Y1'), (42691, 'I16'), (66697, 'A9'), (31982, 'J0'), (39460, 'J8'), (59463, 'Y10'), (36954, 'J16'), (25410, 'Y24'), (46398, 'K5'), (64704, 'K13'), (53441, 'B21'), (30399, 'K18'), (51991, 'B23'), (38366, 'L24'), (82159, 'M2'), (30988, 'M3'), (55935, 'C8'), (37796, 'M22'), (89627, 'M23'), (50839, 'Z3'), (29019, 'C14'), (47310, 'N10'), (41715, 'N18'), (66285, 'O0'), (96703, 'O6'), (86483, 'O14'), (66576, 'O17'), (28360, 'O21'), (35900, 'O24'), (30355, 'C25'), (75438, 'P10'), (43308, 'P13'), (35941, 'Z21'), (43468, 'D14'), (41229, 'Z24'), (31023, 'Q22'), (56417, 'R8'), (59824, 'R14'), (73820, 'H'), (58918, 'R22'), (40763, 'E6'), (41707, 'S13'), (66684, 'S16'), (51382, 'V14'), (32730, 'E10'), (36465, 'E17'), (87672, 'U3'), (74785, 'T12'), (40643, 'T16'), (36859, 'F1'), (34297, 'F17'), (27648, 'U18'), (59594, 'C'), (52769, 'U20'), (62265, 'F20'), (28618, 'U19'), (83514, 'W7'), (62012, 'F23'), (30041, 'W17'), (28973, 'W21'), (42850, 'X1'), (38903, 'X5'), (33479, 'G9'), (33915, 'X16'), (54664, 'G12'), (41250, 'B'), (47584, 'Y9'), (65862, 'G21'), (49534, 'Y23'), (49190, 'Z9'), (48504, 'Z14'), (43107, 'Z20'), (75207, 'H15'), (53185, 'H18'), (85263, 'V23'), (67844, 'H19'), (75063, 'H25'), (97654, 'I2'), (106992, 'U12'), (75652, 'E'), (113939, 'J'), (80382, 'I9'), (61910, 'I10'), (100436, 'I11'), (106645, 'A8'), (89886, 'I13'), (96029, 'V24'), (92556, 'I19'), (68338, 'A15'), (76111, 'J2'), (88710, 'X17'), (39806, 'A17'), (98226, 'J11'), (90740, 'J14'), (99587, 'Y17'), (60123, 'Y20'), (79504, 'B0'), (46203, 'J19'), (72036, 'V9'), (88478, 'K9'), (68174, 'B13'), (113953, 'K15'), (85752, 'W1'), (55698, 'L4'), (75310, 'B18'), (97839, 'L13'), (88705, 'L16'), (81955, 'B22'), (105245, 'L21'), (54538, 'W0'), (96745, 'V10'), (89623, 'M0'), (76628, 'B25'), (71436, 'U16'), (103417, 'M17'), (80139, 'Z0'), (83871, 'M21'), (58270, 'B24'), (104668, 'C9'), (90922, 'M25'), (98440, 'Z2'), (64846, 'N1'), (95274, 'C12'), (109743, 'N9'), (75687, 'W14'), (50914, 'N12'), (76896, 'N14'), (74144, 'V11'), (104822, 'C17'), (86486, 'N21'), (110783, 'O4'), (98565, 'C19'), (103820, 'O11'), (101618, 'C20'), (103871, 'U17'), (85906, 'O15'), (68763, 'W16'), (94945, 'O23'), (89968, 'Z16'), (94710, 'P0'), (68166, 'D8'), (77315, 'P7'), (109840, 'P9'), (104955, 'W18'), (64682, 'W19'), (56982, 'D10'), (78053, 'Z19'), (44834, 'Q15'), (95468, 'Q18'), (93524, 'Q19'), (69965, 'D15'), (60213, 'R0'), (60734, 'C'), (48478, 'R2'), (107788, 'D19'), (87045, 'R7'), (62299, 'X15'), (69029, 'R17'), (95743, 'R18'), (113564, 'R19'), (77877, 'E5'), (102327, 'S1'), (83716, 'O'), (50573, 'S6'), (103039, 'E7'), (68513, 'S10'), (97749, 'E8'), (92706, 'S21'), (78067, 'E'), (76726, 'S23'), (110503, 'S25'), (87274, 'Z'), (58880, 'T4'), (45340, 'T5'), (111213, 'E18'), (105820, 'T6'), (105135, 'F0'), (97877, 'T14'), (80498, 'X'), (50765, 'T'), (66855, 'T18'), (56343, 'X3'), (84227, 'X4'), (66207, 'F6'), (113704, 'F10'), (49698, 'U13'), (63690, 'H'), (65514, 'U22'), (99147, 'F18'), (93646, 'U25'), (87948, 'V16'), (72140, 'V2'), (94794, 'F21'), (77194, 'V20'), (86280, 'M'), (91246, 'W9'), (77771, 'F22'), (82469, 'W13'), (79037, 'X7'), (40500, 'G2'), (74974, 'F25'), (89313, 'W24'), (89888, 'G5'), (85245, 'W25'), (76820, 'X10'), (43677, 'X8'), (100482, 'G8'), (61137, 'X9'), (50980, 'U5'), (83363, 'X20'), (55098, 'X21'), (72639, 'X25'), (48196, 'G17'), (56214, 'Y2'), (88041, 'X12'), (59967, 'Y11'), (105489, 'Y13'), (79797, 'Y18'), (83589, 'O'), (85497, 'Z4'), (92419, 'Z8'), (81276, 'H2'), (85468, 'Z11'), (71558, 'H4'), (106034, 'Z17'), (57382, 'V21'), (84066, 'Z25')
